area_code,area_name,census_geography,all_household,one_pers_all,one_pers_65,one_pers_other,fam_all,fam_65,fam_mar_all,fam_mar_no_ch,fam_mar_ch,fam_mar_non_ch,fam_cohab_all,fam_cohab_no_ch,fam_cohab_ch,fam_cohab_non_ch,fam_lone_all,fam_lone_ch,fam_lone_non_ch,other_hh_all,other_hh_ch,other_hh_stud,other_hh_65,other,one_pers_all_perc,fam_mar_all_perc,fam_cohab_all_perc,fam_lone_all_perc,centroid_x,centroid_y
W00009127,,oa,137,46,14,32,80,4,41,7,27,7,15,10,5,0,20,13,7,11,3,0,0,8,33.6,29.9,10.9,14.6,317537.92850000004,175614.0095
W00008855,,oa,121,58,13,45,47,7,21,7,10,4,14,7,6,1,5,4,1,16,4,0,0,12,47.9,17.4,11.6,4.1,316310.45900000003,176954.4705
W00008859,,oa,123,33,12,21,66,3,36,14,17,5,15,10,5,0,12,8,4,24,9,0,0,15,26.8,29.3,12.2,9.8,315641.50450000004,176764.2915
W00009248,,oa,124,25,13,12,93,12,57,16,28,13,13,6,7,0,11,7,4,6,4,0,0,2,20.2,46.0,10.5,8.9,316811.1235,182740.8765
W00009154,,oa,138,36,25,11,87,10,63,18,33,12,8,5,2,1,6,3,3,15,2,2,1,10,26.1,45.7,5.8,4.3,317843.368,179264.5755
W00009155,,oa,119,83,33,50,33,3,13,8,5,0,11,8,3,0,6,2,4,3,0,1,1,1,69.8,10.9,9.2,5.0,318140.3945,179648.4365
W00009568,,oa,144,77,8,69,36,2,20,3,16,1,6,5,1,0,8,7,1,31,4,5,0,22,53.5,13.9,4.2,5.6,317529.7245,176188.3785
W00009754,,oa,125,76,17,59,43,7,17,7,5,5,9,6,3,0,10,7,3,6,1,0,0,5,60.8,13.6,7.2,8.0,315706.078,180038.7885
W00009402,,oa,115,27,10,17,77,6,46,18,21,7,16,13,3,0,9,4,5,11,3,0,0,8,23.5,40.0,13.9,7.8,319959.374,177998.1245
W00009756,,oa,129,68,32,36,56,10,24,13,8,3,9,8,0,1,13,10,3,5,1,0,1,3,52.7,18.6,7.0,10.1,315558.72849999997,180177.934
W00009755,,oa,123,42,27,15,78,11,45,17,23,5,8,5,3,0,14,8,6,3,0,1,0,2,34.2,36.6,6.5,11.4,315310.301,180200.2795
W00009750,,oa,130,53,33,20,71,12,32,13,13,6,13,8,5,0,14,7,7,6,3,0,0,3,40.8,24.6,10.0,10.8,315835.61199999996,180273.05599999998
W00009759,,oa,125,55,23,32,62,9,24,12,6,6,18,9,8,1,11,4,7,8,1,0,1,6,44.0,19.2,14.4,8.8,315465.45849999995,179888.445
W00009226,,oa,121,41,23,18,70,4,39,10,17,12,4,1,3,0,23,13,10,10,7,0,0,3,33.9,32.2,3.3,19.0,315263.484,179239.324
W00009575,,oa,142,106,10,96,25,3,14,7,7,0,6,6,0,0,2,1,1,11,0,3,0,8,74.7,9.9,4.2,1.4,317686.431,175921.2175
W00009571,,oa,144,57,15,42,68,2,40,7,29,4,6,5,0,1,20,14,6,19,8,1,0,10,39.6,27.8,4.2,13.9,317183.38800000004,176075.687
W00009725,,oa,124,27,17,10,94,12,67,16,37,14,9,2,7,0,6,0,6,3,0,0,1,2,21.8,54.0,7.3,4.8,315424.3715,180564.2665
W00009722,,oa,122,41,16,25,76,9,49,12,30,7,11,5,6,0,7,1,6,5,2,0,0,3,33.6,40.2,9.0,5.7,314960.6135,180323.7955
W00008887,,oa,157,64,13,51,80,4,45,16,24,5,27,19,7,1,4,3,1,13,2,0,0,11,40.8,28.7,17.2,2.5,315813.945,177313.0425
W00008884,,oa,122,76,14,62,43,2,9,2,4,3,12,6,5,1,20,13,7,3,1,0,0,2,62.3,7.4,9.8,16.4,316107.5065,175500.59000000003
W00008883,,oa,136,44,31,13,82,27,39,21,9,9,7,2,4,1,9,5,4,10,3,0,0,7,32.4,28.7,5.1,6.6,316255.3155,175960.522
W00008889,,oa,131,46,17,29,73,4,49,17,30,2,15,12,2,1,5,2,3,12,2,0,0,10,35.1,37.4,11.5,3.8,315969.76300000004,177174.43349999998
