area_code,area_name,census_geography,all_household,one_pers_all,one_pers_65,one_pers_other,fam_all,fam_65,fam_mar_all,fam_mar_no_ch,fam_mar_ch,fam_mar_non_ch,fam_cohab_all,fam_cohab_no_ch,fam_cohab_ch,fam_cohab_non_ch,fam_lone_all,fam_lone_ch,fam_lone_non_ch,other_hh_all,other_hh_ch,other_hh_stud,other_hh_65,other,one_pers_all_perc,fam_mar_all_perc,fam_cohab_all_perc,fam_lone_all_perc,centroid_x,centroid_y
W00008872,,oa,122,31,11,20,74,6,45,18,18,9,12,7,3,2,11,9,2,17,5,0,1,11,25.4,36.9,9.8,9.0,315850.55850000004,176500.4605
W00008873,,oa,140,46,16,30,74,12,34,6,18,10,14,5,9,0,14,8,6,20,5,2,0,13,32.9,24.3,10.0,10.0,316089.4375,176552.0565
W00008871,,oa,161,61,11,50,77,4,30,9,15,6,27,19,6,2,16,12,4,23,4,0,0,19,37.9,18.6,16.8,9.9,316400.5125,176609.0655
W00008879,,oa,135,36,17,19,83,8,45,19,20,6,22,14,8,0,8,6,2,16,2,0,1,13,26.7,33.3,16.3,5.9,316429.90650000004,176321.6995
W00009080,,oa,158,28,11,17,65,6,30,14,14,2,19,17,1,1,10,8,2,65,4,24,0,37,17.7,19.0,12.0,6.3,317767.475,178583.4045
W00009088,,oa,147,41,5,36,59,1,31,10,17,4,21,17,4,0,6,4,2,47,6,18,0,23,27.9,21.1,14.3,4.1,317485.1455,178602.501
W00009586,,oa,143,82,16,66,49,3,14,7,5,2,22,20,2,0,10,9,1,12,2,0,0,10,57.3,9.8,15.4,7.0,316568.8515,176972.49349999998
W00009585,,oa,115,35,8,27,56,2,39,14,21,4,9,5,3,1,6,3,3,24,2,1,0,21,30.4,33.9,7.8,5.2,316852.163,176979.1115
W00009581,,oa,145,63,10,53,62,2,39,20,17,2,15,14,1,0,6,6,0,20,7,0,0,13,43.5,26.9,10.3,4.1,316446.642,177266.3395
W00009580,,oa,190,107,10,97,58,2,23,15,8,0,31,26,5,0,2,1,1,25,3,1,0,21,56.3,12.1,16.3,1.1,317086.372,177393.84649999999
W00009458,,oa,116,28,4,24,49,3,25,7,14,4,11,8,3,0,10,7,3,39,3,17,0,19,24.1,21.6,9.5,8.6,318820.66500000004,178222.5185
W00009765,,oa,110,24,15,9,80,14,52,13,29,10,7,3,4,0,7,5,2,6,1,0,1,4,21.8,47.3,6.4,6.4,315793.57550000004,179890.47749999998
W00009764,,oa,124,37,26,11,81,21,42,22,14,6,8,5,3,0,10,6,4,6,1,0,1,4,29.8,33.9,6.5,8.1,316303.421,179918.5745
W00009094,,oa,129,51,6,45,65,3,36,20,12,4,10,6,4,0,16,9,7,13,5,0,0,8,39.5,27.9,7.8,12.4,316986.519,175189.1175
W00010223,,oa,82,37,5,32,17,2,5,3,0,2,6,5,1,0,4,3,1,28,0,14,0,14,45.1,6.1,7.3,4.9,317449.047,177961.2035
W00009277,,oa,128,38,22,16,85,17,51,15,22,14,10,5,3,2,7,5,2,5,3,0,0,2,29.7,39.8,7.8,5.5,316568.54949999996,182710.304
W00009597,,oa,192,80,8,72,80,0,33,8,23,2,37,33,3,1,10,9,1,32,5,0,1,26,41.7,17.2,19.3,5.2,316863.47,176574.76799999998
W00009594,,oa,149,49,13,36,82,4,37,19,17,1,37,33,2,2,4,1,3,18,3,2,0,13,32.9,24.8,24.8,2.7,316697.6065,176788.7305
W00009591,,oa,139,44,21,23,68,5,36,18,14,4,19,15,4,0,8,6,2,27,5,0,3,19,31.7,25.9,13.7,5.8,316870.93200000003,176741.6995
W00009598,,oa,122,36,15,21,74,8,37,10,20,7,9,5,3,1,20,10,10,12,5,0,0,7,29.5,30.3,7.4,16.4,316897.5,176393.4155
W00009324,,oa,131,45,15,30,78,4,34,12,16,6,19,9,10,0,21,13,8,8,1,0,0,7,34.4,26.0,14.5,16.0,321677.13,181190.2465
W00008603,,oa,161,26,11,15,127,13,67,21,36,10,26,15,9,2,21,12,9,8,2,1,1,4,16.2,41.6,16.1,13.0,325221.40599999996,183023.34350000002
W00009687,,oa,106,20,6,14,80,8,50,21,26,3,13,8,4,1,9,7,2,6,3,0,0,3,18.9,47.2,12.3,8.5,323610.58200000005,181405.46149999998
W00009325,,oa,124,30,11,19,81,6,38,12,19,7,8,2,6,0,29,17,12,13,8,0,1,4,24.2,30.6,6.5,23.4,322378.88,181399.2605
W00010151,,oa,133,39,1,38,86,1,41,16,25,0,22,13,9,0,22,21,1,8,3,0,0,5,29.3,30.8,16.5,16.5,316946.9745,181329.921
W00009360,,oa,118,29,16,13,82,10,43,16,14,13,11,4,7,0,18,11,7,7,1,0,0,6,24.6,36.4,9.3,15.3,319861.67949999997,179991.6925
W00009720,,oa,127,40,13,27,82,9,48,18,20,10,16,6,9,1,9,6,3,5,5,0,0,0,31.5,37.8,12.6,7.1,313500.099,182235.6595
W00009234,,oa,108,32,20,12,68,9,39,11,18,10,8,2,4,2,12,9,3,8,3,0,0,5,29.6,36.1,7.4,11.1,315070.2685,179092.89
W00010152,,oa,129,19,1,18,104,1,51,23,26,2,35,29,6,0,17,14,3,6,3,0,0,3,14.7,39.5,27.1,13.2,313766.042,179989.17599999998
W00009247,,oa,147,55,21,34,85,15,36,16,16,4,17,12,5,0,17,14,3,7,1,0,0,6,37.4,24.5,11.6,11.6,317373.105,182667.766
W00010135,,oa,130,21,5,16,94,3,58,8,45,5,19,9,9,1,14,8,6,15,5,0,0,10,16.2,44.6,14.6,10.8,316843.126,180590.7365
W00009140,,oa,146,33,21,12,105,11,73,18,44,11,13,5,7,1,8,3,5,8,0,0,0,8,22.6,50.0,8.9,5.5,316965.17350000003,180033.23200000002
W00009141,,oa,181,54,16,38,113,8,64,17,33,14,25,16,8,1,16,10,6,14,2,1,0,11,29.8,35.4,13.8,8.8,316721.6925,180194.2625
W00009148,,oa,78,46,29,17,30,11,13,5,6,2,5,4,1,0,1,0,1,2,0,0,1,1,59.0,16.7,6.4,1.3,318158.9975,179859.50400000002
W00009245,,oa,183,36,8,28,138,11,94,25,58,11,23,16,7,0,10,6,4,9,4,0,0,5,19.7,51.4,12.6,5.5,316623.083,183146.314
W00009249,,oa,140,48,18,30,89,19,56,21,32,3,8,6,2,0,6,3,3,3,3,0,0,0,34.3,40.0,5.7,4.3,318284.22,182297.78350000002
W00009745,,oa,115,30,15,15,79,13,53,17,25,11,10,8,2,0,3,1,2,6,0,0,0,6,26.1,46.1,8.7,2.6,314689.3875,180910.05949999997
W00009747,,oa,123,54,31,23,64,11,39,19,15,5,6,4,2,0,8,3,5,5,3,0,0,2,43.9,31.7,4.9,6.5,315001.72349999996,180675.491
W00009749,,oa,134,23,16,7,106,12,78,25,39,14,10,5,4,1,6,2,4,5,0,0,0,5,17.2,58.2,7.5,4.5,315232.406,180554.89549999998
W00009156,,oa,111,25,21,4,80,7,54,22,18,14,12,5,6,1,7,1,6,6,3,0,0,3,22.5,48.6,10.8,6.3,317522.7725,180776.34850000002
W00009153,,oa,121,22,12,10,86,9,63,12,41,10,9,4,4,1,5,2,3,13,2,2,1,8,18.2,52.1,7.4,4.1,316949.954,179484.2035
W00009252,,oa,178,62,39,23,101,19,66,24,37,5,8,6,2,0,8,1,7,15,6,0,2,7,34.8,37.1,4.5,4.5,317917.50450000004,181871.7645
W00009258,,oa,138,36,22,14,94,8,47,11,29,7,20,6,14,0,19,15,4,8,4,0,1,3,26.1,34.1,14.5,13.8,317895.365,181367.98700000002
W00009259,,oa,121,58,23,35,58,6,20,10,7,3,10,7,2,1,22,14,8,5,2,0,0,3,47.9,16.5,8.3,18.2,318022.177,181201.4005
W00009486,,oa,142,27,3,24,109,5,69,23,40,6,19,11,7,1,16,11,5,6,3,0,0,3,19.0,48.6,13.4,11.3,320170.9175,182088.239
W00009758,,oa,119,28,14,14,85,13,60,9,37,14,8,3,5,0,4,0,4,6,1,0,1,4,23.5,50.4,6.7,3.4,314988.74950000003,180158.7175
W00009364,,oa,133,29,13,16,99,14,59,22,26,11,11,6,5,0,15,12,3,5,1,0,0,4,21.8,44.4,8.3,11.3,319835.9805,179659.4525
W00009229,,oa,141,32,10,22,106,8,64,25,31,8,19,10,9,0,15,12,3,3,0,0,1,2,22.7,45.4,13.5,10.6,314727.8715,179335
W00006525,,oa,126,43,7,36,82,14,40,21,12,7,17,11,6,0,11,9,2,1,1,0,0,0,34.1,31.7,13.5,8.7,312525.5455,184063.022
W00009412,,oa,128,30,15,15,89,16,49,16,17,16,8,4,4,0,16,11,5,9,4,1,0,4,23.4,38.3,6.3,12.5,320035.1225,179246.26049999997
W00009726,,oa,128,33,21,12,89,18,60,17,31,12,6,2,4,0,5,1,4,6,2,1,0,3,25.8,46.9,4.7,3.9,315241.59699999995,179814.728
W00009727,,oa,112,23,11,12,83,17,54,14,27,13,7,5,2,0,5,0,5,6,1,0,1,4,20.5,48.2,6.3,4.5,316183.1165,179521.9135
W00009728,,oa,124,32,21,11,76,14,38,10,19,9,9,5,4,0,15,10,5,16,7,0,2,7,25.8,30.6,7.3,12.1,315654.00749999995,179541.638
W00009729,,oa,126,40,30,10,82,19,43,18,15,10,7,3,3,1,13,7,6,4,1,1,2,0,31.8,34.1,5.6,10.3,316386.773,179389.146
W00008967,,oa,97,62,26,36,35,5,18,5,10,3,6,6,0,0,6,4,2,0,0,0,0,0,63.9,18.6,6.2,6.2,318895.922,180163.869
W00008964,,oa,136,51,21,30,70,16,38,9,21,8,8,4,3,1,8,4,4,15,3,0,1,11,37.5,27.9,5.9,5.9,318878.2105,180280.07549999998
W00008963,,oa,135,35,23,12,91,25,52,17,26,9,9,5,4,0,5,5,0,9,0,0,0,9,25.9,38.5,6.7,3.7,319243.179,180381.557
W00009230,,oa,141,44,28,16,87,7,36,18,14,4,15,8,6,1,29,19,10,10,3,0,2,5,31.2,25.5,10.6,20.6,315167.5885,179216
W00009540,,oa,117,17,13,4,89,26,50,18,22,10,6,4,1,1,7,2,5,11,4,0,1,6,14.5,42.7,5.1,6.0,316398.1855,181366.15000000002
W00009549,,oa,126,25,14,11,94,5,61,26,26,9,17,7,10,0,11,7,4,7,2,1,0,4,19.8,48.4,13.5,8.7,316501.7635,180832.407
W00009736,,oa,137,26,9,17,106,13,57,22,23,12,16,10,6,0,20,11,9,5,0,0,0,5,19.0,41.6,11.7,14.6,316532.788,179317.48599999998
W00009731,,oa,123,40,10,30,77,5,43,11,25,7,18,10,7,1,11,7,4,6,3,0,0,3,32.5,35.0,14.6,8.9,316469.577,179574.8695
W00009735,,oa,120,27,11,16,85,7,60,24,24,12,10,6,1,3,8,7,1,8,2,0,1,5,22.5,50.0,8.3,6.7,316705.81200000003,179403.213
W00008971,,oa,124,33,18,15,85,19,56,10,37,9,5,3,2,0,5,2,3,6,2,0,3,1,26.6,45.2,4.0,4.0,318265.7035,180053.50400000002
W00009184,,oa,126,26,21,5,96,34,57,20,27,10,1,0,0,1,4,0,4,4,2,0,0,2,20.6,45.2,0.8,3.2,318696.678,183279.8095
W00009182,,oa,127,18,13,5,104,26,68,25,36,7,4,3,0,1,6,5,1,5,2,0,1,2,14.2,53.5,3.1,4.7,318349.901,183266.91499999998
W00009189,,oa,129,39,18,21,83,9,51,16,24,11,14,2,12,0,9,9,0,7,2,0,0,5,30.2,39.5,10.9,7.0,314041.622,179371.276
W00009188,,oa,128,35,8,27,88,2,58,17,33,8,15,11,4,0,13,9,4,5,2,0,0,3,27.3,45.3,11.7,10.2,313895.911,179460.4895
W00009282,,oa,115,42,15,27,62,5,31,10,18,3,15,6,8,1,11,11,0,11,6,0,0,5,36.5,27.0,13.0,9.6,316873.229,182453.1015
W00009281,,oa,129,26,15,11,82,7,35,9,18,8,19,9,9,1,21,11,10,21,6,0,1,14,20.2,27.1,14.7,16.3,317384.97,182363.089
W00009556,,oa,125,41,30,11,78,22,48,16,22,10,7,2,4,1,1,0,1,6,3,0,1,2,32.8,38.4,5.6,0.8,315270.46900000004,182082.6615
W00009553,,oa,135,43,30,13,86,22,49,18,19,12,6,2,2,2,9,4,5,6,3,0,0,3,31.9,36.3,4.4,6.7,315817.1505,182166.478
W00009376,,oa,189,68,22,46,116,12,65,23,36,6,14,6,8,0,25,15,10,5,3,0,0,2,36.0,34.4,7.4,13.2,311961.08999999997,182732.5385
W00009526,,oa,146,37,23,14,101,23,63,13,42,8,8,4,4,0,7,3,4,8,4,0,0,4,25.3,43.2,5.5,4.8,315239.184,181495.3195
W00009522,,oa,129,40,35,5,83,35,32,10,17,5,4,3,1,0,12,8,4,6,1,0,1,4,31.0,24.8,3.1,9.3,316120.917,182032.7445
W00006515,,oa,218,72,20,52,132,10,55,21,30,4,48,35,12,1,19,8,11,14,1,2,2,9,33.0,25.2,22.0,8.7,312257.7275,183568.5045
W00009528,,oa,129,50,39,11,75,26,34,12,15,7,4,2,2,0,11,7,4,4,0,0,0,4,38.8,26.4,3.1,8.5,316078.2705,181867.401
W00009716,,oa,131,37,17,20,85,7,57,19,30,8,11,7,4,0,10,6,4,9,5,0,0,4,28.2,43.5,8.4,7.6,313824.07849999995,183346.7825
W00008954,,oa,150,54,31,23,90,17,47,10,29,8,11,8,2,1,15,12,3,6,1,1,0,4,36.0,31.3,7.3,10.0,318493.00399999996,180852.3335
W00008957,,oa,134,37,22,15,91,14,54,7,26,21,8,3,4,1,15,6,9,6,4,0,0,2,27.6,40.3,6.0,11.2,318313.93350000004,180851.9995
W00008952,,oa,125,23,19,4,95,29,58,24,24,10,6,4,2,0,2,1,1,7,4,0,1,2,18.4,46.4,4.8,1.6,319609.85750000004,181449.7855
W00008951,,oa,148,28,16,12,109,10,68,18,44,6,15,4,9,2,16,9,7,11,6,0,1,4,18.9,45.9,10.1,10.8,318278.428,181218.32400000002
W00009348,,oa,131,26,8,18,95,8,58,17,25,16,16,12,2,2,13,11,2,10,4,0,1,5,19.9,44.3,12.2,9.9,319642.802,180413.305
W00009534,,oa,131,69,34,35,61,20,21,11,9,1,9,6,3,0,11,5,6,1,1,0,0,0,52.7,16.0,6.9,8.4,316480.797,181665.759
W00009539,,oa,121,24,18,6,94,18,63,12,38,13,5,3,1,1,8,2,6,3,1,0,0,2,19.8,52.1,4.1,6.6,316417.9865,181462.64299999998
W00010150,,oa,126,12,6,6,104,13,76,19,45,12,7,2,5,0,8,7,1,10,4,0,0,6,9.5,60.3,5.6,6.3,312344.078,180167.0725
W00009166,,oa,128,28,23,5,88,21,52,23,23,6,11,3,7,1,4,2,2,12,7,0,0,5,21.9,40.6,8.6,3.1,316301.5285,180311.843
W00009169,,oa,145,27,18,9,110,15,71,30,28,13,11,5,6,0,13,4,9,8,4,0,0,4,18.6,49.0,7.6,9.0,317956.0435,180339.00300000003
W00009351,,oa,110,17,5,12,79,10,47,13,25,9,8,2,6,0,14,11,3,14,5,0,1,8,15.5,42.7,7.3,12.7,320481.368,180286.30550000002
W00009266,,oa,121,38,7,31,82,6,41,15,22,4,16,10,6,0,19,19,0,1,0,0,0,1,31.4,33.9,13.2,15.7,317582.579,183108.8995
W00009267,,oa,119,42,6,36,75,3,40,19,17,4,21,17,4,0,11,8,3,2,1,0,0,1,35.3,33.6,17.6,9.2,317238.717,183182.013
W00009264,,oa,121,22,9,13,95,7,73,22,36,15,5,2,3,0,10,3,7,4,1,0,0,3,18.2,60.3,4.1,8.3,317770.799,183197.225
W00009262,,oa,114,14,0,14,96,8,64,23,32,9,13,11,2,0,11,10,1,4,2,0,0,2,12.3,56.1,11.4,9.6,317551.4865,183487.72999999998
W00009268,,oa,122,43,10,33,68,3,30,11,15,4,18,10,8,0,17,15,2,11,3,0,0,8,35.3,24.6,14.8,13.9,317696.4445,183088.046
W00009269,,oa,117,49,7,42,65,2,28,13,11,4,24,18,4,2,11,11,0,3,0,0,0,3,41.9,23.9,20.5,9.4,317177.293,183018.087
W00009503,,oa,208,49,34,15,147,25,95,25,59,11,17,7,9,1,10,5,5,12,5,0,1,6,23.6,45.7,8.2,4.8,312794.70900000003,180568.415
W00009766,,oa,129,34,20,14,88,21,55,24,25,6,7,4,3,0,5,0,5,7,2,0,0,5,26.4,42.6,5.4,3.9,315957.908,179908.995
W00009763,,oa,133,30,10,20,98,15,53,17,27,9,21,14,5,2,9,5,4,5,3,0,0,2,22.6,39.8,15.8,6.8,314257.8345,179922.7555
W00009760,,oa,139,43,15,28,85,11,40,17,14,9,21,11,10,0,13,6,7,11,5,0,0,6,30.9,28.8,15.1,9.4,314495.838,180086.84350000002
W00009172,,oa,135,35,21,14,97,21,61,18,34,9,8,4,3,1,7,5,2,3,0,0,0,3,25.9,45.2,5.9,5.2,316164.68000000005,180146.90350000001
W00009178,,oa,118,43,22,21,68,13,45,18,15,12,6,5,1,0,4,2,2,7,2,0,0,5,36.4,38.1,5.1,3.4,318566.7825,182842.8225
W00009517,,oa,144,59,43,16,82,15,51,24,20,7,7,4,3,0,9,7,2,3,1,0,0,2,41.0,35.4,4.9,6.3,316140.69550000003,181558.0235
W00010228,,oa,123,9,3,6,112,3,84,15,58,11,14,4,8,2,11,9,2,2,1,0,0,1,7.3,68.3,11.4,8.9,310753.997,180208.74
W00010227,,oa,104,20,10,10,79,5,39,12,22,5,10,3,6,1,25,22,3,5,3,0,0,2,19.2,37.5,9.6,24.0,312502.319,181738.0565
W00009279,,oa,113,28,11,17,77,12,41,12,22,7,9,4,4,1,15,7,8,8,6,1,0,1,24.8,36.3,8.0,13.3,317119.473,182492.2905
W00009514,,oa,125,29,20,9,89,14,59,20,25,14,6,4,1,1,10,8,2,7,3,0,0,4,23.2,47.2,4.8,8.0,312713.3645,181700.4445
W00009515,,oa,124,35,21,14,83,10,33,15,13,5,18,10,6,2,22,16,6,6,2,0,0,4,28.2,26.6,14.5,17.7,312777.392,181670.682
W00009615,,oa,111,26,18,8,77,20,41,11,16,14,4,3,1,0,12,5,7,8,6,0,0,2,23.4,36.9,3.6,10.8,322359.8395,180217.0915
W00009699,,oa,100,39,25,14,49,1,23,10,11,2,5,0,5,0,20,9,11,12,6,0,2,4,39.0,23.0,5.0,20.0,323016.897,180951.8095
W00009713,,oa,153,47,20,27,98,14,28,8,13,7,18,1,13,4,38,31,7,8,5,0,1,2,30.7,18.3,11.8,24.8,323425.7575,180082.67
W00009306,,oa,103,39,14,25,57,4,26,8,13,5,7,1,6,0,20,14,6,7,4,0,1,2,37.9,25.2,6.8,19.4,322285.891,180507.972
W00009300,,oa,118,44,21,23,61,4,31,6,18,7,4,2,2,0,22,13,9,13,3,0,0,10,37.3,26.3,3.4,18.6,322194.135,180882.8885
W00009483,,oa,84,21,7,14,59,2,29,14,11,4,17,10,5,2,11,10,1,4,2,1,0,1,25.0,34.5,20.2,13.1,322838.848,181177.8985
W00009673,,oa,141,56,18,38,76,9,27,8,12,7,14,4,9,1,26,21,5,9,7,0,2,0,39.7,19.1,9.9,18.4,323078.33349999995,180294.71899999998
W00009670,,oa,157,42,19,23,108,15,48,12,28,8,24,7,15,2,21,14,7,7,5,0,1,1,26.8,30.6,15.3,13.4,323039.4045,180477.3785
W00010179,,oa,76,34,12,22,36,2,9,3,5,1,6,3,2,1,19,14,5,6,3,0,1,2,44.7,11.8,7.9,25.0,323512.703,180450.8615
W00009709,,oa,237,42,4,38,182,2,100,38,54,8,37,22,14,1,43,40,3,13,4,0,0,9,17.7,42.2,15.6,18.1,324223.70200000005,180497.00449999998
W00009295,,oa,157,47,28,19,105,12,45,16,17,12,20,10,8,2,28,17,11,5,2,0,0,3,29.9,28.7,12.7,17.8,322470.81200000003,181173.67700000003
W00009299,,oa,123,57,31,26,60,11,30,11,11,8,9,2,7,0,10,7,3,6,2,0,0,4,46.3,24.4,7.3,8.1,322464.89749999996,180790
W00009298,,oa,126,36,22,14,83,19,44,16,17,11,12,6,6,0,8,4,4,7,3,0,0,4,28.6,34.9,9.5,6.3,322643.856,180898.416
W00009621,,oa,129,41,14,27,74,3,31,7,19,5,13,2,10,1,27,23,4,14,5,0,1,8,31.8,24.0,10.1,20.9,322354.659,179775.63
W00010155,,oa,102,28,4,24,71,2,43,16,19,8,11,7,4,0,15,13,2,3,1,0,0,2,27.5,42.2,10.8,14.7,324001.772,180211.9855
W00009686,,oa,122,40,21,19,76,8,44,25,14,5,13,6,7,0,11,7,4,6,2,0,0,4,32.8,36.1,10.7,9.0,323222.488,181438.463
W00009685,,oa,170,43,11,32,116,7,74,36,29,9,20,10,9,1,15,8,7,11,7,0,0,4,25.3,43.5,11.8,8.8,324245.356,182027.1345
W00009600,,oa,141,68,35,33,62,7,31,14,9,8,16,4,12,0,8,7,1,11,6,0,0,5,48.2,22.0,11.3,5.7,322688.38399999996,180648.829
W00008839,,oa,105,69,11,58,32,3,5,2,3,0,7,4,3,0,17,12,5,4,2,0,0,2,65.7,4.8,6.7,16.2,313164.7665,175759.3515
W00009043,,oa,149,24,11,13,114,7,54,15,28,11,13,5,7,1,40,24,16,11,7,0,0,4,16.1,36.2,8.7,26.8,313226.00800000003,177637.48849999998
W00009040,,oa,128,44,6,38,78,8,34,8,15,11,8,4,1,3,28,20,8,6,4,0,0,2,34.4,26.6,6.3,21.9,313019.817,177957.9725
W00008945,,oa,115,18,2,16,90,3,55,17,31,7,16,12,4,0,16,15,1,7,0,0,0,7,15.7,47.8,13.9,13.9,312321.3915,176428.981
W00008943,,oa,156,29,8,21,118,8,80,33,30,17,16,11,3,2,14,9,5,9,3,0,0,6,18.6,51.3,10.3,9.0,311644.7705,176189.229
W00009026,,oa,110,22,10,12,80,21,35,10,15,10,8,1,6,1,16,11,5,8,3,0,1,4,20.0,31.8,7.3,14.5,311955.2395,175873.6065
W00009024,,oa,132,35,16,19,89,5,34,11,13,10,13,4,8,1,37,25,12,8,3,0,1,4,26.5,25.8,9.8,28.0,312237.1205,175729.184
W00009025,,oa,117,41,18,23,73,3,19,7,8,4,15,5,9,1,36,32,4,3,2,0,0,1,35.0,16.2,12.8,30.8,312687.583,175866.18050000002
W00009022,,oa,127,50,19,31,68,4,32,18,10,4,12,6,6,0,20,9,11,9,4,0,0,5,39.4,25.2,9.4,15.7,311688.73,175707.166
W00009023,,oa,120,52,29,23,61,6,23,11,8,4,8,3,4,1,24,19,5,7,1,0,0,6,43.3,19.2,6.7,20.0,312413.251,175858.1725
W00009021,,oa,139,34,13,21,100,4,34,12,14,8,16,7,9,0,46,38,8,5,4,0,0,1,24.5,24.5,11.5,33.1,312922.5075,175826.849
W00009028,,oa,108,54,23,31,47,4,9,5,4,0,14,8,5,1,20,19,1,7,6,0,0,1,50.0,8.3,13.0,18.5,312426.30799999996,175658.62449999998
W00006517,,oa,132,32,8,24,93,16,38,18,12,8,13,6,6,1,26,19,7,7,3,0,0,4,24.2,28.8,9.8,19.7,313177.5235,183513.3645
W00009033,,oa,124,23,13,10,97,19,40,10,19,11,8,1,6,1,30,20,10,4,2,0,0,2,18.6,32.3,6.5,24.2,312975.6225,177676.4865
W00009006,,oa,134,37,7,30,88,2,21,7,12,2,18,4,12,2,47,40,7,9,4,0,1,4,27.6,15.7,13.4,35.1,312670.353,176291.6575
W00009000,,oa,136,48,16,32,76,11,32,6,20,6,13,5,7,1,20,16,4,12,8,0,0,4,35.3,23.5,9.6,14.7,313720.244,176723.9125
W00009505,,oa,114,42,21,21,66,18,42,22,13,7,3,0,3,0,3,1,2,6,3,0,0,3,36.8,36.8,2.6,2.6,312806.782,180996.674
W00009508,,oa,131,21,12,9,102,13,62,22,25,15,13,3,8,2,14,8,6,8,6,0,0,2,16.0,47.3,9.9,10.7,312227.14,181067.6885
W00008846,,oa,127,76,10,66,47,2,17,6,8,3,7,2,4,1,21,20,1,4,2,0,1,1,59.8,13.4,5.5,16.5,313231.9045,175537.213
W00008845,,oa,124,36,7,29,74,8,35,16,12,7,16,6,6,4,15,7,8,14,5,0,0,9,29.0,28.2,12.9,12.1,313612.65,175504.6085
W00008848,,oa,123,25,3,22,84,2,27,11,10,6,9,5,3,1,46,39,7,14,8,0,0,6,20.3,22.0,7.3,37.4,313664.1985,175294.65850000002
W00008849,,oa,109,39,4,35,65,1,32,11,16,5,12,3,8,1,20,11,9,5,4,0,0,1,35.8,29.4,11.0,18.3,312634.8275,175286.12
W00009014,,oa,135,39,20,19,87,4,30,11,12,7,13,2,10,1,40,32,8,9,2,0,2,5,28.9,22.2,9.6,29.6,313132.5,176185.5685
W00009019,,oa,119,37,14,23,74,4,31,13,12,6,12,3,9,0,27,22,5,8,5,0,1,2,31.1,26.1,10.1,22.7,312411.12899999996,176031.765
W00009012,,oa,120,73,22,51,41,4,17,4,8,5,12,5,6,1,8,5,3,6,5,0,0,1,60.8,14.2,10.0,6.7,313790.43799999997,176392.779
W00010221,,oa,121,36,12,24,78,13,41,19,16,6,17,13,4,0,7,5,2,7,3,0,0,4,29.8,33.9,14.0,5.8,311776.88,177055
W00009510,,oa,129,24,22,2,100,41,50,24,15,11,4,3,1,0,5,3,2,5,2,0,0,3,18.6,38.8,3.1,3.9,312400.086,180711.3625
W00010146,,oa,129,43,1,42,76,0,28,15,12,1,20,11,9,0,28,26,2,10,1,0,0,9,33.3,21.7,15.5,21.7,320976.408,177933.314
W00010180,,oa,131,39,0,39,69,0,48,19,26,3,13,8,5,0,8,6,2,23,5,2,0,16,29.8,36.6,9.9,6.1,321306.0425,178000.0015
W00010175,,oa,119,48,0,48,62,2,19,5,13,1,26,20,4,2,15,13,2,9,3,0,0,6,40.3,16.0,21.8,12.6,321124.9805,181457.12800000003
W00008599,,oa,134,16,6,10,115,7,86,21,55,10,9,6,3,0,13,9,4,3,1,0,0,2,11.9,64.2,6.7,9.7,325381.52650000004,182011.4945
W00010225,,oa,105,21,2,19,71,1,42,12,28,2,12,8,3,1,16,12,4,13,6,0,0,7,20.0,40.0,11.4,15.2,321249.36750000005,181989.58250000002
W00009704,,oa,138,54,13,41,77,1,32,12,14,6,7,2,5,0,37,30,7,7,4,0,0,3,39.1,23.2,5.1,26.8,323229.453,180708.3775
W00009311,,oa,133,51,30,21,73,11,33,5,16,12,13,3,9,1,16,10,6,9,2,1,0,6,38.4,24.8,9.8,12.0,321776.4595,180155.6165
W00009390,,oa,143,40,12,28,92,15,63,16,29,18,10,7,3,0,4,3,1,11,0,0,1,10,28.0,44.1,7.0,2.8,319619.676,178551.74550000002
W00009433,,oa,227,100,11,89,94,5,34,13,19,2,28,20,8,0,27,24,3,33,7,4,0,22,44.1,15.0,12.3,11.9,319661.998,177328.1725
W00009619,,oa,127,21,12,9,92,8,39,10,16,13,16,4,9,3,29,17,12,14,5,0,1,8,16.5,30.7,12.6,22.8,322405.2485,179967.6825
W00009332,,oa,130,39,9,30,85,3,46,14,21,11,7,3,4,0,29,17,12,6,5,0,0,1,30.0,35.4,5.4,22.3,320354.9865,181339.938
W00009665,,oa,114,22,3,19,79,0,18,4,13,1,15,5,10,0,46,40,6,13,6,0,0,7,19.3,15.8,13.2,40.4,321308.9465,176885.682
W00010207,,oa,108,19,0,19,82,0,58,13,43,2,13,9,4,0,11,10,1,7,3,0,0,4,17.6,53.7,12.0,10.2,323722.476,180311.218
W00009985,,oa,139,75,2,73,38,0,9,4,5,0,21,12,9,0,8,4,4,26,4,7,0,15,54.0,6.5,15.1,5.8,319694.9435,177168.311
W00009338,,oa,123,35,5,30,82,1,44,13,23,8,19,7,12,0,18,13,5,6,4,0,0,2,28.5,35.8,15.4,14.6,320192.4305,181074.489
W00009337,,oa,186,57,10,47,115,2,50,20,25,5,38,29,9,0,25,18,7,14,8,0,0,6,30.7,26.9,20.4,13.4,320631.8245,181291.586
W00009334,,oa,132,46,4,42,80,4,32,11,16,5,10,3,7,0,34,26,8,6,6,0,0,0,34.9,24.2,7.6,25.8,321002.46900000004,181259.59600000002
