area_code,area_name,census_geography,all_accommodation,flat_all,flat_commercial,flat_converted,flat_purpose,mobile_home,shared_all,unshared_all,unshared_house,unshared_house_detached,unshared_house_semi,unshared_house_terrace,flat_all_perc,mobile_home_perc,shared_all_perc,unshared_house_perc,whole_detached_perc,whole_semi_perc,whole_terrace_perc,centroid_x,centroid_y
W02000376,Cardiff 010,msoa,2989,857,5,32,820,0,0,2989,2132,503,1106,523,28.7,0.0,0.0,71.3,16.8,37.0,17.5,313880.2201269126,182058.28384689707
W02000368,Cardiff 002,msoa,2488,144,1,9,134,2,0,2488,2342,945,733,664,5.8,0.1,0.0,94.1,38.0,29.5,26.7,317055.78963273147,182947.95795937997
W02000369,Cardiff 003,msoa,3115,190,4,5,181,1,0,3115,2924,1520,875,529,6.1,0.0,0.0,93.9,48.8,28.1,17.0,321946.49976866436,183085.80415493637
W02000399,Cardiff 033,msoa,4602,2551,101,1341,1109,1,157,4445,1893,91,287,1515,55.4,0.0,3.4,41.1,2.0,6.2,32.9,319276.1774547001,177295.50443569018
W02000402,Cardiff 036,msoa,4064,1952,78,633,1241,2,39,4025,2071,95,204,1772,48.0,0.0,1.0,51.0,2.3,5.0,43.6,319762.9575245634,176950.699963194
W02000396,Cardiff 030,msoa,2963,809,53,517,239,0,74,2889,2080,52,135,1893,27.3,0.0,2.5,70.2,1.8,4.6,63.9,318867.44077411183,178257.26712803706
W02000395,Cardiff 029,msoa,2727,736,7,406,323,0,51,2676,1940,142,522,1276,27.0,0.0,1.9,71.1,5.2,19.1,46.8,320227.0097875482,178355.99962600775
W02000390,Cardiff 024,msoa,2365,486,14,72,400,0,0,2365,1879,666,1009,204,20.5,0.0,0.0,79.5,28.2,42.7,8.6,319795.8285386419,178955.58785246368
W02000374,Cardiff 008,msoa,2293,196,14,14,168,0,0,2293,2097,1080,818,199,8.5,0.0,0.0,91.5,47.1,35.7,8.7,319229.36908083636,181349.99125136307
W02000412,Cardiff 046,msoa,2804,777,6,193,578,1,28,2776,1998,169,600,1229,27.7,0.0,1.0,71.3,6.0,21.4,43.8,317410.07679263654,174997.84924464396
W02000422,Cardiff 048,msoa,3654,3393,6,22,3365,2,2,3652,257,18,94,145,92.9,0.1,0.1,7.0,0.5,2.6,4.0,319494.12760848907,170171.27437436898
W02000391,Cardiff 025,msoa,2426,535,60,183,292,0,0,2426,1891,39,475,1377,22.1,0.0,0.0,77.9,1.6,19.6,56.8,317053.523163438,178608.11445396586
W02000371,Cardiff 005,msoa,3989,1173,20,41,1112,0,0,3989,2816,435,1642,739,29.4,0.0,0.0,70.6,10.9,41.2,18.5,317748.78187170904,181776.48083822106
W02000392,Cardiff 026,msoa,3794,716,14,171,531,0,2,3792,3076,1006,1480,590,18.9,0.0,0.1,81.1,26.5,39.0,15.6,314848.42851463234,178393.50785419712
W02000393,Cardiff 027,msoa,2963,860,22,10,828,1,0,2963,2102,212,1055,835,29.0,0.0,0.0,70.9,7.2,35.6,28.2,313524.564148278,178341.46818095483
W02000397,Cardiff 031,msoa,2985,709,7,27,675,0,0,2985,2276,124,1357,795,23.8,0.0,0.0,76.2,4.2,45.5,26.6,313843.8804615948,177536.20537766753
W02000405,Cardiff 039,msoa,2996,344,6,14,324,1,0,2996,2651,117,1754,780,11.5,0.0,0.0,88.5,3.9,58.5,26.0,313246.7454842016,176588.02629035947
W02000407,Cardiff 041,msoa,2637,514,23,33,458,0,7,2630,2116,171,1128,817,19.5,0.0,0.3,80.2,6.5,42.8,31.0,314486.2806574489,176231.06466606655
W02000242,The Vale of Glamorgan 006,msoa,3333,330,22,40,268,2,0,3333,3001,883,1310,808,9.9,0.1,0.0,90.0,26.5,39.3,24.2,314669.93862747983,172267.6511891968
W02000389,Cardiff 023,msoa,3504,510,30,69,411,1,0,3504,2993,147,1798,1048,14.6,0.0,0.0,85.4,4.2,51.3,29.9,315420.8362349494,179063.82508542857
W02000372,Cardiff 006,msoa,3060,342,6,24,312,0,0,3060,2718,1647,705,366,11.2,0.0,0.0,88.8,53.8,23.0,12.0,312376.4501658448,181867.14267800216
W02000380,Cardiff 014,msoa,2764,131,7,6,118,1,0,2764,2632,1787,504,341,4.7,0.0,0.0,95.2,64.7,18.2,12.3,310168.7783747446,180058.52360947695
W02000409,Cardiff 043,msoa,2541,367,9,27,331,0,0,2541,2174,370,1149,655,14.4,0.0,0.0,85.6,14.6,45.2,25.8,312298.2939946976,175499.46115497436
W02000411,Cardiff 045,msoa,2703,596,7,9,580,0,0,2703,2107,283,1255,569,22.0,0.0,0.0,78.0,10.5,46.4,21.1,312929.362842845,175344.27200916177
W02000366,Newport 020,msoa,3193,191,15,13,163,131,0,3193,2871,1756,529,586,6.0,4.1,0.0,89.9,55.0,16.6,18.4,326833.09589914547,184132.50562584517
W02000377,Cardiff 011,msoa,2876,120,1,9,110,40,3,2873,2713,834,1161,718,4.2,1.4,0.1,94.3,29.0,40.4,25.0,324086.03961420053,179997.14018928944
W01001945,Cardiff 048D,lsoa,838,822,1,2,819,1,0,838,15,2,6,7,98.1,0.1,0.0,1.8,0.2,0.7,0.8,317985.240791411,173170.06166257316
W01001762,Cardiff 046D,lsoa,736,267,2,79,186,0,5,731,464,32,112,320,36.3,0.0,0.7,63.0,4.3,15.2,43.5,317847.6588320238,174330.72231915547
W01001761,Cardiff 046C,lsoa,724,267,3,85,179,0,23,701,434,24,28,382,36.9,0.0,3.2,59.9,3.3,3.9,52.8,317770.376610388,174807.87490715488
W01001760,Cardiff 046B,lsoa,670,172,0,23,149,0,0,670,498,22,296,180,25.7,0.0,0.0,74.3,3.3,44.2,26.9,318271.7779509862,174597.32094699456
W01001768,Cardiff 044E,lsoa,539,138,11,73,54,0,17,522,384,27,28,329,25.6,0.0,3.2,71.2,5.0,5.2,61.0,317795.73532268766,175114.46946316413
W01001765,Cardiff 044B,lsoa,521,143,5,71,67,0,14,507,364,23,31,310,27.4,0.0,2.7,69.9,4.4,6.0,59.5,318034.9700517446,175236.83380225793
W01001944,Cardiff 048C,lsoa,580,503,1,2,500,0,0,580,77,7,50,20,86.7,0.0,0.0,13.3,1.2,8.6,3.4,319172.73353598046,175360.28469841514
W01001941,Cardiff 032G,lsoa,670,647,57,19,571,0,5,665,18,1,6,11,96.6,0.0,0.7,2.7,0.1,0.9,1.6,318370.0264991199,176122.04859170687
W01001922,Cardiff 032E,lsoa,424,181,23,99,59,0,22,402,221,13,17,191,42.7,0.0,5.2,52.1,3.1,4.0,45.0,318441.67343972024,177174.89746943806
W01001835,Cardiff 033F,lsoa,908,672,10,179,483,0,25,883,211,18,46,147,74.0,0.0,2.8,23.2,2.0,5.1,16.2,319163.1064928849,176989.70806852786
W01001722,Cardiff 028D,lsoa,514,99,10,56,33,0,0,514,415,12,15,388,19.3,0.0,0.0,80.7,2.3,2.9,75.5,317994.5730386287,177950.67752156605
W01001832,Cardiff 033C,lsoa,741,507,3,315,189,0,25,716,209,16,30,163,68.4,0.0,3.4,28.2,2.2,4.0,22.0,318822.75299932214,177364.13178028178
W01001829,Cardiff 033A,lsoa,663,240,56,113,71,0,9,654,414,20,28,366,36.2,0.0,1.4,62.4,3.0,4.2,55.2,318952.3067351652,177576.1399080316
W01001720,Cardiff 028C,lsoa,590,179,27,85,67,0,0,590,411,6,23,382,30.3,0.0,0.0,69.7,1.0,3.9,64.7,318311.6762975676,177957.33048299738
W01001718,Cardiff 028A,lsoa,577,123,6,86,31,0,1,576,453,15,27,411,21.3,0.0,0.2,78.5,2.6,4.7,71.2,318292.06895463704,178205.4464774337
W01001726,Cardiff 028E,lsoa,524,93,6,53,34,0,0,524,431,16,31,384,17.7,0.0,0.0,82.3,3.1,5.9,73.3,317987.79620204493,178643.3277225744
W01001732,Cardiff 019A,lsoa,667,150,9,9,132,1,0,667,516,110,380,26,22.5,0.1,0.0,77.4,16.5,57.0,3.9,318582.2438484572,180596.2325995843
W01001863,Cardiff 022A,lsoa,637,71,6,15,50,0,0,637,566,67,370,129,11.1,0.0,0.0,88.9,10.5,58.1,20.3,322043.57605008455,178872.9684212532
W01001864,Cardiff 022B,lsoa,623,81,10,5,66,0,0,623,542,95,387,60,13.0,0.0,0.0,87.0,15.2,62.1,9.6,321492.14911038417,179362.10779155957
W01001816,Cardiff 009B,lsoa,1065,316,2,2,312,0,0,1065,749,95,270,384,29.7,0.0,0.0,70.3,8.9,25.4,36.1,320919.38247148704,181428.06049558803
W01001951,Cardiff 049E,lsoa,548,378,2,11,365,0,2,546,168,4,59,105,69.0,0.0,0.4,30.7,0.7,10.8,19.2,319130.1531423386,175914.43031953776
W01001952,Cardiff 049F,lsoa,621,539,3,24,512,0,4,617,78,7,16,55,86.8,0.0,0.6,12.6,1.1,2.6,8.9,318418.24622610374,175452.54005560747
W01001711,Cardiff 040C,lsoa,720,141,0,18,123,0,0,720,579,26,342,211,19.6,0.0,0.0,80.4,3.6,47.5,29.3,316203.69648416643,175555.5168494717
W01001716,Cardiff 035C,lsoa,543,51,7,18,26,0,0,543,492,40,172,280,9.4,0.0,0.0,90.6,7.4,31.7,51.6,314968.5154869864,177004.39911161043
W01001709,Cardiff 040A,lsoa,721,108,16,52,40,0,2,719,611,75,186,350,15.0,0.0,0.3,84.7,10.4,25.8,48.5,315587.4100512841,176385.62841007166
W01001714,Cardiff 035A,lsoa,612,24,3,16,5,0,0,612,588,49,292,247,3.9,0.0,0.0,96.1,8.0,47.7,40.4,315450.4520412459,176941.41832862524
W01001782,Cardiff 026D,lsoa,591,27,6,15,6,0,0,591,564,118,353,93,4.6,0.0,0.0,95.4,20.0,59.7,15.7,315011.87099834334,177563.36343797957
W01001781,Cardiff 026C,lsoa,829,366,4,113,249,0,0,829,463,98,247,118,44.1,0.0,0.0,55.9,11.8,29.8,14.2,315697.5290266145,177869.63622136708
W01001786,Cardiff 023B,lsoa,628,50,3,14,33,0,0,628,578,16,291,271,8.0,0.0,0.0,92.0,2.5,46.3,43.2,315211.3505782571,178771.97737299945
W01001785,Cardiff 023A,lsoa,482,36,0,1,35,0,0,482,446,26,299,121,7.5,0.0,0.0,92.5,5.4,62.0,25.1,315711.8426125762,179035.13922929703
W01001889,Cardiff 020B,lsoa,747,232,2,25,205,0,0,747,515,179,201,135,31.1,0.0,0.0,68.9,24.0,26.9,18.1,315846.33175113495,180024.07937946572
W01001852,Cardiff 004B,lsoa,723,10,4,0,6,0,0,723,713,309,379,25,1.4,0.0,0.0,98.6,42.7,52.4,3.5,315557.37112023454,183003.6531699536
W01001104,The Vale of Glamorgan 004E,lsoa,864,198,4,4,190,0,0,864,666,201,306,159,22.9,0.0,0.0,77.1,23.3,35.4,18.4,316707.5554207408,173032.5119750009
W01001710,Cardiff 040B,lsoa,701,125,17,60,48,0,5,696,571,9,57,505,17.8,0.0,0.7,81.5,1.3,8.1,72.0,316102.42249586864,176511.7835085576
W01001717,Cardiff 035D,lsoa,768,132,4,35,93,1,0,768,635,25,61,549,17.2,0.1,0.0,82.7,3.3,7.9,71.5,315852.5780742257,176971.18944461693
W01001712,Cardiff 040D,lsoa,679,151,9,76,66,0,0,679,528,12,58,458,22.2,0.0,0.0,77.8,1.8,8.5,67.5,316361.20647613064,176748.51056765593
W01001715,Cardiff 035B,lsoa,765,299,0,94,205,1,13,752,452,53,58,341,39.1,0.1,1.7,59.1,6.9,7.6,44.6,316012.94367676566,177112.17626137784
W01001858,Cardiff 034A,lsoa,869,448,12,299,137,0,15,854,406,12,74,320,51.6,0.0,1.7,46.7,1.4,8.5,36.8,316582.9060015113,177629.86517420766
W01001788,Cardiff 023D,lsoa,608,169,10,1,158,1,0,608,438,21,327,90,27.8,0.2,0.0,72.0,3.5,53.8,14.8,316065.8039755076,178574.56730447107
W01001787,Cardiff 023C,lsoa,556,46,2,10,34,0,0,556,510,60,418,32,8.3,0.0,0.0,91.7,10.8,75.2,5.8,316404.2883713633,178983.53799257995
W01001658,Newport 020D,lsoa,697,13,2,0,11,1,0,697,683,386,130,167,1.9,0.1,0.0,98.0,55.4,18.7,24.0,326533.4556828396,182260.35567539692
W01001808,Cardiff 007C,lsoa,638,63,2,0,61,0,0,638,575,36,220,319,9.9,0.0,0.0,90.1,5.6,34.5,50.0,321972.16743152123,181453.1882794492
W01001241,Rhondda Cynon Taf 026D,lsoa,756,117,7,11,99,1,3,753,635,58,264,313,15.5,0.1,0.4,84.0,7.7,34.9,41.4,312724.9213323827,183568.6413201884
W01001798,Cardiff 002D,lsoa,624,31,0,3,28,0,0,624,593,144,353,96,5.0,0.0,0.0,95.0,23.1,56.6,15.4,316732.80973315146,182576.8974918238
W01001851,Cardiff 012D,lsoa,697,144,1,1,142,0,0,697,553,155,313,85,20.7,0.0,0.0,79.3,22.2,44.9,12.2,315557.6746175932,181025.6780495372
W01001854,Cardiff 004D,lsoa,834,268,0,2,266,0,0,834,566,128,347,91,32.1,0.0,0.0,67.9,15.3,41.6,10.9,316109.80670907727,181807.84630464492
W01001887,Cardiff 020A,lsoa,613,87,3,13,71,0,0,613,526,77,389,60,14.2,0.0,0.0,85.8,12.6,63.5,9.8,314977.8282943473,180017.57332257813
W01001888,Cardiff 010A,lsoa,694,89,0,5,84,0,0,694,605,176,309,120,12.8,0.0,0.0,87.2,25.4,44.5,17.3,314135.600253507,180195.4149934938
W01001890,Cardiff 021D,lsoa,608,49,0,16,33,0,0,608,559,175,211,173,8.1,0.0,0.0,91.9,28.8,34.7,28.5,316483.66176333436,179638.56904295104
W01001891,Cardiff 020C,lsoa,762,228,16,26,186,0,0,762,534,44,315,175,29.9,0.0,0.0,70.1,5.8,41.3,23.0,315410.9817886886,179715.59161292328
W01001892,Cardiff 020D,lsoa,599,7,0,1,6,0,0,599,592,119,463,10,1.2,0.0,0.0,98.8,19.9,77.3,1.7,316107.24095778906,179415.75095764425
W01001893,Cardiff 010B,lsoa,793,163,4,10,149,0,0,793,630,186,222,222,20.6,0.0,0.0,79.4,23.5,28.0,28.0,313783.2225323797,182961.56831210348
W01001948,Cardiff 006E,lsoa,637,93,0,1,92,0,0,637,544,254,150,140,14.6,0.0,0.0,85.4,39.9,23.5,22.0,312756.6307454484,180156.8968415484
W01001953,Cardiff 005G,lsoa,643,146,4,6,136,0,0,643,497,18,345,134,22.7,0.0,0.0,77.3,2.8,53.7,20.8,316858.6410710665,181727.40124843208
W01001773,Cardiff 012A,lsoa,991,198,7,9,182,0,0,991,793,104,401,288,20.0,0.0,0.0,80.0,10.5,40.5,29.1,316652.56745037227,180444.1868416113
W01001776,Cardiff 021C,lsoa,515,19,2,16,1,0,0,515,496,36,383,77,3.7,0.0,0.0,96.3,7.0,74.4,15.0,317117.4798952975,179486.9645164268
W01001949,Cardiff 005F,lsoa,635,348,1,3,344,0,0,635,287,57,98,132,54.8,0.0,0.0,45.2,9.0,15.4,20.8,316895.9772853537,181213.63481104947
W01001770,Cardiff 018B,lsoa,476,91,2,2,87,1,0,476,384,72,239,73,19.1,0.2,0.0,80.7,15.1,50.2,15.3,317842.7818681769,179648.87513925027
W01001772,Cardiff 021A,lsoa,603,15,2,4,9,0,0,603,588,198,345,45,2.5,0.0,0.0,97.5,32.8,57.2,7.5,316152.2808048271,180194.86721146267
