area_code,area_name,census_geography,country_of_birth_all,europe_inc_uk,united_kingdom_channel_iom,england,northern_ireland,scotland,wales,united_kingdom_unspecified,channel_islands_isle_of_man,ireland,other_europe_total,eu_countries_total,germany,lithuania,poland,romania,eu_countries_other,rest_of_europe_total,turkey,europe_other,africa_total,north_africa,central_and_western_africa,nigeria,other_central_and_western_africa_other,south_and_eastern_africa,kenya,south_africa,zimbabwe,south_and_eastern_africa_other,middle_east_and_asia_total,middle_east,iran,middle_east_other,eastern_asia,china,hong_kong,eastern_asia_other,southern_asia,bangladesh,india,pakistan,southern_asia_other,south_east_asia,central_asia,americas_and_the_caribbean_total,north_americas_and_the_caribbean,the_caribbean,united_states_of_america,north_america_other,central_america,south_america,antarctica_and_oceania_total,australia,antarctica_and_oceania_other,country_of_birth_other,uk_total,europe_total,rest_of_world_total,uk_total_perc,europe_total_perc,rest_of_world_total_perc,centroid_x,centroid_y
W01001419,Caerphilly 021D,lsoa,1556,1517,1493,258,4,11,1220,0,2,6,16,16,4,0,0,0,12,0,0,0,11,0,4,4,0,7,3,3,0,1,22,3,1,2,1,1,0,0,12,0,3,9,0,6,0,1,1,0,0,1,0,0,5,2,3,0,1493,24,39,96.0,1.5,2.5,320260.5280645491,186256.34352958298
W01001778,Cardiff 001B,lsoa,1873,1760,1720,395,9,25,1291,0,1,8,31,29,6,0,2,0,21,2,0,2,28,7,2,0,2,19,5,3,2,9,68,22,7,15,9,5,3,1,31,0,20,6,5,6,0,12,10,0,9,1,2,0,5,5,0,0,1720,42,113,91.8,2.2,6.0,317555.4785893678,183876.7824833268
W00010122,,oa,237,172,134,46,1,1,86,0,1,1,36,31,2,0,10,0,19,5,0,5,13,0,3,0,3,10,0,1,1,8,45,16,2,14,4,4,0,0,20,2,13,5,0,5,0,5,4,1,2,1,0,1,2,1,1,0,134,43,65,56.5,18.1,27.4,319804.47750000004,177341.7465
W00010202,,oa,212,183,168,45,2,3,117,1,0,1,14,14,0,2,7,0,5,0,0,0,4,0,1,0,1,3,0,3,0,0,18,6,0,6,3,3,0,0,9,0,7,0,2,0,0,6,6,0,5,1,0,0,1,1,0,0,168,15,29,79.2,7.1,13.7,318592.762,174829.783
W00009432,,oa,244,219,184,67,2,5,110,0,0,1,34,32,5,3,7,0,17,2,0,2,7,1,0,0,0,6,1,1,1,3,15,4,2,2,2,2,0,0,8,2,0,1,5,1,0,3,2,0,0,2,0,1,0,0,0,0,184,37,25,75.4,15.2,10.2,319558.603,177512.225
W00009131,,oa,357,255,229,45,0,3,181,0,0,2,24,24,0,0,23,0,1,0,0,0,44,11,0,0,0,33,6,0,0,27,53,5,3,2,0,0,0,0,47,5,24,18,0,1,0,5,5,3,2,0,0,0,0,0,0,0,229,26,102,64.1,7.3,28.6,317900.23199999996,175504.0745
W00008803,,oa,293,216,207,35,0,0,172,0,0,1,8,7,1,0,4,0,2,1,0,1,42,5,2,1,1,35,0,3,0,32,30,18,3,15,10,10,0,0,2,1,0,1,0,0,0,4,2,1,1,0,0,2,1,1,0,0,207,10,77,70.6,3.4,26.3,319005.5,174629.9585
W00010124,,oa,253,206,175,26,0,1,148,0,0,3,28,28,1,0,12,0,15,0,0,0,7,0,1,1,0,6,1,0,0,5,33,7,2,5,2,2,0,0,21,3,7,2,9,3,0,7,7,4,2,1,0,0,0,0,0,0,175,31,47,69.2,12.3,18.6,318719.2415,174442.31949999998
W00009091,,oa,352,263,247,25,0,3,219,0,0,1,15,15,1,0,5,0,9,0,0,0,37,5,3,1,2,29,0,2,1,26,49,22,3,19,1,0,0,1,22,3,3,9,7,4,0,2,1,0,0,1,1,0,1,1,0,0,247,16,89,70.2,4.5,25.3,317928.00049999997,174498.6485
W00010141,,oa,193,158,126,45,0,0,81,0,0,5,27,26,6,0,1,0,19,1,0,1,6,2,1,1,0,3,1,2,0,0,26,13,0,13,2,2,0,0,8,0,8,0,0,3,0,3,2,0,1,1,0,1,0,0,0,0,126,33,35,65.3,17.1,18.1,317927.8985,176329.9285
W00010148,,oa,182,159,145,18,0,0,127,0,1,3,10,4,1,0,2,1,0,6,2,4,18,1,5,3,2,12,0,0,1,11,5,2,0,2,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,145,20,23,79.7,11.0,12.6,317940.222,173810.124
W00010171,,oa,211,186,163,41,4,4,114,0,1,2,20,15,4,0,3,0,8,5,0,5,13,1,3,3,0,9,0,1,0,8,8,6,2,4,0,0,0,0,1,0,1,0,0,1,0,3,3,1,0,2,0,0,1,1,0,0,163,28,25,77.3,13.3,11.8,319332.493,175172.8205
W00010203,,oa,179,134,123,20,1,0,101,1,0,2,9,9,3,0,5,0,1,0,0,0,10,2,2,2,0,6,0,0,0,6,33,10,0,10,7,6,1,0,6,3,2,1,0,10,0,1,1,1,0,0,0,0,1,1,0,0,123,11,45,68.7,6.1,25.1,318670.75450000004,174483.2755
W00008816,,oa,269,149,137,17,1,0,119,0,0,2,10,9,0,0,0,0,9,1,1,0,75,11,0,0,0,64,0,1,0,63,28,18,4,14,0,0,0,0,10,2,2,4,2,0,0,17,17,16,1,0,0,0,0,0,0,0,137,13,120,50.9,4.8,44.6,318819,175208.6885
W00010125,,oa,374,330,318,184,4,1,129,0,2,3,7,4,1,1,0,0,2,3,0,3,8,2,1,0,1,5,0,1,1,3,28,6,1,5,12,8,4,0,6,1,3,1,1,4,0,7,7,1,4,2,0,0,1,1,0,0,318,15,44,85.0,4.0,11.8,318273.75049999997,177417.102
W00009428,,oa,408,347,330,133,2,3,188,4,0,5,12,10,2,1,3,0,4,2,1,1,6,2,0,0,0,4,1,3,0,0,52,2,1,1,1,0,1,0,48,15,18,13,2,1,0,3,3,1,1,1,0,0,0,0,0,0,330,19,61,80.9,4.7,15.0,318965.849,177579.5765
W00010205,,oa,246,226,218,54,0,2,162,0,0,2,6,4,0,0,0,0,4,2,0,2,5,0,5,5,0,0,0,0,0,0,9,0,0,0,5,1,3,1,2,0,0,2,0,2,0,6,4,2,2,0,2,0,0,0,0,0,218,10,20,88.6,4.1,8.1,317670.822,177948.62300000002
W00009074,,oa,296,266,241,78,2,0,161,0,1,4,20,20,3,1,0,0,16,0,0,0,10,4,2,2,0,4,1,1,0,2,17,2,0,2,7,6,0,1,8,0,3,4,1,0,0,3,3,0,2,1,0,0,0,0,0,0,241,25,30,81.4,8.4,10.1,317816.10199999996,178665.842
W00010193,,oa,300,240,221,68,3,5,145,0,0,1,18,17,4,0,4,0,9,1,0,1,15,2,9,9,0,4,0,1,0,3,42,11,0,11,12,12,0,0,17,0,12,0,5,2,0,3,3,1,2,0,0,0,0,0,0,0,221,20,60,73.7,6.7,20.0,318566.6385,174997.1745
W00010118,,oa,546,401,341,209,1,5,126,0,0,6,54,49,3,0,11,1,34,5,0,5,14,3,4,3,1,7,2,3,0,2,113,3,0,3,61,50,6,5,23,1,18,4,0,25,1,14,11,0,9,2,0,3,4,3,1,0,341,65,145,62.5,11.9,26.6,317814.2395,177644.718
W00010191,,oa,188,150,141,47,0,3,91,0,0,0,9,8,1,0,4,0,3,1,0,1,6,0,5,5,0,1,0,1,0,0,27,12,0,12,7,1,6,0,6,0,3,3,0,1,1,3,3,0,2,1,0,0,2,0,2,0,141,10,38,75.0,5.3,20.2,318830.53500000003,175781.2605
W00010119,,oa,757,639,601,350,14,3,234,0,0,6,32,31,8,4,4,4,11,1,0,1,14,3,2,1,1,9,0,2,0,7,84,13,0,13,29,24,4,1,27,2,20,2,3,15,0,18,18,3,11,4,0,0,2,1,1,0,601,39,118,79.4,5.2,15.6,317705.922,177685.229
W00010166,,oa,293,264,259,45,5,3,206,0,0,2,3,3,0,0,1,0,2,0,0,0,9,2,4,0,4,3,0,1,0,2,19,4,0,4,8,0,0,8,7,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,259,5,29,88.4,1.7,9.9,321230.971,181694.44449999998
W00010167,,oa,160,125,109,41,1,2,65,0,0,1,15,15,0,0,3,0,12,0,0,0,6,0,4,2,2,2,0,2,0,0,27,5,4,1,6,4,1,1,16,0,15,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,109,16,35,68.1,10.0,21.9,318160.7525,173516.7825
W00009335,,oa,376,344,319,33,0,3,283,0,1,3,21,17,2,0,10,0,5,4,0,4,9,7,1,0,1,1,0,1,0,0,21,12,1,11,0,0,0,0,5,0,4,1,0,4,0,1,1,0,1,0,0,0,1,0,1,0,319,29,32,84.8,7.7,8.5,320563.3275,181429.106
W00010132,,oa,196,164,153,81,4,4,64,0,2,0,9,9,1,0,3,0,5,0,0,0,4,0,1,1,0,3,0,0,1,2,26,11,10,1,2,1,1,0,13,0,7,5,1,0,0,1,1,0,1,0,0,0,1,1,0,0,153,11,32,78.1,5.6,16.3,318597.135,177228.1545
W00008906,,oa,373,333,310,164,3,1,142,0,1,1,21,21,3,1,3,0,14,0,0,0,6,0,2,0,2,4,0,3,0,1,29,13,1,12,0,0,0,0,7,2,1,0,4,9,0,3,3,2,1,0,0,0,2,2,0,0,310,23,40,83.1,6.2,10.7,318064.98199999996,177821.062
W00008904,,oa,461,416,376,216,3,1,156,0,1,1,38,33,6,0,4,1,22,5,0,5,7,1,1,0,1,5,4,1,0,0,34,2,0,2,8,5,3,0,17,4,12,1,0,7,0,3,2,0,2,0,0,1,1,1,0,0,376,45,45,81.6,9.8,9.8,318475.0195,177776.6775
W00008909,,oa,463,423,403,240,4,5,154,0,1,2,17,16,0,0,0,3,13,1,0,1,6,0,1,1,0,5,0,3,1,1,25,5,0,5,3,1,2,0,11,0,10,0,1,6,0,6,6,1,3,2,0,0,3,3,0,0,403,21,40,87.0,4.5,8.6,318365.11100000003,177683.31949999998
W00008902,,oa,589,511,479,230,2,8,239,0,0,4,28,24,3,1,2,0,18,4,0,4,6,0,1,1,0,5,1,2,1,1,66,6,2,4,3,0,3,0,38,0,11,27,0,19,0,1,1,0,0,1,0,0,5,2,3,0,479,36,78,81.3,6.1,13.2,318193.2655,178749.8655
W00008901,,oa,494,438,422,245,2,2,173,0,1,0,15,14,5,0,0,0,9,1,0,1,6,3,0,0,0,3,0,3,0,0,46,5,0,5,32,32,0,0,9,2,5,2,0,0,0,4,4,0,4,0,0,0,0,0,0,0,422,17,56,85.4,3.4,11.3,318480.9865,177494.16749999998
W00009435,,oa,257,188,170,61,2,3,104,0,0,2,16,14,1,0,5,0,8,2,2,0,15,4,4,0,4,7,1,0,0,6,52,13,7,6,1,1,0,0,34,4,28,2,0,4,0,0,0,0,0,0,0,0,2,2,0,0,170,20,69,66.1,7.8,26.8,319448.8155,177551.03499999997
W00008916,,oa,456,403,376,211,4,3,158,0,3,3,21,21,2,0,8,0,11,0,0,0,2,0,0,0,0,2,0,2,0,0,44,9,0,9,13,12,1,0,12,0,8,4,0,10,0,5,5,1,2,2,0,0,2,2,0,0,376,27,53,82.5,5.9,11.6,318634.5075,177327.198
W00008912,,oa,554,418,386,194,4,3,185,0,1,2,29,26,6,0,4,3,13,3,0,3,8,0,2,1,1,6,1,1,3,1,114,13,0,13,46,32,10,4,22,1,9,8,4,33,0,13,11,0,6,5,0,2,1,1,0,0,386,35,136,69.7,6.3,24.5,317865.8995,177567.52649999998
W00008911,,oa,382,342,330,176,5,5,144,0,1,3,8,8,2,0,4,0,2,0,0,0,11,1,1,1,0,9,1,3,1,4,21,9,0,9,2,0,2,0,2,0,1,1,0,8,0,8,6,3,2,1,0,2,0,0,0,0,330,12,40,86.4,3.1,10.5,318138.7685,177597.517
W00008918,,oa,433,397,376,168,2,3,203,0,1,4,16,15,1,1,5,0,8,1,1,0,5,4,1,0,1,0,0,0,0,0,29,7,1,6,0,0,0,0,22,2,4,16,0,0,0,2,0,0,0,0,0,2,0,0,0,0,376,22,36,86.8,5.1,8.3,318076.5,178462.426
W00008919,,oa,263,225,214,96,4,1,113,0,1,0,10,8,1,0,0,0,7,2,0,2,10,2,4,1,3,4,0,0,0,4,26,1,0,1,9,9,0,0,12,1,7,4,0,4,0,2,2,0,1,1,0,0,0,0,0,0,214,13,38,81.4,4.9,14.4,317740.5995,178399.47100000002
W00009374,,oa,319,311,304,25,2,2,275,0,0,0,7,6,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,7,4,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,304,8,8,95.3,2.5,2.5,320145.395,181430.0275
W00009307,,oa,319,310,306,21,0,1,284,0,0,2,2,2,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,6,0,0,0,0,0,0,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,306,4,9,95.9,1.3,2.8,321767.80850000004,180372.81900000002
W00009400,,oa,373,339,325,87,1,3,234,0,0,4,10,9,1,0,2,0,6,1,1,0,5,3,0,0,0,2,0,0,0,2,24,2,1,1,0,0,0,0,21,12,2,7,0,1,0,4,4,2,2,0,0,0,1,1,0,0,325,15,34,87.1,4.0,9.1,319372.753,178143.06050000002
W00010116,,oa,238,150,117,42,2,1,72,0,0,5,28,26,1,1,4,0,20,2,1,1,8,1,5,3,2,2,0,0,1,1,74,49,5,44,10,4,5,1,9,0,9,0,0,5,1,6,6,0,4,2,0,0,0,0,0,0,117,35,88,49.2,14.7,37.0,319083.07999999996,176700.845
W00010195,,oa,169,141,131,58,0,5,68,0,0,2,8,7,0,0,3,0,4,1,1,0,3,2,0,0,0,1,1,0,0,0,17,1,0,1,4,2,1,1,11,0,8,0,3,1,0,7,6,1,2,3,0,1,1,1,0,0,131,11,28,77.5,6.5,16.6,318846.5605,175562.375
W00009120,,oa,356,300,288,25,0,1,262,0,0,1,11,7,1,0,1,0,5,4,4,0,23,7,2,0,2,14,0,0,0,14,29,7,0,7,2,2,0,0,18,0,7,7,4,2,0,4,4,3,1,0,0,0,0,0,0,0,288,16,56,80.9,4.5,15.7,317793.31649999996,174145.859
W00009121,,oa,357,269,250,55,1,3,191,0,0,4,15,15,1,0,3,0,11,0,0,0,35,10,1,0,1,24,1,3,2,18,43,10,2,8,11,0,5,6,22,2,18,0,2,0,0,9,8,8,0,0,0,1,1,0,1,0,250,19,88,70.0,5.3,24.6,317979.074,174198.343
W00009128,,oa,383,263,253,33,3,2,215,0,0,3,7,7,2,0,0,0,5,0,0,0,28,3,0,0,0,25,12,0,0,13,86,3,0,3,1,0,0,1,68,13,35,20,0,14,0,4,4,2,1,1,0,0,2,2,0,0,253,10,120,66.1,2.6,31.3,317844.0925,175704.84149999998
W00009392,,oa,328,311,293,94,5,5,189,0,0,6,12,12,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,2,2,5,4,0,1,4,2,2,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,293,18,17,89.3,5.5,5.2,319288.447,178459.137
W00009318,,oa,330,317,309,15,0,1,293,0,0,0,8,7,3,0,2,0,2,1,0,1,10,1,5,0,5,4,0,0,0,4,3,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,9,13,93.6,2.7,3.9,321956.8995,181568.788
W00009399,,oa,316,302,288,96,2,7,183,0,3,0,11,10,0,1,4,0,5,1,0,1,2,0,0,0,0,2,1,1,0,0,10,0,0,0,2,1,1,0,5,2,1,2,0,3,0,1,0,0,0,0,0,1,1,0,1,0,288,15,14,91.1,4.7,4.4,319712.995,178128.9905
W00009398,,oa,221,199,176,78,1,3,94,0,0,2,21,17,1,0,4,0,12,4,2,2,3,0,2,2,0,1,0,0,1,0,15,5,0,5,4,2,2,0,4,0,2,2,0,2,0,2,2,0,2,0,0,0,2,2,0,0,176,27,22,79.6,12.2,10.0,319356.042,178027.7115
W00009419,,oa,291,270,253,58,0,2,193,0,0,4,13,13,2,3,3,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,16,1,0,1,2,0,2,0,7,0,4,3,0,6,0,3,1,0,0,1,0,2,1,0,1,0,253,17,21,86.9,5.8,7.2,319795.8615,178807.0085
W00008960,,oa,372,352,340,81,1,5,253,0,0,0,12,11,4,0,1,0,6,1,0,1,5,1,1,1,0,3,0,0,0,3,13,5,0,5,2,2,0,0,5,3,2,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,340,13,20,91.4,3.5,5.4,318756.1425,180755.4365
W00008801,,oa,341,307,283,53,2,2,223,3,0,2,22,22,0,0,8,0,14,0,0,0,14,2,4,4,0,8,0,1,0,7,17,0,0,0,0,0,0,0,10,0,5,3,2,7,0,3,1,0,0,1,2,0,0,0,0,0,283,24,34,83.0,7.0,10.0,320164.42350000003,177184.975
W00009117,,oa,426,339,303,42,1,0,260,0,0,4,32,22,0,0,8,0,14,10,0,10,43,9,5,0,5,29,1,0,5,23,39,5,0,5,5,0,5,0,29,13,3,7,6,0,0,5,5,4,0,1,0,0,0,0,0,0,303,46,87,71.1,10.8,20.4,317714.3225,174524.8725
W00009474,,oa,333,293,278,76,2,6,194,0,0,1,14,13,2,3,2,0,6,1,0,1,2,0,1,1,0,1,0,1,0,0,33,6,3,3,4,2,2,0,22,10,12,0,0,0,1,5,4,0,3,1,0,1,0,0,0,0,278,16,40,83.5,4.8,12.0,319581.952,177678.0565
W00009473,,oa,327,285,260,105,2,3,150,0,0,4,21,21,3,0,4,0,14,0,0,0,10,0,6,6,0,4,0,1,3,0,28,5,0,5,7,3,4,0,13,2,6,3,2,3,0,2,2,1,1,0,0,0,2,1,1,0,260,25,42,79.5,7.6,12.8,319115.6655,177723.0935
W00009642,,oa,279,263,256,38,1,1,216,0,0,1,6,6,0,0,0,0,6,0,0,0,6,0,0,0,0,6,1,0,0,5,8,7,0,7,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,256,7,16,91.8,2.5,5.7,320200.1015,176480.581
W00008974,,oa,282,244,233,48,0,2,183,0,0,2,9,8,2,0,0,0,6,1,0,1,8,1,2,0,2,5,2,1,0,2,28,3,0,3,7,6,0,1,13,4,1,7,1,5,0,2,1,0,1,0,0,1,0,0,0,0,233,12,38,82.6,4.3,13.5,318891.802,179773.845
W00009641,,oa,260,241,222,18,0,1,203,0,0,0,19,19,0,0,10,1,8,0,0,0,10,2,6,0,6,2,0,0,0,2,7,1,1,0,0,0,0,0,2,1,1,0,0,4,0,2,2,2,0,0,0,0,0,0,0,0,222,19,19,85.4,7.3,7.3,320651.44,176729.62550000002
W00009106,,oa,350,262,231,31,0,2,198,0,0,3,28,23,3,0,2,0,18,5,1,4,26,0,4,2,2,22,2,2,2,16,60,2,0,2,4,3,1,0,49,9,1,39,0,2,3,1,0,0,0,0,0,1,1,0,1,0,231,36,88,66.0,10.3,25.1,317894.2265,175004.015
W00009107,,oa,344,279,258,41,0,5,212,0,0,1,20,17,1,0,2,0,14,3,3,0,11,0,0,0,0,11,1,1,0,9,53,6,1,5,1,0,1,0,44,15,10,18,1,2,0,1,1,0,1,0,0,0,0,0,0,0,258,24,65,75.0,7.0,18.9,317636.60349999997,174864.7955
W00009108,,oa,297,241,222,40,1,3,178,0,0,1,18,18,0,4,2,0,12,0,0,0,22,3,3,0,3,16,0,3,2,11,32,8,2,6,3,1,0,2,20,1,1,16,2,1,0,2,2,1,1,0,0,0,0,0,0,0,222,19,56,74.7,6.4,18.9,317904.719,174739.9455
W00009362,,oa,297,273,268,26,2,4,236,0,0,3,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,21,9,4,5,0,0,0,0,11,3,8,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,268,5,24,90.2,1.7,8.1,319959.657,179815.397
W00008811,,oa,251,217,197,66,1,1,129,0,0,4,16,15,3,0,6,0,6,1,0,1,4,1,0,0,0,3,0,1,0,2,25,3,2,1,2,0,0,2,13,0,10,1,2,5,2,3,2,1,1,0,0,1,2,1,1,0,197,21,34,78.5,8.4,13.5,319033.315,175765.46399999998
W00009557,,oa,454,299,250,58,2,2,188,0,0,6,43,43,0,0,10,4,29,0,0,0,29,6,5,0,5,18,1,1,0,16,122,15,0,15,7,5,2,0,86,30,16,36,4,14,0,4,4,3,1,0,0,0,0,0,0,0,250,49,155,55.1,10.8,34.1,317662.0785,176223.4165
W00009467,,oa,373,309,277,98,2,4,172,1,0,2,30,28,6,0,5,2,15,2,2,0,15,0,2,2,0,13,3,1,4,5,49,8,3,5,10,6,4,0,31,5,18,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,277,34,64,74.3,9.1,17.2,319058.8465,177992.548
W00009464,,oa,286,250,223,94,0,7,122,0,1,5,21,21,2,2,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,30,13,2,11,3,3,0,0,11,0,3,5,3,3,0,4,3,0,3,0,0,1,2,1,1,0,223,27,36,78.0,9.4,12.6,318815.9265,177946.8655
W00009460,,oa,424,344,322,135,2,6,179,0,1,10,11,11,0,0,9,0,2,0,0,0,5,1,1,1,0,3,1,1,1,0,67,4,0,4,8,5,1,2,52,21,13,17,1,3,0,7,7,1,3,3,0,0,1,0,1,0,322,22,80,75.9,5.2,18.9,318937.61699999997,178156.6615
W00009654,,oa,284,267,262,17,0,2,243,0,0,1,4,4,1,0,3,0,0,0,0,0,8,0,4,0,4,4,0,0,0,4,9,2,1,1,2,1,1,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,262,5,17,92.3,1.8,6.0,320629.19499999995,177160.46600000001
W00009112,,oa,397,323,279,52,1,4,222,0,0,9,35,33,0,1,14,0,18,2,0,2,23,5,1,0,1,17,1,0,2,14,49,6,5,1,2,1,1,0,37,13,10,9,5,4,0,2,2,0,2,0,0,0,0,0,0,0,279,46,74,70.3,11.6,18.6,317624.5455,174851
W00009114,,oa,490,403,378,57,0,5,316,0,0,1,24,19,1,0,3,3,12,5,5,0,20,4,3,3,0,13,0,4,0,9,59,10,3,7,15,15,0,0,34,8,5,19,2,0,0,8,8,2,6,0,0,0,0,0,0,0,378,30,87,77.1,6.1,17.8,318263.359,174561.179
W00009113,,oa,339,247,238,25,2,3,208,0,0,1,8,8,1,2,0,0,5,0,0,0,11,0,6,1,5,5,2,0,0,3,79,15,2,13,6,6,0,0,39,10,4,21,4,19,0,2,2,1,0,1,0,0,0,0,0,0,238,9,92,70.2,2.7,27.1,317980.4445,174663.588
W00009118,,oa,263,221,196,32,0,0,164,0,0,5,20,17,2,0,7,0,8,3,3,0,18,2,0,0,0,16,0,2,3,11,16,4,0,4,2,1,1,0,9,4,2,1,2,1,0,6,6,4,2,0,0,0,2,2,0,0,196,28,42,74.5,10.6,16.0,317776.2485,174443.061
W00009119,,oa,302,261,238,43,0,3,192,0,0,2,21,18,2,6,3,0,7,3,3,0,20,10,0,0,0,10,1,1,1,7,18,7,0,7,1,0,1,0,8,0,4,3,1,2,0,3,3,1,2,0,0,0,0,0,0,0,238,26,41,78.8,8.6,13.6,318044.26399999997,173977.398
W00009609,,oa,329,322,315,29,0,1,284,1,0,3,4,3,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,2,1,1,0,315,8,7,95.7,2.4,2.1,322188.681,178718.08899999998
W00010123,,oa,920,770,742,363,10,9,360,0,1,2,25,20,1,0,1,0,18,5,2,3,17,2,5,4,1,10,7,2,0,1,119,15,0,15,55,36,14,5,36,3,14,19,0,13,0,12,11,3,6,2,0,1,2,1,1,0,742,33,150,80.7,3.6,16.3,319507.4965,179746.0615
W00010121,,oa,233,141,106,47,1,5,52,1,2,0,33,32,4,0,1,1,26,1,0,1,3,1,1,0,1,1,1,0,0,0,81,39,0,39,20,14,4,2,14,0,13,1,0,6,2,6,3,0,2,1,1,2,2,1,1,0,106,36,92,45.5,15.5,39.5,318246.1275,176254.737
W00009627,,oa,295,289,281,28,2,0,251,0,0,0,8,8,0,0,1,0,7,0,0,0,4,0,0,0,0,4,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,281,8,6,95.3,2.7,2.0,321743.3905,179426.749
W00009984,,oa,321,257,217,58,2,2,155,0,1,1,38,35,0,0,10,0,25,3,0,3,17,0,0,0,0,17,0,0,1,16,42,24,4,20,2,0,2,0,10,4,4,2,0,6,0,3,2,0,0,2,0,1,2,1,1,0,217,43,64,67.6,13.4,19.9,319262.71499999997,176736.929
W00009341,,oa,321,282,271,33,1,0,237,0,0,4,7,7,0,0,6,0,1,0,0,0,8,2,0,0,0,6,0,1,4,1,29,12,2,10,1,0,0,1,8,4,0,4,0,8,0,2,2,2,0,0,0,0,0,0,0,0,271,11,39,84.4,3.4,12.1,320319.206,181107.7555
W00009440,,oa,327,291,266,79,3,6,178,0,0,2,23,20,1,0,3,0,16,3,0,3,10,4,2,1,1,4,0,2,1,1,22,4,0,4,9,6,2,1,8,2,0,6,0,1,0,4,4,2,2,0,0,0,0,0,0,0,266,28,36,81.3,8.6,11.0,319268.06700000004,177349.472
W00009632,,oa,307,288,281,35,0,3,243,0,0,0,7,7,0,0,0,0,7,0,0,0,7,1,0,0,0,6,0,1,1,4,11,9,9,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,281,7,19,91.5,2.3,6.2,320260.373,176769.413
W00009631,,oa,269,254,247,16,0,2,229,0,0,1,6,6,0,0,0,0,6,0,0,0,10,0,3,1,2,7,0,0,1,6,5,4,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,7,15,91.8,2.6,5.6,320874.8935,176699.8835
W00009638,,oa,286,277,260,14,0,0,246,0,0,1,16,16,1,0,3,0,12,0,0,0,2,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,6,3,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,260,17,9,90.9,5.9,3.1,320957.0125,176577.831
W00009160,,oa,328,317,307,40,0,1,266,0,0,5,5,3,2,0,0,0,1,2,0,2,1,0,0,0,0,1,0,1,0,0,9,3,0,3,0,0,0,0,3,0,3,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,307,12,11,93.6,3.7,3.4,317770.12,180564.54499999998
W00008924,,oa,499,414,379,189,8,8,174,0,2,1,32,31,5,3,7,0,16,1,0,1,16,2,6,5,1,8,0,2,1,5,66,12,2,10,16,13,2,1,32,7,11,13,1,6,0,2,0,0,0,0,0,2,1,1,0,0,379,36,85,76.0,7.2,17.0,318227.91099999996,178183.177
W00008929,,oa,361,314,288,138,0,1,149,0,0,2,24,22,5,1,2,0,14,2,0,2,11,6,0,0,0,5,0,0,2,3,30,2,1,1,5,5,0,0,14,0,12,0,2,9,0,6,2,1,1,0,0,4,0,0,0,0,288,28,47,79.8,7.8,13.0,318173.174,178099.059
W00009356,,oa,411,390,381,40,1,5,335,0,1,4,4,4,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,15,0,0,0,4,0,3,1,10,0,7,0,3,1,0,4,4,4,0,0,0,0,1,1,0,0,381,9,21,92.7,2.2,5.1,319574.659,180154.6255
W00009455,,oa,191,170,155,40,1,1,113,0,0,1,14,14,2,0,4,0,8,0,0,0,3,0,1,1,0,2,1,0,0,1,16,10,2,8,0,0,0,0,2,0,2,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,155,15,21,81.2,7.9,11.0,318581.8165,178077.2735
W00009450,,oa,209,200,189,36,2,0,151,0,0,2,9,9,0,0,4,0,5,0,0,0,1,0,0,0,0,1,0,1,0,0,6,2,0,2,3,3,0,0,1,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,189,11,9,90.4,5.3,4.3,319235.77150000003,176953
