area_code,area_name,census_geography,all_residents,area_ha,density,centroid_x,centroid_y
W01001716,Cardiff 035C,lsoa,1274,22.62,56.3,314968.5154869864,177004.39911161043
W01001709,Cardiff 040A,lsoa,1898,61.38,30.9,315587.4100512841,176385.62841007166
W01001714,Cardiff 035A,lsoa,1522,32.67,46.6,315450.4520412459,176941.41832862524
W01001782,Cardiff 026D,lsoa,1437,31.7,45.3,315011.87099834334,177563.36343797957
W01001781,Cardiff 026C,lsoa,1736,67.46,25.7,315697.5290266145,177869.63622136708
W01001786,Cardiff 023B,lsoa,1555,44.62,34.8,315211.3505782571,178771.97737299945
W01001785,Cardiff 023A,lsoa,1183,22.02,53.7,315711.8426125762,179035.13922929703
W01001889,Cardiff 020B,lsoa,1546,40.22,38.4,315846.33175113495,180024.07937946572
W01001852,Cardiff 004B,lsoa,1817,339.91,5.3,315557.37112023454,183003.6531699536
W01001104,The Vale of Glamorgan 004E,lsoa,1977,161.76,12.2,316707.5554207408,173032.5119750009
W01001710,Cardiff 040B,lsoa,1597,15.76,101.3,316102.42249586864,176511.7835085576
W01001717,Cardiff 035D,lsoa,1580,13.56,116.5,315852.5780742257,176971.18944461693
W01001712,Cardiff 040D,lsoa,1506,17.3,87.1,316361.20647613064,176748.51056765593
W01001715,Cardiff 035B,lsoa,1571,20.59,76.3,316012.94367676566,177112.17626137784
W01001858,Cardiff 034A,lsoa,1694,119.51,14.2,316582.9060015113,177629.86517420766
W01001788,Cardiff 023D,lsoa,1431,28.66,49.9,316065.8039755076,178574.56730447107
W01001787,Cardiff 023C,lsoa,1461,30.98,47.2,316404.2883713633,178983.53799257995
W01001658,Newport 020D,lsoa,1885,365.14,5.2,326533.4556828396,182260.35567539692
W01001808,Cardiff 007C,lsoa,1634,33.22,49.2,321972.16743152123,181453.1882794492
W01001241,Rhondda Cynon Taf 026D,lsoa,1727,127.15,13.6,312724.9213323827,183568.6413201884
W01001798,Cardiff 002D,lsoa,1481,29.22,50.7,316732.80973315146,182576.8974918238
W01001851,Cardiff 012D,lsoa,1482,57.62,25.7,315557.6746175932,181025.6780495372
W01001854,Cardiff 004D,lsoa,1572,32.03,49.1,316109.80670907727,181807.84630464492
W01001887,Cardiff 020A,lsoa,1573,41.86,37.6,314977.8282943473,180017.57332257813
W01001888,Cardiff 010A,lsoa,1686,60.01,28.1,314135.600253507,180195.4149934938
W01001890,Cardiff 021D,lsoa,1610,24.6,65.4,316483.66176333436,179638.56904295104
W01001891,Cardiff 020C,lsoa,1659,34.05,48.7,315410.9817886886,179715.59161292328
W01001892,Cardiff 020D,lsoa,1437,26.99,53.2,316107.24095778906,179415.75095764425
W01001893,Cardiff 010B,lsoa,1871,428.85,4.4,313783.2225323797,182961.56831210348
W01001948,Cardiff 006E,lsoa,1618,229.51,7,312756.6307454484,180156.8968415484
W01001953,Cardiff 005G,lsoa,1499,45.41,33,316858.6410710665,181727.40124843208
W01001773,Cardiff 012A,lsoa,2524,33.11,76.2,316652.56745037227,180444.1868416113
W01001776,Cardiff 021C,lsoa,1347,30.04,44.8,317117.4798952975,179486.9645164268
W01001949,Cardiff 005F,lsoa,1281,12.96,98.8,316895.9772853537,181213.63481104947
W01001770,Cardiff 018B,lsoa,1107,98.78,11.2,317842.7818681769,179648.87513925027
W01001772,Cardiff 021A,lsoa,1413,29.26,48.3,316152.2808048271,180194.86721146267
W01001789,Cardiff 023E,lsoa,1527,48.96,31.2,314522.84070591454,179376.87057134602
W01001792,Cardiff 005B,lsoa,1701,45.73,37.2,317586.08927225583,181060.5024423225
W01001794,Cardiff 001C,lsoa,1420,29.42,48.3,317712.5339723969,183125.13116749187
W01001795,Cardiff 002B,lsoa,1547,44.69,34.6,316892.93875464424,183112.1987646707
W01001796,Cardiff 002C,lsoa,1491,30.09,49.6,317209.97601355927,182840.9703306879
W01001797,Cardiff 005C,lsoa,1439,39.93,36,317582.2117757669,182370.85211540625
W01001809,Cardiff 017A,lsoa,1309,18.74,69.9,319681.907778889,180326.85262021105
W01001810,Cardiff 017B,lsoa,1678,27.76,60.4,320191.3922935975,180489.89836612207
W01001813,Cardiff 017D,lsoa,1519,31.32,48.5,320072.321371389,180013.54439909806
W01001814,Cardiff 017E,lsoa,1421,26.55,53.5,320046.6103454035,179549.89615646677
W01001815,Cardiff 008D,lsoa,1353,31.89,42.4,320011.4578494053,181584.97682839242
W01001819,Cardiff 014D,lsoa,2287,901.94,2.5,309961.1694630933,182346.64748400394
W01001820,Cardiff 006A,lsoa,1196,228.47,5.2,311693.2517174133,183218.34034321114
W01001896,Cardiff 020E,lsoa,1533,31.25,49.1,315249.6479761583,180480.3603847506
W01001840,Cardiff 007D,lsoa,1752,51.16,34.2,323119.8482272534,181509.22298488198
W01001802,Cardiff 007A,lsoa,1588,36.87,43.1,322574.5956320743,181168.9613219585
W01001879,Cardiff 013A,lsoa,1904,44.72,42.6,323637.80557883694,180858.03620307395
W01001880,Cardiff 013B,lsoa,1554,20.71,75,324169.1784868598,180957.53225814574
W01001113,The Vale of Glamorgan 003A,lsoa,2289,4390.71,0.5,306236.8773483947,177117.80209097796
W01001135,The Vale of Glamorgan 003C,lsoa,1494,2918.02,0.5,309437.28714040015,172288.8320071897
W01001240,Rhondda Cynon Taf 026C,lsoa,1945,545.14,3.6,312664.80712559214,184979.70168993747
W01001872,Cardiff 038B,lsoa,1525,14.04,108.6,320101.256454791,176637.50851963987
W01001874,Cardiff 038D,lsoa,1429,111.52,12.8,320137.30289849115,175822.17738833692
W01001694,Cardiff 036A,lsoa,1961,17.57,111.6,319770.33786633017,176939.30945680017
W01001870,Cardiff 037A,lsoa,1377,24.36,56.5,320570.6143402268,176863.15638893892
W01001698,Cardiff 036E,lsoa,1968,18.01,109.3,319933.1675215942,177301.0443730184
W01001871,Cardiff 037B,lsoa,1594,49.27,32.4,321103.75706321304,176870.4021991125
W01001869,Cardiff 038A,lsoa,1395,17.63,79.1,320390.2191841855,177262.7097622887
W01001697,Cardiff 036D,lsoa,1646,17.93,91.8,320347.99810449546,177368.79813788252
W01001825,Cardiff 029D,lsoa,1775,65.1,27.3,320471.2572158646,178077.523180278
W01001875,Cardiff 037C,lsoa,2695,217.07,12.4,321300.4592102816,176861.40127526995
W01001828,Cardiff 024D,lsoa,1535,59.68,25.7,320299.15894635057,178900.51173020474
W01001868,Cardiff 022D,lsoa,1498,28.95,51.7,322010.5197306038,179549.00423104814
W01001883,Cardiff 016C,lsoa,1600,24.02,66.6,323115.9145795123,180503.62492457664
W01001884,Cardiff 013D,lsoa,1374,17.8,77.2,323797.3879479243,180700.30339931662
W01001841,Cardiff 003A,lsoa,2025,126.19,16,320329.08775458595,182754.37346167152
W01001882,Cardiff 011C,lsoa,1824,194.95,9.4,324870.43581255013,180976.1092935418
W01001843,Cardiff 003C,lsoa,2167,324.54,6.7,322733.18905566714,182591.84120133283
W01001842,Cardiff 003B,lsoa,1748,310.61,5.6,321240.7082033047,183433.37667911957
W01001803,Cardiff 015A,lsoa,1573,28.92,54.4,322211.1570869292,180247.56574680016
W01001805,Cardiff 015C,lsoa,1490,53.79,27.7,321596.4101043559,180453.91432741637
W01001811,Cardiff 009A,lsoa,1503,115.65,13,320892.52513633046,180477.00077959005
W01001823,Cardiff 029B,lsoa,1334,17.22,77.5,319687.90128276823,178108.21388617714
W01001865,Cardiff 022C,lsoa,1321,169.31,7.8,321965.15128197754,178202.9104247234
W01001876,Cardiff 037D,lsoa,1547,23.51,65.8,320812.29467152053,177348.12850156237
W01001799,Cardiff 001D,lsoa,1279,63.55,20.1,318474.7023998587,182283.07708122753
W01001844,Cardiff 003D,lsoa,2028,43.7,46.4,320785.69507312286,182065.03534313262
W01001783,Cardiff 026E,lsoa,1268,29.44,43.1,313850.8666340961,179335.12842716696
W01001790,Cardiff 023F,lsoa,1187,23.76,50,315265.0054912311,179229.61493339727
W01001757,Cardiff 025C,lsoa,1493,18.29,81.6,317275.0227764844,178985.37149432627
W01001774,Cardiff 018D,lsoa,1399,23.15,60.4,317099.3418083176,179966.96331610254
W01001733,Cardiff 019B,lsoa,2077,49.63,41.8,319266.44970719743,179964.98609239905
W01001812,Cardiff 017C,lsoa,1292,19.71,65.6,319881.2394315599,180234.27738073564
W01001806,Cardiff 015D,lsoa,1642,94.61,17.4,321317.65130765154,179803.20573472613
W01001867,Cardiff 016B,lsoa,1429,33.35,42.8,322497.6754532895,179611.50930539166
W01001895,Cardiff 010D,lsoa,1634,136.03,12,314073.8891558276,180705.13773265426
W01001848,Cardiff 012B,lsoa,1447,28.59,50.6,316282.2242649768,180968.9091454483
W01001769,Cardiff 018A,lsoa,1602,35.4,45.3,317717.7562848745,180513.37820103212
W01001731,Cardiff 008B,lsoa,1446,49.7,29.1,318638.2345261434,181084.84642271526
W01001736,Cardiff 008C,lsoa,1395,48.84,28.6,319343.6434955176,181610.99103171675
W01001946,Cardiff 049C,lsoa,1339,22.92,58.4,317923.7678766262,174071.87499002845
W01001767,Cardiff 044D,lsoa,1658,16.25,102,317501.3183257516,175247.02123918198
W01001766,Cardiff 044C,lsoa,1663,12.69,131,317493.494488932,175556.80659604576
W01001764,Cardiff 044A,lsoa,1993,23.63,84.3,317582.16521547025,175608.81513239193
W01001855,Cardiff 042A,lsoa,1799,12.82,140.3,317192.6824188151,176163.8731885365
W01001857,Cardiff 042C,lsoa,1856,22.81,81.4,317086.3042044775,176298.3240899503
W01001856,Cardiff 042B,lsoa,1852,14.69,126.1,317643.1085447294,176156.11702926556
W01001862,Cardiff 042D,lsoa,1733,18.18,95.3,317497.8520257142,176378.67708085806
W01001721,Cardiff 032A,lsoa,2906,30.86,94.2,317751.8346860609,177680.40022308216
W01001719,Cardiff 028B,lsoa,2064,22.32,92.5,317707.5465713019,178062.46691481525
W01001939,Cardiff 032F,lsoa,1020,146.37,7,317959.04553788126,176992.19724434696
W01001755,Cardiff 025A,lsoa,1432,20.93,68.4,317455.84062947636,178602.61523126415
W01001758,Cardiff 025D,lsoa,2056,21.54,95.5,317672.3119235572,178795.10386031188
W01001771,Cardiff 018C,lsoa,1645,40.36,40.8,317163.0500403451,180498.7621005363
W01001793,Cardiff 002A,lsoa,1427,24.56,58.1,317204.3921053238,183268.24817401677
W01001657,Newport 020C,lsoa,1465,881.84,1.7,324419.52194464067,183719.67563788543
W01001804,Cardiff 015B,lsoa,1566,33.13,47.3,321906.340127758,181006.294551031
W01001881,Cardiff 013C,lsoa,1438,24.91,57.7,323170.7502957466,181225.0387263099
W01001877,Cardiff 011A,lsoa,1710,56.18,30.4,324244.8131614613,181793.53931799452
W01001850,Cardiff 012C,lsoa,1931,47.6,40.6,316035.1582275457,181230.596810674
W01001853,Cardiff 004C,lsoa,1562,38.41,40.7,316279.8461891827,181969.2150797473
W01001777,Cardiff 001A,lsoa,1496,338.95,4.4,319337.92751694005,183640.3645755297
W01001791,Cardiff 005A,lsoa,1625,92.08,17.6,318102.51964988816,181632.0540125292
W01001800,Cardiff 005D,lsoa,1565,38.01,41.2,317162.57298363885,181986.40628148016
W01001807,Cardiff 007B,lsoa,1567,24.47,64,322342.940489826,181575.02323656206
W01001817,Cardiff 009C,lsoa,1406,17.2,81.7,320423.52828593267,181673.08619875583
W01001818,Cardiff 009D,lsoa,1528,26.28,58.1,320043.4613611992,181145.3391710907
W01001866,Cardiff 016A,lsoa,1510,43.49,34.7,322470.2455168427,180312.5949478231
W01001942,Cardiff 049B,lsoa,1355,31.2,43.4,318680.23802730435,174353.2877318564
W01001699,Cardiff 049A,lsoa,2198,27.2,80.8,318821.4680035169,175198.95932243238
W01001943,Cardiff 048B,lsoa,1098,128.48,8.5,319367.61875445826,174252.94632396128
W01001695,Cardiff 036B,lsoa,3243,34.74,93.4,319088.4934366188,176469.0504381284
W01001725,Cardiff 032D,lsoa,2214,10.25,216,318393.52747568086,177462.91366299207
W01001696,Cardiff 036C,lsoa,1553,18.43,84.3,319599.03227099474,176662.81589639283
W01001873,Cardiff 038C,lsoa,1699,31.02,54.8,320240.0456751109,176302.31563340029
W01001940,Cardiff 048A,lsoa,1111,205.83,5.4,320840.1159405423,170171.2741243602
W01001724,Cardiff 032C,lsoa,1984,10.55,188.1,318454.44448994705,177698.31900120882
W01001834,Cardiff 033E,lsoa,1607,12.25,131.2,319165.5683926723,177402.9527176996
W01001837,Cardiff 030C,lsoa,1524,9.88,154.3,318613.9925419682,178056.5496738754
W01001838,Cardiff 030D,lsoa,1782,10.71,166.4,318907.83098576986,178138.9926440862
W01001824,Cardiff 029C,lsoa,1566,14.98,104.5,319543.0630475395,178067.64444148415
W01001836,Cardiff 030B,lsoa,1599,28.13,56.8,318867.4661743203,178516.37575919623
W01001827,Cardiff 024C,lsoa,1610,44.25,36.4,318975.825547368,178945.80566067444
W01001826,Cardiff 024B,lsoa,1353,39.02,34.7,319785.431861158,179167.4779013404
W01001735,Cardiff 019D,lsoa,1624,62.78,25.9,318905.6899211286,179482.71487842116
W01001734,Cardiff 019C,lsoa,1526,42.33,36.1,318543.08697962447,179947.09941995243
W01001730,Cardiff 008A,lsoa,1489,73.93,20.1,319460.37286219024,181247.3520239153
W01001821,Cardiff 024A,lsoa,1837,30.69,59.9,319420.27402219706,178790.87696379024
W01001822,Cardiff 029A,lsoa,1647,64.05,25.7,320244.45958699763,178597.5615082683
W01001830,Cardiff 033B,lsoa,1638,9.77,167.7,319430.4999655485,177677.16418478233
W01001831,Cardiff 030A,lsoa,1565,12.01,130.3,319096.2981668002,177854.14989938098
W01001833,Cardiff 033D,lsoa,1626,17.6,92.4,319601.6653796944,177465.28581049727
W01001839,Cardiff 030E,lsoa,1609,10,160.9,318790.03551185026,177964.00895640886
W01001950,Cardiff 049D,lsoa,1082,7.41,146,318674.791467382,174667.09503117754
W01001947,Cardiff 048E,lsoa,1504,113.56,13.2,317400.404438332,173925.86397937877
W01001759,Cardiff 046A,lsoa,1588,134.41,11.8,316891.40014007414,175003.18110787324
W01001713,Cardiff 040E,lsoa,1724,14.24,121.1,316483.12672888965,176324.2291716176
W01001859,Cardiff 034B,lsoa,1421,15.06,94.4,316547.742259611,177109.56821300284
W01001860,Cardiff 034C,lsoa,1707,17.98,94.9,316790.3185768131,176928.03382810196
W01001861,Cardiff 034D,lsoa,1709,37.53,45.5,317129.72179127263,176884.26572416365
W01001756,Cardiff 025B,lsoa,3809,66.22,57.5,316766.79696796706,178571.78873361496
W01001775,Cardiff 021B,lsoa,1592,24.78,64.2,316660.04879032506,179913.64342130127
W01001090,The Vale of Glamorgan 006E,lsoa,1470,909.92,1.6,314678.5557522886,173662.45416294332
W01001136,The Vale of Glamorgan 003D,lsoa,1165,206.01,5.7,312275.9931946142,173573.85666905003
W01001702,Cardiff 045A,lsoa,1850,42.39,43.6,312454.8874025063,175197.98362188056
W01001703,Cardiff 045B,lsoa,1266,19.69,64.3,313619.91002401186,175448.7016810575
W01001704,Cardiff 041A,lsoa,1552,31.03,50,314203.69566166366,175736.16600198878
W01001705,Cardiff 045C,lsoa,1776,58.09,30.6,313192.29993507476,175061.4495257406
W01001707,Cardiff 041C,lsoa,2068,62.79,32.9,314400.34758990904,176099.60095792744
W01001708,Cardiff 045D,lsoa,1562,30.92,50.5,313265.80187259975,175666.27974167408
W01001729,Cardiff 014C,lsoa,2203,1048.42,2.1,311261.2108390088,178244.96636687982
W01001737,Cardiff 039A,lsoa,1585,29.24,54.2,313566.26062761375,176743.79068926044
W01001738,Cardiff 039B,lsoa,1421,29.88,47.6,312772.83513914765,176504.02219772377
W01001739,Cardiff 039C,lsoa,1361,23.18,58.7,313369.2338952302,176608.50256715194
W01001740,Cardiff 039D,lsoa,1521,20.03,75.9,313471.930983525,176228.22101168704
W01001741,Cardiff 039E,lsoa,1619,23.12,70,312917.04152730864,176271.20253904903
W01001742,Cardiff 043A,lsoa,1515,22.51,67.3,312940.40706147917,175889.1365594347
W01001743,Cardiff 043B,lsoa,1424,42.46,33.5,311709.0505502423,175840.0319245293
W01001744,Cardiff 043C,lsoa,1592,47.26,33.7,312381.69325076987,175578.25205297623
W01001749,Cardiff 027C,lsoa,1488,46.17,32.2,313122.5527051976,178352.51345160653
W01001750,Cardiff 031A,lsoa,1650,45.83,36,314000.4118670318,177862.20617758943
W01001751,Cardiff 027D,lsoa,1661,29.86,55.6,313216.22406872484,177845.20650267845
W01001752,Cardiff 031B,lsoa,1625,41.18,39.5,313913.06671285816,177294.4945193673
W01001846,Cardiff 006C,lsoa,1727,73.95,23.4,312307.815517958,181466.88713225466
W01001847,Cardiff 006D,lsoa,1535,99.44,15.4,312383.6472321325,181414.63301234398
W01001954,Cardiff 006F,lsoa,1537,64.01,24,312958.36679349584,180611.47056471003
W01001780,Cardiff 026B,lsoa,1750,54.03,32.4,314565.79498923966,178738.0099611766
W01001745,Cardiff 043D,lsoa,1355,41.25,32.8,311587.4465580335,175327.12050324917
W01001746,Cardiff 041D,lsoa,1542,28.69,53.7,314086.314019939,176739.10356448984
W01001747,Cardiff 027A,lsoa,1624,50.37,32.2,313764.52935698634,178595.5809171048
W01001748,Cardiff 027B,lsoa,1569,29.63,53,313858.41718127043,178269.90619607174
W01001753,Cardiff 031C,lsoa,1653,26.18,63.1,313193.1607484043,177408.89604200737
W01001784,Cardiff 026F,lsoa,1361,25.69,53,314037.3970441571,178850.7015628324
W01001706,Cardiff 041B,lsoa,1244,58.36,21.3,314850.34847368614,176332.1920359961
W01001754,Cardiff 031D,lsoa,1711,36.9,46.4,314407.6316338188,177216.97814333433
W01001779,Cardiff 026A,lsoa,1445,47.1,30.7,314963.95431220985,178005.79136730928
W01001894,Cardiff 010C,lsoa,1589,33.38,47.6,314666.7007522099,181133.50120941637
W01001849,Cardiff 004A,lsoa,1558,97.7,15.9,314932.42788160057,182096.143380204
W01001885,Cardiff 011D,lsoa,2017,482.47,4.2,323688.228414576,179098.22847917143
W01001886,Cardiff 016D,lsoa,1199,22.05,54.4,323092.72971230675,180027.3394755419
W01001912,Newport 020E,lsoa,1480,1607.09,0.9,327937.5044875044,181929.44324992562
W01001878,Cardiff 011B,lsoa,1574,33.63,46.8,323767.4310386791,181589.54248731275
W01001419,Caerphilly 021D,lsoa,1556,2546.33,0.6,320260.5280645491,186256.34352958298
W01001778,Cardiff 001B,lsoa,1873,431.61,4.3,317555.4785893678,183876.7824833268
W00010122,,oa,237,2.34,101.3,319804.47750000004,177341.7465
W00010202,,oa,212,0.96,220.8,318592.762,174829.783
W00009432,,oa,244,1.84,132.6,319558.603,177512.225
W00009131,,oa,357,3.61,98.9,317900.23199999996,175504.0745
W00008803,,oa,293,3.51,83.5,319005.5,174629.9585
W00010124,,oa,253,1.76,143.8,318719.2415,174442.31949999998
W00009091,,oa,352,2.16,163,317928.00049999997,174498.6485
W00010141,,oa,193,18.66,10.3,317927.8985,176329.9285
W00010148,,oa,182,1.2,151.7,317940.222,173810.124
W00010171,,oa,211,5.04,41.9,319332.493,175172.8205
W00010203,,oa,179,1.15,155.7,318670.75450000004,174483.2755
W00008816,,oa,269,1.39,193.5,318819,175208.6885
W00010125,,oa,374,2,187,318273.75049999997,177417.102
W00009428,,oa,408,3.17,128.7,318965.849,177579.5765
W00010205,,oa,246,5.81,42.3,317670.822,177948.62300000002
W00009074,,oa,296,2.29,129.3,317816.10199999996,178665.842
W00010193,,oa,300,2.22,135.1,318566.6385,174997.1745
W00010118,,oa,546,4.81,113.5,317814.2395,177644.718
W00010191,,oa,188,3.99,47.1,318830.53500000003,175781.2605
W00010119,,oa,757,3.32,228,317705.922,177685.229
W00010166,,oa,293,8.49,34.5,321230.971,181694.44449999998
W00010167,,oa,160,1.3,123.1,318160.7525,173516.7825
W00009335,,oa,376,4.9,76.7,320563.3275,181429.106
W00010132,,oa,196,1.08,181.5,318597.135,177228.1545
W00008906,,oa,373,2.39,156.1,318064.98199999996,177821.062
W00008904,,oa,461,3.62,127.3,318475.0195,177776.6775
W00008909,,oa,463,2.36,196.2,318365.11100000003,177683.31949999998
W00008902,,oa,589,20.94,28.1,318193.2655,178749.8655
W00008901,,oa,494,2.29,215.7,318480.9865,177494.16749999998
W00009435,,oa,257,1.41,182.3,319448.8155,177551.03499999997
W00008916,,oa,456,2.92,156.2,318634.5075,177327.198
W00008912,,oa,554,12.95,42.8,317865.8995,177567.52649999998
W00008911,,oa,382,2.82,135.5,318138.7685,177597.517
