area_code,area_name,census_geography,all_households,owned,own_outright,own_mortgage,shared_own,rent_social,rent_council,rent_other,private_rent,private_landlord,private_other,rent_free,owned_perc,rent_social_perc,private_rent_perc,centroid_x,centroid_y
W01001719,Cardiff 028B,lsoa,534,278,161,117,3,10,3,7,238,212,26,5,52.1,1.9,44.6,317707.5465713019,178062.46691481525
W01001939,Cardiff 032F,lsoa,627,147,66,81,1,13,2,11,438,407,31,28,23.4,2.1,69.9,317959.04553788126,176992.19724434696
W01001755,Cardiff 025A,lsoa,536,277,109,168,7,12,5,7,231,213,18,9,51.7,2.2,43.1,317455.84062947636,178602.61523126415
W01001758,Cardiff 025D,lsoa,652,327,155,172,5,16,5,11,293,261,32,11,50.2,2.5,44.9,317672.3119235572,178795.10386031188
W01001771,Cardiff 018C,lsoa,688,562,278,284,1,33,8,25,87,82,5,5,81.7,4.8,12.6,317163.0500403451,180498.7621005363
W01001793,Cardiff 002A,lsoa,567,444,140,304,14,13,1,12,94,90,4,2,78.3,2.3,16.6,317204.3921053238,183268.24817401677
W01001657,Newport 020C,lsoa,547,489,186,303,0,5,2,3,45,41,4,8,89.4,0.9,8.2,324419.52194464067,183719.67563788543
W01001804,Cardiff 015B,lsoa,643,386,140,246,1,187,175,12,54,42,12,15,60.0,29.1,8.4,321906.340127758,181006.294551031
W01001881,Cardiff 013C,lsoa,645,307,128,179,2,249,185,64,71,62,9,16,47.6,38.6,11.0,323170.7502957466,181225.0387263099
W01001877,Cardiff 011A,lsoa,721,573,173,400,3,25,1,24,118,108,10,2,79.5,3.5,16.4,324244.8131614613,181793.53931799452
W01001850,Cardiff 012C,lsoa,790,729,437,292,2,3,2,1,51,45,6,5,92.3,0.4,6.5,316035.1582275457,181230.596810674
W01001853,Cardiff 004C,lsoa,749,681,485,196,3,3,0,3,57,51,6,5,90.9,0.4,7.6,316279.8461891827,181969.2150797473
W01001777,Cardiff 001A,lsoa,610,539,336,203,3,9,7,2,46,40,6,13,88.4,1.5,7.5,319337.92751694005,183640.3645755297
W01001791,Cardiff 005A,lsoa,734,553,328,225,2,52,29,23,112,104,8,15,75.3,7.1,15.3,318102.51964988816,181632.0540125292
W01001800,Cardiff 005D,lsoa,665,390,166,224,3,208,178,30,53,46,7,11,58.6,31.3,8.0,317162.57298363885,181986.40628148016
W01001807,Cardiff 007B,lsoa,591,262,92,170,0,266,243,23,51,47,4,12,44.3,45.0,8.6,322342.940489826,181575.02323656206
W01001817,Cardiff 009C,lsoa,553,395,139,256,3,100,13,87,54,46,8,1,71.4,18.1,9.8,320423.52828593267,181673.08619875583
W01001818,Cardiff 009D,lsoa,625,430,138,292,0,68,9,59,126,113,13,1,68.8,10.9,20.2,320043.4613611992,181145.3391710907
W01001866,Cardiff 016A,lsoa,606,376,179,197,1,159,113,46,48,40,8,22,62.0,26.2,7.9,322470.2455168427,180312.5949478231
W01001942,Cardiff 049B,lsoa,647,224,81,143,5,197,89,108,208,197,11,13,34.6,30.4,32.1,318680.23802730435,174353.2877318564
W01001699,Cardiff 049A,lsoa,1000,220,81,139,6,479,426,53,264,255,9,31,22.0,47.9,26.4,318821.4680035169,175198.95932243238
W01001943,Cardiff 048B,lsoa,635,205,63,142,13,54,4,50,353,333,20,10,32.3,8.5,55.6,319367.61875445826,174252.94632396128
W01001695,Cardiff 036B,lsoa,845,122,39,83,5,360,40,320,348,331,17,10,14.4,42.6,41.2,319088.4934366188,176469.0504381284
W01001725,Cardiff 032D,lsoa,589,55,31,24,2,47,13,34,482,430,52,3,9.3,8.0,81.8,318393.52747568086,177462.91366299207
W01001696,Cardiff 036C,lsoa,683,212,83,129,3,285,66,219,174,154,20,9,31.0,41.7,25.5,319599.03227099474,176662.81589639283
W01001873,Cardiff 038C,lsoa,778,322,118,204,1,242,28,214,201,186,15,12,41.4,31.1,25.8,320240.0456751109,176302.31563340029
W01001940,Cardiff 048A,lsoa,728,185,56,129,18,89,2,87,432,416,16,4,25.4,12.2,59.3,320840.1159405423,170171.2741243602
W01001724,Cardiff 032C,lsoa,549,95,65,30,3,7,2,5,443,425,18,1,17.3,1.3,80.7,318454.44448994705,177698.31900120882
W01001834,Cardiff 033E,lsoa,691,299,122,177,4,83,37,46,289,261,28,16,43.3,12.0,41.8,319165.5683926723,177402.9527176996
W01001837,Cardiff 030C,lsoa,510,170,84,86,6,84,56,28,238,225,13,12,33.3,16.5,46.7,318613.9925419682,178056.5496738754
W01001838,Cardiff 030D,lsoa,640,288,116,172,2,8,4,4,333,313,20,9,45.0,1.3,52.0,318907.83098576986,178138.9926440862
W01001824,Cardiff 029C,lsoa,693,284,115,169,2,39,3,36,364,356,8,4,41.0,5.6,52.5,319543.0630475395,178067.64444148415
W01001836,Cardiff 030B,lsoa,580,218,84,134,2,28,4,24,330,318,12,2,37.6,4.8,56.9,318867.4661743203,178516.37575919623
W01001827,Cardiff 024C,lsoa,619,548,304,244,3,20,3,17,43,40,3,5,88.5,3.2,6.9,318975.825547368,178945.80566067444
W01001826,Cardiff 024B,lsoa,561,500,304,196,2,7,1,6,49,45,4,3,89.1,1.2,8.7,319785.431861158,179167.4779013404
W01001735,Cardiff 019D,lsoa,608,496,264,232,0,8,7,1,102,98,4,2,81.6,1.3,16.8,318905.6899211286,179482.71487842116
W01001734,Cardiff 019C,lsoa,592,530,291,239,2,1,0,1,55,52,3,4,89.5,0.2,9.3,318543.08697962447,179947.09941995243
W01001730,Cardiff 008A,lsoa,647,590,383,207,0,3,1,2,48,44,4,6,91.2,0.5,7.4,319460.37286219024,181247.3520239153
W01001821,Cardiff 024A,lsoa,548,372,204,168,3,68,3,65,98,89,9,7,67.9,12.4,17.9,319420.27402219706,178790.87696379024
W01001822,Cardiff 029A,lsoa,739,508,248,260,1,123,0,123,98,88,10,9,68.7,16.6,13.3,320244.45958699763,178597.5615082683
W01001830,Cardiff 033B,lsoa,883,147,67,80,1,88,13,75,638,617,21,9,16.6,10.0,72.3,319430.4999655485,177677.16418478233
W01001831,Cardiff 030A,lsoa,620,296,135,161,4,14,7,7,295,275,20,11,47.7,2.3,47.6,319096.2981668002,177854.14989938098
W01001833,Cardiff 033D,lsoa,716,326,153,173,3,73,9,64,311,298,13,3,45.5,10.2,43.4,319601.6653796944,177465.28581049727
W01001839,Cardiff 030E,lsoa,613,257,133,124,4,26,6,20,319,297,22,7,41.9,4.2,52.0,318790.03551185026,177964.00895640886
W01001950,Cardiff 049D,lsoa,609,240,80,160,2,40,12,28,318,303,15,9,39.4,6.6,52.2,318674.791467382,174667.09503117754
W01001947,Cardiff 048E,lsoa,873,352,70,282,10,39,10,29,466,444,22,6,40.3,4.5,53.4,317400.404438332,173925.86397937877
W01001759,Cardiff 046A,lsoa,674,500,181,319,5,44,11,33,120,109,11,5,74.2,6.5,17.8,316891.40014007414,175003.18110787324
W01001713,Cardiff 040E,lsoa,745,481,190,291,2,92,8,84,162,143,19,8,64.6,12.3,21.7,316483.12672888965,176324.2291716176
W01001859,Cardiff 034B,lsoa,722,380,164,216,2,68,6,62,268,262,6,4,52.6,9.4,37.1,316547.742259611,177109.56821300284
W01001860,Cardiff 034C,lsoa,799,475,191,284,1,46,19,27,264,253,11,13,59.4,5.8,33.0,316790.3185768131,176928.03382810196
W01001861,Cardiff 034D,lsoa,757,362,139,223,0,33,4,29,350,336,14,12,47.8,4.4,46.2,317129.72179127263,176884.26572416365
W01001756,Cardiff 025B,lsoa,667,308,124,184,2,196,138,58,143,98,45,18,46.2,29.4,21.4,316766.79696796706,178571.78873361496
W01001775,Cardiff 021B,lsoa,693,502,244,258,1,38,26,12,142,128,14,10,72.4,5.5,20.5,316660.04879032506,179913.64342130127
W01001090,The Vale of Glamorgan 006E,lsoa,615,562,299,263,1,15,10,5,31,26,5,6,91.4,2.4,5.0,314678.5557522886,173662.45416294332
W01001136,The Vale of Glamorgan 003D,lsoa,497,460,267,193,0,6,6,0,28,23,5,3,92.6,1.2,5.6,312275.9931946142,173573.85666905003
W01001702,Cardiff 045A,lsoa,745,466,164,302,1,172,69,103,100,79,21,6,62.6,23.1,13.4,312454.8874025063,175197.98362188056
W01001703,Cardiff 045B,lsoa,503,233,106,127,1,218,107,111,43,36,7,8,46.3,43.3,8.5,313619.91002401186,175448.7016810575
W01001704,Cardiff 041A,lsoa,631,226,98,128,0,341,288,53,48,45,3,16,35.8,54.0,7.6,314203.69566166366,175736.16600198878
W01001705,Cardiff 045C,lsoa,718,430,149,281,4,170,123,47,105,98,7,9,59.9,23.7,14.6,313192.29993507476,175061.4495257406
W01001707,Cardiff 041C,lsoa,803,374,124,250,2,352,173,179,64,51,13,11,46.6,43.8,8.0,314400.34758990904,176099.60095792744
W01001708,Cardiff 045D,lsoa,737,308,126,182,1,332,220,112,83,75,8,13,41.8,45.0,11.3,313265.80187259975,175666.27974167408
W01001729,Cardiff 014C,lsoa,808,684,235,449,1,15,4,11,101,96,5,7,84.7,1.9,12.5,311261.2108390088,178244.96636687982
W01001737,Cardiff 039A,lsoa,653,242,94,148,1,354,343,11,47,41,6,9,37.1,54.2,7.2,313566.26062761375,176743.79068926044
W01001738,Cardiff 039B,lsoa,525,177,68,109,1,283,273,10,53,50,3,11,33.7,53.9,10.1,312772.83513914765,176504.02219772377
W01001739,Cardiff 039C,lsoa,523,165,56,109,1,298,268,30,52,49,3,7,31.5,57.0,9.9,313369.2338952302,176608.50256715194
W01001740,Cardiff 039D,lsoa,682,271,113,158,1,352,335,17,49,46,3,9,39.7,51.6,7.2,313471.930983525,176228.22101168704
W01001741,Cardiff 039E,lsoa,613,157,53,104,0,395,377,18,47,42,5,14,25.6,64.4,7.7,312917.04152730864,176271.20253904903
W01001742,Cardiff 043A,lsoa,640,238,95,143,0,340,302,38,50,47,3,12,37.2,53.1,7.8,312940.40706147917,175889.1365594347
W01001743,Cardiff 043B,lsoa,605,525,245,280,6,26,22,4,43,34,9,5,86.8,4.3,7.1,311709.0505502423,175840.0319245293
W01001744,Cardiff 043C,lsoa,740,265,102,163,0,396,316,80,54,42,12,25,35.8,53.5,7.3,312381.69325076987,175578.25205297623
W01001749,Cardiff 027C,lsoa,699,433,182,251,4,186,131,55,66,54,12,10,61.9,26.6,9.4,313122.5527051976,178352.51345160653
W01001750,Cardiff 031A,lsoa,841,384,173,211,1,356,296,60,71,61,10,29,45.7,42.3,8.4,314000.4118670318,177862.20617758943
W01001751,Cardiff 027D,lsoa,802,356,140,216,5,349,332,17,77,67,10,15,44.4,43.5,9.6,313216.22406872484,177845.20650267845
W01001752,Cardiff 031B,lsoa,673,572,277,295,0,32,29,3,59,51,8,10,85.0,4.8,8.8,313913.06671285816,177294.4945193673
W01001846,Cardiff 006C,lsoa,641,539,192,347,0,32,17,15,67,58,9,3,84.1,5.0,10.5,312307.815517958,181466.88713225466
W01001847,Cardiff 006D,lsoa,637,614,377,237,0,2,1,1,16,16,0,5,96.4,0.3,2.5,312383.6472321325,181414.63301234398
W01001954,Cardiff 006F,lsoa,637,558,323,235,3,19,5,14,49,44,5,8,87.6,3.0,7.7,312958.36679349584,180611.47056471003
W01001780,Cardiff 026B,lsoa,628,512,260,252,4,39,1,38,69,67,2,4,81.5,6.2,11.0,314565.79498923966,178738.0099611766
W01001745,Cardiff 043D,lsoa,556,493,232,261,0,17,12,5,41,33,8,5,88.7,3.1,7.4,311587.4465580335,175327.12050324917
W01001746,Cardiff 041D,lsoa,663,303,116,187,1,253,233,20,96,84,12,10,45.7,38.2,14.5,314086.314019939,176739.10356448984
W01001747,Cardiff 027A,lsoa,812,617,260,357,3,31,25,6,153,144,9,8,76.0,3.8,18.8,313764.52935698634,178595.5809171048
W01001748,Cardiff 027B,lsoa,650,385,157,228,2,178,166,12,70,57,13,15,59.2,27.4,10.8,313858.41718127043,178269.90619607174
W01001753,Cardiff 031C,lsoa,642,299,117,182,1,269,99,170,65,55,10,8,46.6,41.9,10.1,313193.1607484043,177408.89604200737
W01001784,Cardiff 026F,lsoa,585,486,234,252,2,9,2,7,85,77,8,3,83.1,1.5,14.5,314037.3970441571,178850.7015628324
W01001706,Cardiff 041B,lsoa,540,375,189,186,6,90,18,72,59,55,4,10,69.4,16.7,10.9,314850.34847368614,176332.1920359961
W01001754,Cardiff 031D,lsoa,829,621,321,300,6,76,14,62,114,107,7,12,74.9,9.2,13.8,314407.6316338188,177216.97814333433
W01001779,Cardiff 026A,lsoa,653,522,289,233,0,14,2,12,105,92,13,12,79.9,2.1,16.1,314963.95431220985,178005.79136730928
W01001894,Cardiff 010C,lsoa,651,580,311,269,1,14,10,4,51,46,5,5,89.1,2.2,7.8,314666.7007522099,181133.50120941637
W01001849,Cardiff 004A,lsoa,651,591,343,248,0,4,3,1,52,49,3,4,90.8,0.6,8.0,314932.42788160057,182096.143380204
W01001885,Cardiff 011D,lsoa,786,541,129,412,3,134,78,56,101,90,11,7,68.8,17.0,12.8,323688.228414576,179098.22847917143
W01001886,Cardiff 016D,lsoa,516,222,87,135,0,235,103,132,51,45,6,8,43.0,45.5,9.9,323092.72971230675,180027.3394755419
W01001912,Newport 020E,lsoa,648,559,281,278,3,10,4,6,71,62,9,5,86.3,1.5,11.0,327937.5044875044,181929.44324992562
W01001878,Cardiff 011B,lsoa,630,462,152,310,2,87,80,7,73,67,6,6,73.3,13.8,11.6,323767.4310386791,181589.54248731275
W01001419,Caerphilly 021D,lsoa,632,479,222,257,2,85,81,4,53,46,7,13,75.8,13.4,8.4,320260.5280645491,186256.34352958298
W01001778,Cardiff 001B,lsoa,700,666,344,322,0,2,2,0,22,22,0,10,95.1,0.3,3.1,317555.4785893678,183876.7824833268
W00010122,,oa,114,21,8,13,0,12,3,9,79,79,0,2,18.4,10.5,69.3,319804.47750000004,177341.7465
W00010202,,oa,134,52,18,34,0,2,2,0,78,76,2,2,38.8,1.5,58.2,318592.762,174829.783
W00009432,,oa,133,30,12,18,0,4,1,3,98,94,4,1,22.6,3.0,73.7,319558.603,177512.225
W00009131,,oa,131,66,28,38,0,27,1,26,32,31,1,6,50.4,20.6,24.4,317900.23199999996,175504.0745
W00008803,,oa,159,22,7,15,0,102,48,54,32,31,1,3,13.8,64.2,20.1,319005.5,174629.9585
W00010124,,oa,115,17,5,12,1,45,2,43,51,49,2,1,14.8,39.1,44.3,318719.2415,174442.31949999998
W00009091,,oa,124,46,17,29,0,33,4,29,41,37,4,4,37.1,26.6,33.1,317928.00049999997,174498.6485
W00010141,,oa,137,45,24,21,0,1,0,1,85,82,3,6,32.8,0.7,62.0,317927.8985,176329.9285
W00010148,,oa,89,11,2,9,0,48,3,45,27,26,1,3,12.4,53.9,30.3,317940.222,173810.124
W00010171,,oa,130,29,7,22,6,32,2,30,61,60,1,2,22.3,24.6,46.9,319332.493,175172.8205
W00010203,,oa,91,36,15,21,0,26,4,22,27,24,3,2,39.6,28.6,29.7,318670.75450000004,174483.2755
W00008816,,oa,183,8,5,3,0,157,152,5,7,7,0,11,4.4,85.8,3.8,318819,175208.6885
W00010125,,oa,77,7,6,1,0,6,2,4,64,60,4,0,9.1,7.8,83.1,318273.75049999997,177417.102
W00009428,,oa,123,44,20,24,0,16,3,13,62,59,3,1,35.8,13.0,50.4,318965.849,177579.5765
W00010205,,oa,97,76,41,35,1,1,1,0,17,15,2,2,78.4,1.0,17.5,317670.822,177948.62300000002
W00009074,,oa,121,72,39,33,1,2,1,1,44,39,5,2,59.5,1.7,36.4,317816.10199999996,178665.842
W00010193,,oa,132,29,5,24,6,3,2,1,93,92,1,1,22.0,2.3,70.5,318566.6385,174997.1745
W00010118,,oa,96,10,7,3,1,12,7,5,72,65,7,1,10.4,12.5,75.0,317814.2395,177644.718
W00010191,,oa,108,49,16,33,0,1,1,0,57,51,6,1,45.4,0.9,52.8,318830.53500000003,175781.2605
W00010119,,oa,76,8,4,4,0,2,1,1,66,63,3,0,10.5,2.6,86.8,317705.922,177685.229
W00010166,,oa,122,85,7,78,2,7,6,1,25,24,1,3,69.7,5.7,20.5,321230.971,181694.44449999998
W00010167,,oa,105,20,5,15,2,0,0,0,83,77,6,0,19.0,0.0,79.0,318160.7525,173516.7825
W00009335,,oa,138,88,29,59,0,30,17,13,17,15,2,3,63.8,21.7,12.3,320563.3275,181429.106
W00010132,,oa,68,5,3,2,0,16,2,14,47,45,2,0,7.4,23.5,69.1,318597.135,177228.1545
W00008906,,oa,141,28,13,15,2,9,2,7,100,97,3,2,19.9,6.4,70.9,318064.98199999996,177821.062
W00008904,,oa,152,30,21,9,1,2,1,1,118,112,6,1,19.7,1.3,77.6,318475.0195,177776.6775
W00008909,,oa,121,15,9,6,1,1,0,1,104,101,3,0,12.4,0.8,86.0,318365.11100000003,177683.31949999998
W00008902,,oa,177,64,19,45,0,4,1,3,107,101,6,2,36.2,2.3,60.5,318193.2655,178749.8655
W00008901,,oa,134,23,10,13,0,3,1,2,107,106,1,1,17.2,2.2,79.9,318480.9865,177494.16749999998
W00009435,,oa,140,17,7,10,0,18,0,18,103,98,5,2,12.1,12.9,73.6,319448.8155,177551.03499999997
W00008916,,oa,131,18,17,1,3,6,2,4,100,97,3,4,13.7,4.6,76.3,318634.5075,177327.198
W00008912,,oa,145,47,37,10,2,9,6,3,86,68,18,1,32.4,6.2,59.3,317865.8995,177567.52649999998
W00008911,,oa,127,11,6,5,0,41,37,4,71,67,4,4,8.7,32.3,55.9,318138.7685,177597.517
W00008918,,oa,123,36,20,16,0,3,0,3,81,73,8,3,29.3,2.4,65.9,318076.5,178462.426
W00008919,,oa,96,28,14,14,1,16,1,15,49,48,1,2,29.2,16.7,51.0,317740.5995,178399.47100000002
W00009374,,oa,109,96,27,69,0,8,2,6,5,5,0,0,88.1,7.3,4.6,320145.395,181430.0275
W00009307,,oa,131,90,38,52,0,30,26,4,7,7,0,4,68.7,22.9,5.3,321767.80850000004,180372.81900000002
W00009400,,oa,125,65,25,40,0,8,1,7,51,48,3,1,52.0,6.4,40.8,319372.753,178143.06050000002
W00010116,,oa,146,32,9,23,1,7,1,6,106,101,5,0,21.9,4.8,72.6,319083.07999999996,176700.845
W00010195,,oa,102,38,8,30,0,2,0,2,59,55,4,3,37.3,2.0,57.8,318846.5605,175562.375
W00009120,,oa,151,53,23,30,1,64,34,30,20,20,0,13,35.1,42.4,13.2,317793.31649999996,174145.859
W00009121,,oa,209,35,9,26,0,111,107,4,53,52,1,10,16.7,53.1,25.4,317979.074,174198.343
W00009128,,oa,125,100,55,45,0,1,0,1,24,22,2,0,80.0,0.8,19.2,317844.0925,175704.84149999998
W00009392,,oa,142,71,30,41,2,6,0,6,63,62,1,0,50.0,4.2,44.4,319288.447,178459.137
W00009318,,oa,127,40,16,24,1,74,67,7,10,9,1,2,31.5,58.3,7.9,321956.8995,181568.788
W00009399,,oa,128,99,36,63,0,2,0,2,27,26,1,0,77.3,1.6,21.1,319712.995,178128.9905
W00009398,,oa,130,23,7,16,1,7,0,7,99,99,0,0,17.7,5.4,76.2,319356.042,178027.7115
W00009419,,oa,133,108,66,42,0,0,0,0,24,23,1,1,81.2,0.0,18.0,319795.8615,178807.0085
W00008960,,oa,139,127,77,50,0,0,0,0,10,10,0,2,91.4,0.0,7.2,318756.1425,180755.4365
W00008801,,oa,140,85,34,51,0,14,3,11,39,35,4,2,60.7,10.0,27.9,320164.42350000003,177184.975
W00009117,,oa,172,65,23,42,3,61,36,25,35,34,1,8,37.8,35.5,20.3,317714.3225,174524.8725
W00009474,,oa,120,86,27,59,1,3,2,1,30,30,0,0,71.7,2.5,25.0,319581.952,177678.0565
W00009473,,oa,148,80,34,46,3,3,2,1,60,54,6,2,54.1,2.0,40.5,319115.6655,177723.0935
W00009642,,oa,123,70,33,37,1,25,2,23,24,23,1,3,56.9,20.3,19.5,320200.1015,176480.581
W00008974,,oa,108,105,57,48,0,0,0,0,3,3,0,0,97.2,0.0,2.8,318891.802,179773.845
W00009641,,oa,105,63,17,46,0,28,25,3,13,10,3,1,60.0,26.7,12.4,320651.44,176729.62550000002
W00009106,,oa,120,61,21,40,1,24,11,13,28,25,3,6,50.8,20.0,23.3,317894.2265,175004.015
W00009107,,oa,127,41,12,29,0,49,2,47,35,33,2,2,32.3,38.6,27.6,317636.60349999997,174864.7955
W00009108,,oa,141,48,22,26,0,52,32,20,31,30,1,10,34.0,36.9,22.0,317904.719,174739.9455
W00009362,,oa,122,85,45,40,3,27,21,6,6,4,2,1,69.7,22.1,4.9,319959.657,179815.397
W00008811,,oa,140,66,14,52,1,5,3,2,65,62,3,3,47.1,3.6,46.4,319033.315,175765.46399999998
W00009557,,oa,161,52,26,26,0,28,5,23,79,79,0,2,32.3,17.4,49.1,317662.0785,176223.4165
W00009467,,oa,124,55,20,35,0,3,2,1,63,57,6,3,44.4,2.4,50.8,319058.8465,177992.548
W00009464,,oa,121,62,32,30,3,2,1,1,53,51,2,1,51.2,1.7,43.8,318815.9265,177946.8655
W00009460,,oa,130,65,20,45,1,0,0,0,62,56,6,2,50.0,0.0,47.7,318937.61699999997,178156.6615
W00009654,,oa,133,58,20,38,0,58,54,4,14,11,3,3,43.6,43.6,10.5,320629.19499999995,177160.46600000001
W00009112,,oa,191,61,32,29,1,34,6,28,89,87,2,6,31.9,17.8,46.6,317624.5455,174851
W00009114,,oa,207,127,70,57,0,21,1,20,52,48,4,7,61.4,10.1,25.1,318263.359,174561.179
W00009113,,oa,124,78,27,51,0,12,1,11,32,29,3,2,62.9,9.7,25.8,317980.4445,174663.588
W00009118,,oa,170,20,9,11,0,79,44,35,65,64,1,6,11.8,46.5,38.2,317776.2485,174443.061
W00009119,,oa,165,44,14,30,3,66,34,32,49,46,3,3,26.7,40.0,29.7,318044.26399999997,173977.398
W00009609,,oa,141,83,35,48,0,44,21,23,12,11,1,2,58.9,31.2,8.5,322188.681,178718.08899999998
W00010123,,oa,69,62,35,27,1,0,0,0,5,5,0,1,89.9,0.0,7.2,319507.4965,179746.0615
W00010121,,oa,130,24,13,11,0,3,0,3,101,94,7,2,18.5,2.3,77.7,318246.1275,176254.737
W00009627,,oa,118,114,60,54,0,0,0,0,2,2,0,2,96.6,0.0,1.7,321743.3905,179426.749
W00009984,,oa,160,27,11,16,0,71,8,63,59,57,2,3,16.9,44.4,36.9,319262.71499999997,176736.929
W00009341,,oa,117,80,16,64,0,11,1,10,25,24,1,1,68.4,9.4,21.4,320319.206,181107.7555
W00009440,,oa,138,67,23,44,0,21,9,12,48,45,3,2,48.6,15.2,34.8,319268.06700000004,177349.472
W00009632,,oa,125,85,35,50,0,18,3,15,19,15,4,3,68.0,14.4,15.2,320260.373,176769.413
W00009631,,oa,114,51,17,34,1,45,40,5,15,14,1,2,44.7,39.5,13.2,320874.8935,176699.8835
W00009638,,oa,115,51,27,24,0,48,38,10,13,11,2,3,44.3,41.7,11.3,320957.0125,176577.831
W00009160,,oa,121,116,52,64,0,1,0,1,4,3,1,0,95.9,0.8,3.3,317770.12,180564.54499999998
W00008924,,oa,152,34,18,16,3,4,1,3,107,102,5,4,22.4,2.6,70.4,318227.91099999996,178183.177
W00008929,,oa,133,33,19,14,0,2,0,2,97,91,6,1,24.8,1.5,72.9,318173.174,178099.059
W00009356,,oa,144,123,56,67,1,8,5,3,12,10,2,0,85.4,5.6,8.3,319574.659,180154.6255
W00009455,,oa,119,21,7,14,1,66,53,13,27,24,3,4,17.6,55.5,22.7,318581.8165,178077.2735
W00009450,,oa,114,37,28,9,2,70,15,55,4,4,0,1,32.5,61.4,3.5,319235.77150000003,176953
W00008785,,oa,170,76,29,47,0,17,1,16,71,64,7,6,44.7,10.0,41.8,319691.228,176809.391
W00008789,,oa,139,38,14,24,0,66,2,64,35,28,7,0,27.3,47.5,25.2,319482.13899999997,176598.0275
W00009606,,oa,119,101,49,52,0,2,2,0,14,8,6,2,84.9,1.7,11.8,321215.6925,179093.91950000002
W00010129,,oa,92,33,7,26,0,0,0,0,59,55,4,0,35.9,0.0,64.1,319229.757,175491.691
W00008932,,oa,157,35,18,17,1,6,1,5,113,113,0,2,22.3,3.8,72.0,318142.033,177940.1325
W00009093,,oa,201,82,13,69,1,4,0,4,110,103,7,4,40.8,2.0,54.7,318051.224,173612.9965
W00009098,,oa,128,67,32,35,0,12,0,12,45,42,3,4,52.3,9.4,35.2,317847.2745,175203.9425
W00009427,,oa,128,117,60,57,0,0,0,0,10,8,2,1,91.4,0.0,7.8,319767.9115,177610.9205
W00009424,,oa,143,37,18,19,2,7,0,7,95,87,8,2,25.9,4.9,66.4,318905.2555,177285.9235
W00009422,,oa,123,116,78,38,1,1,0,1,4,4,0,1,94.3,0.8,3.3,319912.212,178582.8505
W00009420,,oa,131,124,60,64,0,2,2,0,4,3,1,1,94.7,1.5,3.1,320457.19649999996,178948.84975
W00009421,,oa,132,92,65,27,1,23,1,22,14,10,4,2,69.7,17.4,10.6,319347.8135,178687.4925
W00008797,,oa,176,91,36,55,0,37,3,34,44,39,5,4,51.7,21.0,25.0,320497.96349999995,177617.451
W00008791,,oa,111,23,9,14,1,73,39,34,12,10,2,2,20.7,65.8,10.8,319587.2295,176478.22149999999
W00009569,,oa,125,57,19,38,0,39,24,15,26,24,2,3,45.6,31.2,20.8,317088.79949999996,176181.4745
W00008896,,oa,118,68,27,41,0,4,0,4,44,44,0,2,57.6,3.4,37.3,315959.7865,177014.9265
W00009724,,oa,134,115,61,54,0,7,5,2,12,11,1,0,85.8,5.2,9.0,315178.78599999996,179596.3895
W00009127,,oa,137,77,28,49,0,25,1,24,33,31,2,2,56.2,18.2,24.1,317537.92850000004,175614.0095
W00008855,,oa,121,78,36,42,0,6,0,6,35,34,1,2,64.5,5.0,28.9,316310.45900000003,176954.4705
W00008859,,oa,123,68,29,39,1,3,0,3,48,43,5,3,55.3,2.4,39.0,315641.50450000004,176764.2915
W00009248,,oa,124,107,49,58,0,3,1,2,12,12,0,2,86.3,2.4,9.7,316811.1235,182740.8765
W00009154,,oa,138,113,64,49,0,1,0,1,21,17,4,3,81.9,0.7,15.2,317843.368,179264.5755
W00009155,,oa,119,60,35,25,0,26,25,1,30,26,4,3,50.4,21.8,25.2,318140.3945,179648.4365
W00009568,,oa,144,26,13,13,0,30,2,28,87,84,3,1,18.1,20.8,60.4,317529.7245,176188.3785
W00009754,,oa,125,60,29,31,0,43,42,1,19,17,2,3,48.0,34.4,15.2,315706.078,180038.7885
W00009402,,oa,115,104,50,54,0,3,1,2,8,6,2,0,90.4,2.6,7.0,319959.374,177998.1245
W00009756,,oa,129,65,35,30,0,34,4,30,29,27,2,1,50.4,26.4,22.5,315558.72849999997,180177.934
W00009755,,oa,123,92,48,44,0,2,2,0,28,26,2,1,74.8,1.6,22.8,315310.301,180200.2795
W00009750,,oa,130,108,67,41,0,1,0,1,19,17,2,2,83.1,0.8,14.6,315835.61199999996,180273.05599999998
W00009759,,oa,125,73,35,38,0,19,16,3,26,25,1,7,58.4,15.2,20.8,315465.45849999995,179888.445
W00009226,,oa,121,86,38,48,3,22,19,3,9,9,0,1,71.1,18.2,7.4,315263.484,179239.324
W00009575,,oa,142,10,4,6,2,84,54,30,40,35,5,6,7.0,59.2,28.2,317686.431,175921.2175
W00009571,,oa,144,52,26,26,0,47,2,45,42,39,3,3,36.1,32.6,29.2,317183.38800000004,176075.687
W00009725,,oa,124,115,57,58,0,3,3,0,5,5,0,1,92.7,2.4,4.0,315424.3715,180564.2665
W00009722,,oa,122,107,51,56,0,0,0,0,13,12,1,2,87.7,0.0,10.7,314960.6135,180323.7955
W00008887,,oa,157,84,35,49,0,9,1,8,64,63,1,0,53.5,5.7,40.8,315813.945,177313.0425
W00008884,,oa,122,34,10,24,0,70,69,1,18,17,1,0,27.9,57.4,14.8,316107.5065,175500.59000000003
W00008883,,oa,136,105,74,31,0,12,11,1,15,15,0,4,77.2,8.8,11.0,316255.3155,175960.522
