area_code,area_name,census_geography,all_families,no_children,one_child_under_4,one_child_5_to_11,one_child_12_to_18,two_children_under_4,two_children_5_to_11,two_children_12_to_18,three_children_under_4,three_children_5_to_11,three_children_12_to_18,one_child_all,two_children_all,three_children_all,one_child_all_perc,two_children_all_perc,three_children_all_perc,centroid_x,centroid_y
W01001867,Cardiff 016B,lsoa,397,179,35,20,42,29,21,17,35,19,0,97,67,54,24.4,16.9,13.6,322497.6754532895,179611.50930539166
W01001895,Cardiff 010D,lsoa,361,203,41,15,21,27,20,8,16,6,4,77,55,26,21.3,15.2,7.2,314073.8891558276,180705.13773265426
W01001848,Cardiff 012B,lsoa,450,267,22,16,37,45,35,15,7,6,0,75,95,13,16.7,21.1,2.9,316282.2242649768,180968.9091454483
W01001769,Cardiff 018A,lsoa,491,282,28,18,42,40,34,25,12,10,0,88,99,22,17.9,20.2,4.5,317717.7562848745,180513.37820103212
W01001731,Cardiff 008B,lsoa,442,250,12,19,33,35,45,22,8,16,2,64,102,26,14.5,23.1,5.9,318638.2345261434,181084.84642271526
W01001736,Cardiff 008C,lsoa,415,252,13,15,42,18,33,17,10,12,3,70,68,25,16.9,16.4,6.0,319343.6434955176,181610.99103171675
W01001946,Cardiff 049C,lsoa,312,179,31,13,19,29,12,3,18,7,1,63,44,26,20.2,14.1,8.3,317923.7678766262,174071.87499002845
W01001767,Cardiff 044D,lsoa,419,201,53,17,20,59,28,6,23,12,0,90,93,35,21.5,22.2,8.4,317501.3183257516,175247.02123918198
W01001766,Cardiff 044C,lsoa,407,164,53,29,31,33,19,10,40,24,4,113,62,68,27.8,15.2,16.7,317493.494488932,175556.80659604576
W01001764,Cardiff 044A,lsoa,393,157,50,22,36,28,18,12,47,22,1,108,58,70,27.5,14.8,17.8,317582.16521547025,175608.81513239193
W01001855,Cardiff 042A,lsoa,438,198,44,26,31,38,21,16,42,21,1,101,75,64,23.1,17.1,14.6,317192.6824188151,176163.8731885365
W01001857,Cardiff 042C,lsoa,409,206,52,20,23,22,21,10,36,18,1,95,53,55,23.2,13.0,13.4,317086.3042044775,176298.3240899503
W01001856,Cardiff 042B,lsoa,359,192,34,15,17,26,17,8,31,16,3,66,51,50,18.4,14.2,13.9,317643.1085447294,176156.11702926556
W01001862,Cardiff 042D,lsoa,345,169,35,16,24,29,12,9,31,18,2,75,50,51,21.7,14.5,14.8,317497.8520257142,176378.67708085806
W01001721,Cardiff 032A,lsoa,139,95,5,6,4,9,7,2,8,3,0,15,18,11,10.8,12.9,7.9,317751.8346860609,177680.40022308216
W01001719,Cardiff 028B,lsoa,233,152,16,4,11,15,12,2,12,8,1,31,29,21,13.3,12.4,9.0,317707.5465713019,178062.46691481525
W01001939,Cardiff 032F,lsoa,172,121,19,4,3,19,2,0,2,2,0,26,21,4,15.1,12.2,2.3,317959.04553788126,176992.19724434696
W01001755,Cardiff 025A,lsoa,269,162,32,6,14,17,13,10,8,7,0,52,40,15,19.3,14.9,5.6,317455.84062947636,178602.61523126415
W01001758,Cardiff 025D,lsoa,297,192,31,9,16,19,5,4,11,8,2,56,28,21,18.9,9.4,7.1,317672.3119235572,178795.10386031188
W01001771,Cardiff 018C,lsoa,504,294,41,15,35,40,32,21,11,11,4,91,93,26,18.1,18.5,5.2,317163.0500403451,180498.7621005363
W01001793,Cardiff 002A,lsoa,434,209,37,21,40,33,39,30,15,8,2,98,102,25,22.6,23.5,5.8,317204.3921053238,183268.24817401677
W01001657,Newport 020C,lsoa,465,240,29,27,54,39,30,27,8,11,0,110,96,19,23.7,20.6,4.1,324419.52194464067,183719.67563788543
W01001804,Cardiff 015B,lsoa,446,241,25,26,36,29,30,13,23,21,2,87,72,46,19.5,16.1,10.3,321906.340127758,181006.294551031
W01001881,Cardiff 013C,lsoa,411,214,43,23,37,46,11,8,15,13,1,103,65,29,25.1,15.8,7.1,323170.7502957466,181225.0387263099
W01001877,Cardiff 011A,lsoa,533,304,53,30,56,38,19,11,10,10,2,139,68,22,26.1,12.8,4.1,324244.8131614613,181793.53931799452
W01001850,Cardiff 012C,lsoa,603,378,25,16,42,42,40,27,12,19,2,83,109,33,13.8,18.1,5.5,316035.1582275457,181230.596810674
W01001853,Cardiff 004C,lsoa,485,342,25,10,29,22,23,18,7,6,3,64,63,16,13.2,13.0,3.3,316279.8461891827,181969.2150797473
W01001777,Cardiff 001A,lsoa,460,296,15,7,28,31,29,21,9,18,6,50,81,33,10.9,17.6,7.2,319337.92751694005,183640.3645755297
W01001791,Cardiff 005A,lsoa,468,290,26,10,34,28,24,16,15,20,5,70,68,40,15.0,14.5,8.5,318102.51964988816,181632.0540125292
W01001800,Cardiff 005D,lsoa,427,208,31,23,48,38,33,13,11,19,3,102,84,33,23.9,19.7,7.7,317162.57298363885,181986.40628148016
W01001807,Cardiff 007B,lsoa,433,182,30,25,55,37,24,13,42,22,3,110,74,67,25.4,17.1,15.5,322342.940489826,181575.02323656206
W01001817,Cardiff 009C,lsoa,414,225,24,17,39,25,31,23,14,13,3,80,79,30,19.3,19.1,7.2,320423.52828593267,181673.08619875583
W01001818,Cardiff 009D,lsoa,429,220,33,25,31,43,22,13,31,9,2,89,78,42,20.7,18.2,9.8,320043.4613611992,181145.3391710907
W01001866,Cardiff 016A,lsoa,388,216,19,26,35,28,22,9,16,11,6,80,59,33,20.6,15.2,8.5,322470.2455168427,180312.5949478231
W01001942,Cardiff 049B,lsoa,293,174,26,13,18,9,8,10,28,5,2,57,27,35,19.5,9.2,11.9,318680.23802730435,174353.2877318564
W01001699,Cardiff 049A,lsoa,441,227,39,15,21,19,16,16,58,25,5,75,51,88,17.0,11.6,20.0,318821.4680035169,175198.95932243238
W01001943,Cardiff 048B,lsoa,244,185,27,4,3,11,4,0,8,2,0,34,15,10,13.9,6.1,4.1,319367.61875445826,174252.94632396128
W01001695,Cardiff 036B,lsoa,338,157,53,15,23,23,17,7,30,10,3,91,47,43,26.9,13.9,12.7,319088.4934366188,176469.0504381284
W01001725,Cardiff 032D,lsoa,98,65,5,7,6,5,1,0,3,5,1,18,6,9,18.4,6.1,9.2,318393.52747568086,177462.91366299207
W01001696,Cardiff 036C,lsoa,358,174,35,27,31,22,16,11,23,16,3,93,49,42,26.0,13.7,11.7,319599.03227099474,176662.81589639283
W01001873,Cardiff 038C,lsoa,430,216,68,18,29,34,20,14,17,11,3,115,68,31,26.7,15.8,7.2,320240.0456751109,176302.31563340029
W01001940,Cardiff 048A,lsoa,254,204,32,3,3,10,1,0,1,0,0,38,11,1,15.0,4.3,0.4,320840.1159405423,170171.2741243602
W01001724,Cardiff 032C,lsoa,118,90,9,8,3,5,1,0,2,0,0,20,6,2,16.9,5.1,1.7,318454.44448994705,177698.31900120882
W01001834,Cardiff 033E,lsoa,277,164,40,11,12,13,13,5,13,6,0,63,31,19,22.7,11.2,6.9,319165.5683926723,177402.9527176996
W01001837,Cardiff 030C,lsoa,186,116,16,4,9,12,10,5,7,7,0,29,27,14,15.6,14.5,7.5,318613.9925419682,178056.5496738754
W01001838,Cardiff 030D,lsoa,289,161,27,11,14,17,16,11,17,12,3,52,44,32,18.0,15.2,11.1,318907.83098576986,178138.9926440862
W01001824,Cardiff 029C,lsoa,332,194,29,18,16,27,15,8,13,11,1,63,50,25,19.0,15.1,7.5,319543.0630475395,178067.64444148415
W01001836,Cardiff 030B,lsoa,309,155,29,17,22,23,19,11,15,14,4,68,53,33,22.0,17.2,10.7,318867.4661743203,178516.37575919623
W01001827,Cardiff 024C,lsoa,478,278,20,17,41,21,30,27,13,29,2,78,78,44,16.3,16.3,9.2,318975.825547368,178945.80566067444
W01001826,Cardiff 024B,lsoa,419,284,17,11,30,18,22,16,15,6,0,58,56,21,13.8,13.4,5.0,319785.431861158,179167.4779013404
W01001735,Cardiff 019D,lsoa,437,241,21,20,35,23,36,29,17,13,2,76,88,32,17.4,20.1,7.3,318905.6899211286,179482.71487842116
W01001734,Cardiff 019C,lsoa,452,262,14,13,40,29,38,16,15,18,7,67,83,40,14.8,18.4,8.8,318543.08697962447,179947.09941995243
W01001730,Cardiff 008A,lsoa,461,308,15,9,36,24,27,15,10,13,4,60,66,27,13.0,14.3,5.9,319460.37286219024,181247.3520239153
W01001821,Cardiff 024A,lsoa,301,180,20,10,18,11,16,12,16,16,2,48,39,34,15.9,13.0,11.3,319420.27402219706,178790.87696379024
W01001822,Cardiff 029A,lsoa,461,296,31,23,28,22,21,11,11,15,3,82,54,29,17.8,11.7,6.3,320244.45958699763,178597.5615082683
W01001830,Cardiff 033B,lsoa,287,200,28,17,7,7,9,5,9,4,1,52,21,14,18.1,7.3,4.9,319430.4999655485,177677.16418478233
W01001831,Cardiff 030A,lsoa,283,177,24,13,13,22,10,9,9,6,0,50,41,15,17.7,14.5,5.3,319096.2981668002,177854.14989938098
W01001833,Cardiff 033D,lsoa,377,209,49,18,24,23,27,10,10,5,2,91,60,17,24.1,15.9,4.5,319601.6653796944,177465.28581049727
W01001839,Cardiff 030E,lsoa,242,142,27,7,12,14,15,6,12,7,0,46,35,19,19.0,14.5,7.9,318790.03551185026,177964.00895640886
W01001950,Cardiff 049D,lsoa,250,190,29,4,7,14,0,1,4,1,0,40,15,5,16.0,6.0,2.0,318674.791467382,174667.09503117754
W01001947,Cardiff 048E,lsoa,371,260,62,6,10,19,2,3,7,2,0,78,24,9,21.0,6.5,2.4,317400.404438332,173925.86397937877
W01001759,Cardiff 046A,lsoa,459,265,35,16,34,33,26,12,22,15,1,85,71,38,18.5,15.5,8.3,316891.40014007414,175003.18110787324
W01001713,Cardiff 040E,lsoa,426,244,40,15,27,40,20,5,16,19,0,82,65,35,19.2,15.3,8.2,316483.12672888965,176324.2291716176
W01001859,Cardiff 034B,lsoa,349,226,35,16,14,19,12,11,12,4,0,65,42,16,18.6,12.0,4.6,316547.742259611,177109.56821300284
W01001860,Cardiff 034C,lsoa,431,265,36,25,29,18,22,16,10,9,1,90,56,20,20.9,13.0,4.6,316790.3185768131,176928.03382810196
W01001861,Cardiff 034D,lsoa,386,231,34,11,21,26,26,10,13,13,1,66,62,27,17.1,16.1,7.0,317129.72179127263,176884.26572416365
W01001756,Cardiff 025B,lsoa,391,220,22,21,33,28,24,9,23,8,3,76,61,34,19.4,15.6,8.7,316766.79696796706,178571.78873361496
W01001775,Cardiff 021B,lsoa,453,265,43,19,30,36,23,17,11,9,0,92,76,20,20.3,16.8,4.4,316660.04879032506,179913.64342130127
W01001090,The Vale of Glamorgan 006E,lsoa,471,300,20,18,35,31,28,18,8,10,3,73,77,21,15.5,16.3,4.5,314678.5557522886,173662.45416294332
W01001136,The Vale of Glamorgan 003D,lsoa,364,252,15,9,27,13,21,11,7,9,0,51,45,16,14.0,12.4,4.4,312275.9931946142,173573.85666905003
W01001702,Cardiff 045A,lsoa,539,255,56,28,65,52,24,12,26,18,3,149,88,47,27.6,16.3,8.7,312454.8874025063,175197.98362188056
W01001703,Cardiff 045B,lsoa,369,177,36,26,38,23,15,14,20,19,1,100,52,40,27.1,14.1,10.8,313619.91002401186,175448.7016810575
W01001704,Cardiff 041A,lsoa,416,170,45,20,40,35,24,18,40,16,8,105,77,64,25.2,18.5,15.4,314203.69566166366,175736.16600198878
W01001705,Cardiff 045C,lsoa,495,242,37,29,53,34,35,11,34,15,5,119,80,54,24.0,16.2,10.9,313192.29993507476,175061.4495257406
W01001707,Cardiff 041C,lsoa,569,256,33,32,61,43,43,19,63,19,0,126,105,82,22.1,18.5,14.4,314400.34758990904,176099.60095792744
W01001708,Cardiff 045D,lsoa,402,188,45,18,41,41,22,9,25,12,1,104,72,38,25.9,17.9,9.5,313265.80187259975,175666.27974167408
W01001729,Cardiff 014C,lsoa,664,341,47,28,67,46,57,36,22,17,3,142,139,42,21.4,20.9,6.3,311261.2108390088,178244.96636687982
W01001737,Cardiff 039A,lsoa,431,173,48,30,53,35,20,14,35,20,3,131,69,58,30.4,16.0,13.5,313566.26062761375,176743.79068926044
W01001738,Cardiff 039B,lsoa,404,153,34,29,38,50,19,8,44,22,7,101,77,73,25.0,19.1,18.1,312772.83513914765,176504.02219772377
W01001739,Cardiff 039C,lsoa,401,159,54,32,39,37,17,11,34,18,0,125,65,52,31.2,16.2,13.0,313369.2338952302,176608.50256715194
W01001740,Cardiff 039D,lsoa,427,191,45,33,50,30,27,15,24,11,1,128,72,36,30.0,16.9,8.4,313471.930983525,176228.22101168704
W01001741,Cardiff 039E,lsoa,473,150,68,34,36,64,33,26,41,17,4,138,123,62,29.2,26.0,13.1,312917.04152730864,176271.20253904903
W01001742,Cardiff 043A,lsoa,441,176,61,39,23,52,28,13,27,17,5,123,93,49,27.9,21.1,11.1,312940.40706147917,175889.1365594347
W01001743,Cardiff 043B,lsoa,445,288,22,13,41,22,28,12,9,9,1,76,62,19,17.1,13.9,4.3,311709.0505502423,175840.0319245293
W01001744,Cardiff 043C,lsoa,441,202,36,32,50,37,29,15,25,14,1,118,81,40,26.8,18.4,9.1,312381.69325076987,175578.25205297623
W01001749,Cardiff 027C,lsoa,425,247,40,29,34,29,14,10,14,8,0,103,53,22,24.2,12.5,5.2,313122.5527051976,178352.51345160653
W01001750,Cardiff 031A,lsoa,397,223,24,13,37,28,28,10,22,10,2,74,66,34,18.6,16.6,8.6,314000.4118670318,177862.20617758943
W01001751,Cardiff 027D,lsoa,448,211,63,30,33,36,24,15,19,16,1,126,75,36,28.1,16.7,8.0,313216.22406872484,177845.20650267845
W01001752,Cardiff 031B,lsoa,511,319,26,20,54,21,33,15,12,8,3,100,69,23,19.6,13.5,4.5,313913.06671285816,177294.4945193673
W01001846,Cardiff 006C,lsoa,524,232,31,29,58,53,56,30,14,17,4,118,139,35,22.5,26.5,6.7,312307.815517958,181466.88713225466
W01001847,Cardiff 006D,lsoa,521,372,16,12,35,12,33,23,10,7,1,63,68,18,12.1,13.1,3.5,312383.6472321325,181414.63301234398
W01001954,Cardiff 006F,lsoa,452,271,13,13,43,23,39,25,8,15,2,69,87,25,15.3,19.2,5.5,312958.36679349584,180611.47056471003
W01001780,Cardiff 026B,lsoa,428,264,23,12,40,15,45,16,4,9,0,75,76,13,17.5,17.8,3.0,314565.79498923966,178738.0099611766
W01001745,Cardiff 043D,lsoa,405,234,26,15,33,21,37,16,15,7,1,74,74,23,18.3,18.3,5.7,311587.4465580335,175327.12050324917
W01001746,Cardiff 041D,lsoa,423,198,41,36,40,36,31,11,20,9,1,117,78,30,27.7,18.4,7.1,314086.314019939,176739.10356448984
W01001747,Cardiff 027A,lsoa,458,270,55,30,33,21,22,12,11,4,0,118,55,15,25.8,12.0,3.3,313764.52935698634,178595.5809171048
W01001748,Cardiff 027B,lsoa,437,216,35,21,39,37,26,17,27,16,3,95,80,46,21.7,18.3,10.5,313858.41718127043,178269.90619607174
W01001753,Cardiff 031C,lsoa,469,214,32,30,44,31,38,21,37,20,2,106,90,59,22.6,19.2,12.6,313193.1607484043,177408.89604200737
W01001784,Cardiff 026F,lsoa,388,229,22,13,47,18,23,17,5,10,4,82,58,19,21.1,14.9,4.9,314037.3970441571,178850.7015628324
W01001706,Cardiff 041B,lsoa,353,202,33,13,25,17,14,17,22,7,3,71,48,32,20.1,13.6,9.1,314850.34847368614,176332.1920359961
W01001754,Cardiff 031D,lsoa,471,283,36,29,39,31,15,17,11,8,2,104,63,21,22.1,13.4,4.5,314407.6316338188,177216.97814333433
W01001779,Cardiff 026A,lsoa,416,265,24,15,35,20,20,21,10,6,0,74,61,16,17.8,14.7,3.8,314963.95431220985,178005.79136730928
W01001894,Cardiff 010C,lsoa,474,285,29,12,34,31,36,22,11,10,4,75,89,25,15.8,18.8,5.3,314666.7007522099,181133.50120941637
W01001849,Cardiff 004A,lsoa,486,304,22,13,51,16,30,25,11,12,2,86,71,25,17.7,14.6,5.1,314932.42788160057,182096.143380204
W01001885,Cardiff 011D,lsoa,576,245,72,25,49,67,34,23,40,18,3,146,124,61,25.3,21.5,10.6,323688.228414576,179098.22847917143
W01001886,Cardiff 016D,lsoa,336,144,35,24,44,27,21,19,15,6,1,103,67,22,30.7,19.9,6.5,323092.72971230675,180027.3394755419
W01001912,Newport 020E,lsoa,473,309,28,22,29,36,22,8,9,7,3,79,66,19,16.7,14.0,4.0,327937.5044875044,181929.44324992562
W01001878,Cardiff 011B,lsoa,439,228,40,21,35,36,25,19,24,7,4,96,80,35,21.9,18.2,8.0,323767.4310386791,181589.54248731275
W01001419,Caerphilly 021D,lsoa,494,307,34,22,37,14,29,19,17,12,3,93,62,32,18.8,12.6,6.5,320260.5280645491,186256.34352958298
W01001778,Cardiff 001B,lsoa,608,375,19,14,49,28,44,39,12,23,5,82,111,40,13.5,18.3,6.6,317555.4785893678,183876.7824833268
W00010122,,oa,37,20,2,3,0,5,1,3,3,0,0,5,9,3,13.5,24.3,8.1,319804.47750000004,177341.7465
W00010202,,oa,49,42,5,0,1,1,0,0,0,0,0,6,1,0,12.2,2.0,0.0,318592.762,174829.783
W00009432,,oa,48,35,2,5,1,0,2,1,2,0,0,8,3,2,16.7,6.3,4.2,319558.603,177512.225
W00009131,,oa,77,33,6,4,9,6,2,2,7,8,0,19,10,15,24.7,13.0,19.5,317900.23199999996,175504.0745
W00008803,,oa,52,24,3,3,4,4,3,2,9,0,0,10,9,9,19.2,17.3,17.3,319005.5,174629.9585
W00010124,,oa,40,24,6,0,2,1,0,3,3,1,0,8,4,4,20.0,10.0,10.0,318719.2415,174442.31949999998
W00009091,,oa,77,31,8,5,6,4,5,3,10,5,0,19,12,15,24.7,15.6,19.5,317928.00049999997,174498.6485
W00010141,,oa,30,29,0,0,0,1,0,0,0,0,0,0,1,0,0.0,3.3,0.0,317927.8985,176329.9285
W00010148,,oa,43,14,6,3,2,8,3,2,4,1,0,11,13,5,25.6,30.2,11.6,317940.222,173810.124
W00010171,,oa,46,38,4,0,0,4,0,0,0,0,0,4,4,0,8.7,8.7,0.0,319332.493,175172.8205
W00010203,,oa,37,20,4,1,4,3,0,1,3,1,0,9,4,4,24.3,10.8,10.8,318670.75450000004,174483.2755
W00008816,,oa,42,23,4,3,2,5,2,0,2,1,0,9,7,3,21.4,16.7,7.1,318819,175208.6885
W00010125,,oa,13,7,1,1,3,0,0,0,0,1,0,5,0,1,38.5,0.0,7.7,318273.75049999997,177417.102
W00009428,,oa,57,34,5,4,1,4,5,1,0,3,0,10,10,3,17.5,17.5,5.3,318965.849,177579.5765
W00010205,,oa,52,32,5,3,3,3,2,0,0,3,1,11,5,4,21.2,9.6,7.7,317670.822,177948.62300000002
W00009074,,oa,49,35,6,0,1,3,0,0,2,2,0,7,3,4,14.3,6.1,8.2,317816.10199999996,178665.842
W00010193,,oa,52,41,6,2,0,1,1,0,1,0,0,8,2,1,15.4,3.8,1.9,318566.6385,174997.1745
W00010118,,oa,22,16,0,2,1,0,0,1,1,1,0,3,1,2,13.6,4.5,9.1,317814.2395,177644.718
W00010191,,oa,46,34,7,1,2,2,0,0,0,0,0,10,2,0,21.7,4.3,0.0,318830.53500000003,175781.2605
W00010119,,oa,15,11,0,1,0,1,0,0,2,0,0,1,1,2,6.7,6.7,13.3,317705.922,177685.229
W00010166,,oa,83,39,15,4,3,7,8,1,3,1,2,22,16,6,26.5,19.3,7.2,321230.971,181694.44449999998
W00010167,,oa,37,30,4,0,1,2,0,0,0,0,0,5,2,0,13.5,5.4,0.0,318160.7525,173516.7825
W00009335,,oa,109,48,12,5,14,10,5,3,7,1,4,31,18,12,28.4,16.5,11.0,320563.3275,181429.106
W00010132,,oa,13,6,5,0,1,0,0,0,0,1,0,6,0,1,46.2,0.0,7.7,318597.135,177228.1545
W00008906,,oa,36,24,1,1,3,3,1,1,1,0,1,5,5,2,13.9,13.9,5.6,318064.98199999996,177821.062
W00008904,,oa,45,37,3,2,1,2,0,0,0,0,0,6,2,0,13.3,4.4,0.0,318475.0195,177776.6775
W00008909,,oa,24,17,3,2,1,1,0,0,0,0,0,6,1,0,25.0,4.2,0.0,318365.11100000003,177683.31949999998
W00008902,,oa,68,43,7,3,2,3,1,4,3,2,0,12,8,5,17.6,11.8,7.4,318193.2655,178749.8655
W00008901,,oa,26,23,0,1,0,0,0,0,0,2,0,1,0,2,3.8,0.0,7.7,318480.9865,177494.16749999998
W00009435,,oa,29,16,5,2,1,0,1,2,2,0,0,8,3,2,27.6,10.3,6.9,319448.8155,177551.03499999997
W00008916,,oa,28,21,3,0,1,1,0,2,0,0,0,4,3,0,14.3,10.7,0.0,318634.5075,177327.198
W00008912,,oa,46,27,4,0,2,5,4,1,3,0,0,6,10,3,13.0,21.7,6.5,317865.8995,177567.52649999998
W00008911,,oa,21,10,1,2,1,3,2,0,1,1,0,4,5,2,19.0,23.8,9.5,318138.7685,177597.517
W00008918,,oa,42,29,2,0,4,1,1,1,2,2,0,6,3,4,14.3,7.1,9.5,318076.5,178462.426
W00008919,,oa,30,24,1,1,1,2,0,0,0,1,0,3,2,1,10.0,6.7,3.3,317740.5995,178399.47100000002
W00009374,,oa,96,46,6,1,12,5,13,3,6,1,3,19,21,10,19.8,21.9,10.4,320145.395,181430.0275
W00009307,,oa,90,44,10,3,8,10,4,5,4,1,1,21,19,6,23.3,21.1,6.7,321767.80850000004,180372.81900000002
W00009400,,oa,74,33,7,1,5,9,9,2,6,2,0,13,20,8,17.6,27.0,10.8,319372.753,178143.06050000002
W00010116,,oa,50,35,6,2,0,3,1,0,2,1,0,8,4,3,16.0,8.0,6.0,319083.07999999996,176700.845
W00010195,,oa,38,29,5,1,1,2,0,0,0,0,0,7,2,0,18.4,5.3,0.0,318846.5605,175562.375
W00009120,,oa,93,40,8,8,11,9,3,3,9,2,0,27,15,11,29.0,16.1,11.8,317793.31649999996,174145.859
W00009121,,oa,70,46,4,2,0,6,3,0,7,2,0,6,9,9,8.6,12.9,12.9,317979.074,174198.343
W00009128,,oa,94,52,8,3,9,3,4,5,8,2,0,20,12,10,21.3,12.8,10.6,317844.0925,175704.84149999998
W00009392,,oa,76,45,8,2,4,3,2,2,5,5,0,14,7,10,18.4,9.2,13.2,319288.447,178459.137
W00009318,,oa,89,34,9,5,8,8,9,6,5,5,0,22,23,10,24.7,25.8,11.2,321956.8995,181568.788
W00009399,,oa,78,34,8,5,7,11,5,1,3,4,0,20,17,7,25.6,21.8,9.0,319712.995,178128.9905
W00009398,,oa,39,31,1,4,1,0,0,0,1,1,0,6,0,2,15.4,0.0,5.1,319356.042,178027.7115
W00009419,,oa,88,58,9,1,7,3,3,5,1,1,0,17,11,2,19.3,12.5,2.3,319795.8615,178807.0085
W00008960,,oa,114,60,3,3,8,14,11,6,3,5,1,14,31,9,12.3,27.2,7.9,318756.1425,180755.4365
W00008801,,oa,85,42,10,6,6,5,5,4,5,2,0,22,14,7,25.9,16.5,8.2,320164.42350000003,177184.975
W00009117,,oa,98,43,7,4,11,4,4,2,16,7,0,22,10,23,22.4,10.2,23.5,317714.3225,174524.8725
W00009474,,oa,87,43,12,4,3,6,10,4,2,2,1,19,20,5,21.8,23.0,5.7,319581.952,177678.0565
W00009473,,oa,69,46,9,3,2,4,2,0,1,2,0,14,6,3,20.3,8.7,4.3,319115.6655,177723.0935
W00009642,,oa,70,34,9,5,5,2,6,4,0,4,1,19,12,5,27.1,17.1,7.1,320200.1015,176480.581
W00008974,,oa,83,50,2,6,6,5,5,5,4,0,0,14,15,4,16.9,18.1,4.8,318891.802,179773.845
W00009641,,oa,77,42,8,3,3,4,6,6,2,3,0,14,16,5,18.2,20.8,6.5,320651.44,176729.62550000002
W00009106,,oa,79,26,10,1,6,8,10,2,9,6,1,17,20,16,21.5,25.3,20.3,317894.2265,175004.015
W00009107,,oa,74,33,8,4,5,7,4,2,9,2,0,17,13,11,23.0,17.6,14.9,317636.60349999997,174864.7955
W00009108,,oa,68,31,12,6,1,5,3,0,9,0,1,19,8,10,27.9,11.8,14.7,317904.719,174739.9455
W00009362,,oa,89,51,10,3,9,4,8,2,1,1,0,22,14,2,24.7,15.7,2.2,319959.657,179815.397
W00008811,,oa,56,38,9,2,2,3,0,1,0,1,0,13,4,1,23.2,7.1,1.8,319033.315,175765.46399999998
W00009557,,oa,82,39,7,2,4,6,7,4,6,5,2,13,17,13,15.9,20.7,15.9,317662.0785,176223.4165
W00009467,,oa,55,29,7,1,2,4,3,0,7,2,0,10,7,9,18.2,12.7,16.4,319058.8465,177992.548
W00009464,,oa,46,31,3,3,1,0,4,2,1,1,0,7,6,2,15.2,13.0,4.3,318815.9265,177946.8655
W00009460,,oa,69,39,7,3,2,2,3,2,6,4,1,12,7,11,17.4,10.1,15.9,318937.61699999997,178156.6615
W00009654,,oa,74,33,8,4,10,8,6,0,5,0,0,22,14,5,29.7,18.9,6.8,320629.19499999995,177160.46600000001
W00009112,,oa,87,45,8,8,10,4,2,1,7,2,0,26,7,9,29.9,8.0,10.3,317624.5455,174851
W00009114,,oa,126,75,9,4,12,7,7,1,6,3,2,25,15,11,19.8,11.9,8.7,318263.359,174561.179
W00009113,,oa,86,37,6,6,5,7,6,7,8,3,1,17,20,12,19.8,23.3,14.0,317980.4445,174663.588
W00009118,,oa,44,24,4,6,3,4,0,1,1,1,0,13,5,2,29.5,11.4,4.5,317776.2485,174443.061
W00009119,,oa,74,41,4,5,9,7,4,0,2,2,0,18,11,4,24.3,14.9,5.4,318044.26399999997,173977.398
W00009609,,oa,90,49,3,7,10,7,3,3,6,1,1,20,13,8,22.2,14.4,8.9,322188.681,178718.08899999998
W00010123,,oa,58,28,3,1,6,1,5,3,1,8,2,10,9,11,17.2,15.5,19.0,319507.4965,179746.0615
W00010121,,oa,40,31,2,1,1,0,1,0,3,1,0,4,1,4,10.0,2.5,10.0,318246.1275,176254.737
W00009627,,oa,88,53,11,2,4,4,3,8,0,2,1,17,15,3,19.3,17.0,3.4,321743.3905,179426.749
W00009984,,oa,61,33,7,4,6,2,2,2,2,2,1,17,6,5,27.9,9.8,8.2,319262.71499999997,176736.929
W00009341,,oa,89,40,5,5,5,11,8,3,9,2,1,15,22,12,16.9,24.7,13.5,320319.206,181107.7555
W00009440,,oa,60,26,10,3,4,6,3,2,4,2,0,17,11,6,28.3,18.3,10.0,319268.06700000004,177349.472
W00009632,,oa,82,48,5,2,10,11,5,1,0,0,0,17,17,0,20.7,20.7,0.0,320260.373,176769.413
W00009631,,oa,75,32,11,5,9,7,4,1,2,4,0,25,12,6,33.3,16.0,8.0,320874.8935,176699.8835
W00009638,,oa,81,34,10,5,9,9,3,1,7,3,0,24,13,10,29.6,16.0,12.3,320957.0125,176577.831
W00009160,,oa,101,50,5,3,12,12,11,6,1,1,0,20,29,2,19.8,28.7,2.0,317770.12,180564.54499999998
W00008924,,oa,47,26,4,2,2,1,3,4,4,1,0,8,8,5,17.0,17.0,10.6,318227.91099999996,178183.177
W00008929,,oa,38,26,3,1,0,3,2,2,1,0,0,4,7,1,10.5,18.4,2.6,318173.174,178099.059
W00009356,,oa,123,69,8,4,4,8,8,5,12,4,1,16,21,17,13.0,17.1,13.8,319574.659,180154.6255
W00009455,,oa,32,21,7,1,0,1,1,1,0,0,0,8,3,0,25.0,9.4,0.0,318581.8165,178077.2735
W00009450,,oa,15,13,0,1,1,0,0,0,0,0,0,2,0,0,13.3,0.0,0.0,319235.77150000003,176953
W00008785,,oa,93,45,16,5,7,5,4,4,4,3,0,28,13,7,30.1,14.0,7.5,319691.228,176809.391
W00008789,,oa,80,40,11,6,5,2,4,1,7,3,1,22,7,11,27.5,8.8,13.8,319482.13899999997,176598.0275
W00009606,,oa,91,66,1,3,8,1,6,2,1,2,1,12,9,4,13.2,9.9,4.4,321215.6925,179093.91950000002
W00010129,,oa,32,24,4,2,0,1,1,0,0,0,0,6,2,0,18.8,6.3,0.0,319229.757,175491.691
