area_code,area_name,census_geography,all_families,no_children,one_child_under_4,one_child_5_to_11,one_child_12_to_18,two_children_under_4,two_children_5_to_11,two_children_12_to_18,three_children_under_4,three_children_5_to_11,three_children_12_to_18,one_child_all,two_children_all,three_children_all,one_child_all_perc,two_children_all_perc,three_children_all_perc,centroid_x,centroid_y
W02000395,Cardiff 029,msoa,1620,927,157,74,105,136,85,39,47,44,6,336,260,97,20.7,16.0,6.0,320227.0097875482,178355.99962600775
W02000390,Cardiff 024,msoa,1684,1077,72,49,128,68,97,73,55,61,4,249,238,120,14.8,14.1,7.1,319795.8285386419,178955.58785246368
W02000374,Cardiff 008,msoa,1738,1045,66,55,146,105,137,78,42,51,13,267,320,106,15.4,18.4,6.1,319229.36908083636,181349.99125136307
W02000412,Cardiff 046,msoa,1705,854,135,83,157,121,96,48,139,63,9,375,265,211,22.0,15.5,12.4,317410.07679263654,174997.84924464396
W02000422,Cardiff 048,msoa,1409,1087,169,26,26,58,8,6,21,8,0,221,72,29,15.7,5.1,2.1,319494.12760848907,170171.27437436898
W02000391,Cardiff 025,msoa,1243,707,122,53,84,84,61,32,59,35,6,259,177,100,20.8,14.2,8.0,317053.523163438,178608.11445396586
W02000371,Cardiff 005,msoa,2528,1403,194,95,220,179,151,86,104,75,21,509,416,200,20.1,16.5,7.9,317748.78187170904,181776.48083822106
W02000392,Cardiff 026,msoa,2476,1479,131,87,224,132,188,115,54,56,10,442,435,120,17.9,17.6,4.8,314848.42851463234,178393.50785419712
W02000393,Cardiff 027,msoa,1768,944,193,110,139,123,86,54,71,44,4,442,263,119,25.0,14.9,6.7,313524.564148278,178341.46818095483
W02000397,Cardiff 031,msoa,1848,1039,118,92,174,111,114,63,82,46,9,384,288,137,20.8,15.6,7.4,313843.8804615948,177536.20537766753
W02000405,Cardiff 039,msoa,2136,826,249,158,216,216,116,74,178,88,15,623,406,281,29.2,19.0,13.2,313246.7454842016,176588.02629035947
W02000407,Cardiff 041,msoa,1761,826,152,101,166,131,112,65,145,51,12,419,308,208,23.8,17.5,11.8,314486.2806574489,176231.06466606655
W02000242,The Vale of Glamorgan 006,msoa,2420,1551,108,95,183,123,135,97,62,56,10,386,355,128,16.0,14.7,5.3,314669.93862747983,172267.6511891968
W02000389,Cardiff 023,msoa,2333,1214,164,135,228,155,147,83,122,75,10,527,385,207,22.6,16.5,8.9,315420.8362349494,179063.82508542857
W02000372,Cardiff 006,msoa,2372,1297,166,102,210,153,204,116,48,65,11,478,473,124,20.2,19.9,5.2,312376.4501658448,181867.14267800216
W02000380,Cardiff 014,msoa,2210,1271,113,88,203,124,186,111,55,46,13,404,421,114,18.3,19.0,5.2,310168.7783747446,180058.52360947695
W02000409,Cardiff 043,msoa,1732,900,145,99,147,132,122,56,76,47,8,391,310,131,22.6,17.9,7.6,312298.2939946976,175499.46115497436
W02000411,Cardiff 045,msoa,1805,862,174,101,197,150,96,46,105,64,10,472,292,179,26.1,16.2,9.9,312929.362842845,175344.27200916177
W02000366,Newport 020,msoa,2499,1289,202,133,231,228,189,103,69,46,9,566,520,124,22.6,20.8,5.0,326833.09589914547,184132.50562584517
W02000377,Cardiff 011,msoa,2111,1055,226,102,187,192,124,70,97,47,11,515,386,155,24.4,18.3,7.3,324086.03961420053,179997.14018928944
W01001945,Cardiff 048D,lsoa,304,253,31,5,7,7,0,0,1,0,0,43,7,1,14.1,2.3,0.3,317985.240791411,173170.06166257316
W01001762,Cardiff 046D,lsoa,393,165,35,28,39,27,20,10,47,22,0,102,57,69,26.0,14.5,17.6,317847.6588320238,174330.72231915547
W01001761,Cardiff 046C,lsoa,412,191,40,25,28,31,25,13,43,14,2,93,69,59,22.6,16.7,14.3,317770.376610388,174807.87490715488
W01001760,Cardiff 046B,lsoa,441,233,25,14,56,30,25,13,27,12,6,95,68,45,21.5,15.4,10.2,318271.7779509862,174597.32094699456
W01001768,Cardiff 044E,lsoa,388,149,43,15,28,27,21,11,62,28,4,86,59,94,22.2,15.2,24.2,317795.73532268766,175114.46946316413
W01001765,Cardiff 044B,lsoa,330,144,44,14,14,29,17,13,36,15,4,72,59,55,21.8,17.9,16.7,318034.9700517446,175236.83380225793
W01001944,Cardiff 048C,lsoa,236,185,17,8,3,11,1,3,4,4,0,28,15,8,11.9,6.4,3.4,319172.73353598046,175360.28469841514
W01001941,Cardiff 032G,lsoa,197,154,18,2,3,10,2,0,6,2,0,23,12,8,11.7,6.1,4.1,318370.0264991199,176122.04859170687
W01001922,Cardiff 032E,lsoa,74,46,18,0,3,1,0,3,2,1,0,21,4,3,28.4,5.4,4.1,318441.67343972024,177174.89746943806
W01001835,Cardiff 033F,lsoa,226,165,14,9,6,10,7,9,1,5,0,29,26,6,12.8,11.5,2.7,319163.1064928849,176989.70806852786
W01001722,Cardiff 028D,lsoa,132,89,8,5,7,8,2,2,5,4,2,20,12,11,15.2,9.1,8.3,317994.5730386287,177950.67752156605
W01001832,Cardiff 033C,lsoa,184,143,16,3,6,8,0,3,3,0,2,25,11,5,13.6,6.0,2.7,318822.75299932214,177364.13178028178
W01001829,Cardiff 033A,lsoa,260,164,21,10,5,17,14,5,11,12,1,36,36,24,13.8,13.8,9.2,318952.3067351652,177576.1399080316
W01001720,Cardiff 028C,lsoa,169,119,12,2,7,4,8,7,5,4,1,21,19,10,12.4,11.2,5.9,318311.6762975676,177957.33048299738
