area_code,area_name,census_geography,long_term_health_all,limited_lots,limited_little,limited_none,limited_lots_perc,limited_little_perc,limited_none_perc,centroid_x,centroid_y
W01001756,Cardiff 025B,lsoa,3809,162,197,3450,4.3,5.2,90.6,316766.79696796706,178571.78873361496
W01001775,Cardiff 021B,lsoa,1592,134,150,1308,8.4,9.4,82.2,316660.04879032506,179913.64342130127
W01001090,The Vale of Glamorgan 006E,lsoa,1470,95,169,1206,6.5,11.5,82.0,314678.5557522886,173662.45416294332
W01001136,The Vale of Glamorgan 003D,lsoa,1165,128,135,902,11.0,11.6,77.4,312275.9931946142,173573.85666905003
W01001702,Cardiff 045A,lsoa,1850,189,181,1480,10.2,9.8,80.0,312454.8874025063,175197.98362188056
W01001703,Cardiff 045B,lsoa,1266,209,138,919,16.5,10.9,72.6,313619.91002401186,175448.7016810575
W01001704,Cardiff 041A,lsoa,1552,261,153,1138,16.8,9.9,73.3,314203.69566166366,175736.16600198878
W01001705,Cardiff 045C,lsoa,1776,221,182,1373,12.4,10.2,77.3,313192.29993507476,175061.4495257406
W01001707,Cardiff 041C,lsoa,2068,289,229,1550,14.0,11.1,75.0,314400.34758990904,176099.60095792744
W01001708,Cardiff 045D,lsoa,1562,255,191,1116,16.3,12.2,71.4,313265.80187259975,175666.27974167408
W01001729,Cardiff 014C,lsoa,2203,179,128,1896,8.1,5.8,86.1,311261.2108390088,178244.96636687982
W01001737,Cardiff 039A,lsoa,1585,252,189,1144,15.9,11.9,72.2,313566.26062761375,176743.79068926044
W01001738,Cardiff 039B,lsoa,1421,167,158,1096,11.8,11.1,77.1,312772.83513914765,176504.02219772377
W01001739,Cardiff 039C,lsoa,1361,194,147,1020,14.3,10.8,74.9,313369.2338952302,176608.50256715194
W01001740,Cardiff 039D,lsoa,1521,244,184,1093,16.0,12.1,71.9,313471.930983525,176228.22101168704
W01001741,Cardiff 039E,lsoa,1619,215,147,1257,13.3,9.1,77.6,312917.04152730864,176271.20253904903
W01001742,Cardiff 043A,lsoa,1515,205,154,1156,13.5,10.2,76.3,312940.40706147917,175889.1365594347
W01001743,Cardiff 043B,lsoa,1424,139,137,1148,9.8,9.6,80.6,311709.0505502423,175840.0319245293
W01001744,Cardiff 043C,lsoa,1592,242,204,1146,15.2,12.8,72.0,312381.69325076987,175578.25205297623
W01001749,Cardiff 027C,lsoa,1488,191,185,1112,12.8,12.4,74.7,313122.5527051976,178352.51345160653
W01001750,Cardiff 031A,lsoa,1650,319,214,1117,19.3,13.0,67.7,314000.4118670318,177862.20617758943
W01001751,Cardiff 027D,lsoa,1661,229,188,1244,13.8,11.3,74.9,313216.22406872484,177845.20650267845
W01001752,Cardiff 031B,lsoa,1625,170,183,1272,10.5,11.3,78.3,313913.06671285816,177294.4945193673
W01001846,Cardiff 006C,lsoa,1727,84,88,1555,4.9,5.1,90.0,312307.815517958,181466.88713225466
W01001847,Cardiff 006D,lsoa,1535,106,148,1281,6.9,9.6,83.5,312383.6472321325,181414.63301234398
W01001954,Cardiff 006F,lsoa,1537,142,156,1239,9.2,10.1,80.6,312958.36679349584,180611.47056471003
W01001780,Cardiff 026B,lsoa,1750,99,143,1508,5.7,8.2,86.2,314565.79498923966,178738.0099611766
W01001745,Cardiff 043D,lsoa,1355,116,150,1089,8.6,11.1,80.4,311587.4465580335,175327.12050324917
W01001746,Cardiff 041D,lsoa,1542,238,202,1102,15.4,13.1,71.5,314086.314019939,176739.10356448984
W01001747,Cardiff 027A,lsoa,1624,154,157,1313,9.5,9.7,80.8,313764.52935698634,178595.5809171048
W01001748,Cardiff 027B,lsoa,1569,209,175,1185,13.3,11.2,75.5,313858.41718127043,178269.90619607174
W01001753,Cardiff 031C,lsoa,1653,205,175,1273,12.4,10.6,77.0,313193.1607484043,177408.89604200737
W01001784,Cardiff 026F,lsoa,1361,116,142,1103,8.5,10.4,81.0,314037.3970441571,178850.7015628324
W01001706,Cardiff 041B,lsoa,1244,151,144,949,12.1,11.6,76.3,314850.34847368614,176332.1920359961
W01001754,Cardiff 031D,lsoa,1711,235,158,1318,13.7,9.2,77.0,314407.6316338188,177216.97814333433
W01001779,Cardiff 026A,lsoa,1445,108,159,1178,7.5,11.0,81.5,314963.95431220985,178005.79136730928
W01001894,Cardiff 010C,lsoa,1589,119,163,1307,7.5,10.3,82.3,314666.7007522099,181133.50120941637
W01001849,Cardiff 004A,lsoa,1558,131,165,1262,8.4,10.6,81.0,314932.42788160057,182096.143380204
W01001885,Cardiff 011D,lsoa,2017,166,166,1685,8.2,8.2,83.5,323688.228414576,179098.22847917143
W01001886,Cardiff 016D,lsoa,1199,171,143,885,14.3,11.9,73.8,323092.72971230675,180027.3394755419
W01001912,Newport 020E,lsoa,1480,134,169,1177,9.1,11.4,79.5,327937.5044875044,181929.44324992562
W01001878,Cardiff 011B,lsoa,1574,187,140,1247,11.9,8.9,79.2,323767.4310386791,181589.54248731275
W01001419,Caerphilly 021D,lsoa,1556,156,172,1228,10.0,11.1,78.9,320260.5280645491,186256.34352958298
W01001778,Cardiff 001B,lsoa,1873,79,117,1677,4.2,6.2,89.5,317555.4785893678,183876.7824833268
W00010122,,oa,237,18,14,205,7.6,5.9,86.5,319804.47750000004,177341.7465
W00010202,,oa,212,9,10,193,4.2,4.7,91.0,318592.762,174829.783
W00009432,,oa,244,19,18,207,7.8,7.4,84.8,319558.603,177512.225
W00009131,,oa,357,45,24,288,12.6,6.7,80.7,317900.23199999996,175504.0745
W00008803,,oa,293,39,43,211,13.3,14.7,72.0,319005.5,174629.9585
W00010124,,oa,253,65,11,177,25.7,4.3,70.0,318719.2415,174442.31949999998
W00009091,,oa,352,42,37,273,11.9,10.5,77.6,317928.00049999997,174498.6485
W00010141,,oa,193,13,13,167,6.7,6.7,86.5,317927.8985,176329.9285
W00010148,,oa,182,20,12,150,11.0,6.6,82.4,317940.222,173810.124
W00010171,,oa,211,3,5,203,1.4,2.4,96.2,319332.493,175172.8205
W00010203,,oa,179,17,11,151,9.5,6.1,84.4,318670.75450000004,174483.2755
W00008816,,oa,269,80,46,143,29.7,17.1,53.2,318819,175208.6885
W00010125,,oa,374,8,10,356,2.1,2.7,95.2,318273.75049999997,177417.102
W00009428,,oa,408,29,22,357,7.1,5.4,87.5,318965.849,177579.5765
W00010205,,oa,246,12,22,212,4.9,8.9,86.2,317670.822,177948.62300000002
W00009074,,oa,296,18,16,262,6.1,5.4,88.5,317816.10199999996,178665.842
W00010193,,oa,300,77,11,212,25.7,3.7,70.7,318566.6385,174997.1745
W00010118,,oa,546,17,26,503,3.1,4.8,92.1,317814.2395,177644.718
W00010191,,oa,188,5,10,173,2.7,5.3,92.0,318830.53500000003,175781.2605
W00010119,,oa,757,58,29,670,7.7,3.8,88.5,317705.922,177685.229
W00010166,,oa,293,3,17,273,1.0,5.8,93.2,321230.971,181694.44449999998
W00010167,,oa,160,0,7,153,0.0,4.4,95.6,318160.7525,173516.7825
W00009335,,oa,376,27,31,318,7.2,8.2,84.6,320563.3275,181429.106
W00010132,,oa,196,4,7,185,2.0,3.6,94.4,318597.135,177228.1545
W00008906,,oa,373,19,23,331,5.1,6.2,88.7,318064.98199999996,177821.062
W00008904,,oa,461,13,20,428,2.8,4.3,92.8,318475.0195,177776.6775
W00008909,,oa,463,6,19,438,1.3,4.1,94.6,318365.11100000003,177683.31949999998
W00008902,,oa,589,68,32,489,11.5,5.4,83.0,318193.2655,178749.8655
W00008901,,oa,494,14,9,471,2.8,1.8,95.3,318480.9865,177494.16749999998
W00009435,,oa,257,21,18,218,8.2,7.0,84.8,319448.8155,177551.03499999997
W00008916,,oa,456,18,15,423,3.9,3.3,92.8,318634.5075,177327.198
W00008912,,oa,554,20,20,514,3.6,3.6,92.8,317865.8995,177567.52649999998
W00008911,,oa,382,29,16,337,7.6,4.2,88.2,318138.7685,177597.517
W00008918,,oa,433,14,23,396,3.2,5.3,91.5,318076.5,178462.426
W00008919,,oa,263,8,16,239,3.0,6.1,90.9,317740.5995,178399.47100000002
W00009374,,oa,319,22,20,277,6.9,6.3,86.8,320145.395,181430.0275
W00009307,,oa,319,26,36,257,8.2,11.3,80.6,321767.80850000004,180372.81900000002
W00009400,,oa,373,25,32,316,6.7,8.6,84.7,319372.753,178143.06050000002
W00010116,,oa,238,1,4,233,0.4,1.7,97.9,319083.07999999996,176700.845
W00010195,,oa,169,2,6,161,1.2,3.6,95.3,318846.5605,175562.375
W00009120,,oa,356,48,30,278,13.5,8.4,78.1,317793.31649999996,174145.859
W00009121,,oa,357,62,40,255,17.4,11.2,71.4,317979.074,174198.343
W00009128,,oa,383,33,35,315,8.6,9.1,82.2,317844.0925,175704.84149999998
W00009392,,oa,328,32,18,278,9.8,5.5,84.8,319288.447,178459.137
W00009318,,oa,330,44,31,255,13.3,9.4,77.3,321956.8995,181568.788
W00009399,,oa,316,13,18,285,4.1,5.7,90.2,319712.995,178128.9905
W00009398,,oa,221,17,8,196,7.7,3.6,88.7,319356.042,178027.7115
W00009419,,oa,291,20,32,239,6.9,11.0,82.1,319795.8615,178807.0085
W00008960,,oa,372,11,32,329,3.0,8.6,88.4,318756.1425,180755.4365
W00008801,,oa,341,33,22,286,9.7,6.5,83.9,320164.42350000003,177184.975
W00009117,,oa,426,69,52,305,16.2,12.2,71.6,317714.3225,174524.8725
W00009474,,oa,333,22,26,285,6.6,7.8,85.6,319581.952,177678.0565
W00009473,,oa,327,19,12,296,5.8,3.7,90.5,319115.6655,177723.0935
W00009642,,oa,279,34,36,209,12.2,12.9,74.9,320200.1015,176480.581
W00008974,,oa,282,17,30,235,6.0,10.6,83.3,318891.802,179773.845
W00009641,,oa,260,30,19,211,11.5,7.3,81.2,320651.44,176729.62550000002
W00009106,,oa,350,27,40,283,7.7,11.4,80.9,317894.2265,175004.015
W00009107,,oa,344,50,52,242,14.5,15.1,70.3,317636.60349999997,174864.7955
W00009108,,oa,297,41,33,223,13.8,11.1,75.1,317904.719,174739.9455
W00009362,,oa,297,32,35,230,10.8,11.8,77.4,319959.657,179815.397
W00008811,,oa,251,5,9,237,2.0,3.6,94.4,319033.315,175765.46399999998
W00009557,,oa,454,51,38,365,11.2,8.4,80.4,317662.0785,176223.4165
W00009467,,oa,373,17,20,336,4.6,5.4,90.1,319058.8465,177992.548
W00009464,,oa,286,14,21,251,4.9,7.3,87.8,318815.9265,177946.8655
W00009460,,oa,424,11,13,400,2.6,3.1,94.3,318937.61699999997,178156.6615
W00009654,,oa,284,42,24,218,14.8,8.5,76.8,320629.19499999995,177160.46600000001
W00009112,,oa,397,56,35,306,14.1,8.8,77.1,317624.5455,174851
W00009114,,oa,490,54,46,390,11.0,9.4,79.6,318263.359,174561.179
W00009113,,oa,339,29,25,285,8.6,7.4,84.1,317980.4445,174663.588
W00009118,,oa,263,42,52,169,16.0,19.8,64.3,317776.2485,174443.061
W00009119,,oa,302,28,35,239,9.3,11.6,79.1,318044.26399999997,173977.398
W00009609,,oa,329,59,34,236,17.9,10.3,71.7,322188.681,178718.08899999998
W00010123,,oa,920,14,29,877,1.5,3.2,95.3,319507.4965,179746.0615
W00010121,,oa,233,6,6,221,2.6,2.6,94.8,318246.1275,176254.737
W00009627,,oa,295,32,35,228,10.8,11.9,77.3,321743.3905,179426.749
W00009984,,oa,321,40,20,261,12.5,6.2,81.3,319262.71499999997,176736.929
W00009341,,oa,321,11,23,287,3.4,7.2,89.4,320319.206,181107.7555
W00009440,,oa,327,33,23,271,10.1,7.0,82.9,319268.06700000004,177349.472
W00009632,,oa,307,31,25,251,10.1,8.1,81.8,320260.373,176769.413
W00009631,,oa,269,34,27,208,12.6,10.0,77.3,320874.8935,176699.8835
W00009638,,oa,286,45,18,223,15.7,6.3,78.0,320957.0125,176577.831
W00009160,,oa,328,14,18,296,4.3,5.5,90.2,317770.12,180564.54499999998
W00008924,,oa,499,19,28,452,3.8,5.6,90.6,318227.91099999996,178183.177
W00008929,,oa,361,14,17,330,3.9,4.7,91.4,318173.174,178099.059
W00009356,,oa,411,38,43,330,9.2,10.5,80.3,319574.659,180154.6255
W00009455,,oa,191,41,22,128,21.5,11.5,67.0,318581.8165,178077.2735
W00009450,,oa,209,107,52,50,51.2,24.9,23.9,319235.77150000003,176953
W00008785,,oa,383,30,34,319,7.8,8.9,83.3,319691.228,176809.391
W00008789,,oa,318,40,24,254,12.6,7.5,79.9,319482.13899999997,176598.0275
W00009606,,oa,295,32,24,239,10.8,8.1,81.0,321215.6925,179093.91950000002
W00010129,,oa,150,1,6,143,0.7,4.0,95.3,319229.757,175491.691
W00008932,,oa,515,14,21,480,2.7,4.1,93.2,318142.033,177940.1325
W00009093,,oa,366,8,19,339,2.2,5.2,92.6,318051.224,173612.9965
W00009098,,oa,392,37,29,326,9.4,7.4,83.2,317847.2745,175203.9425
W00009427,,oa,325,28,33,264,8.6,10.2,81.2,319767.9115,177610.9205
W00009424,,oa,390,12,22,356,3.1,5.6,91.3,318905.2555,177285.9235
W00009422,,oa,313,22,41,250,7.0,13.1,79.9,319912.212,178582.8505
W00009420,,oa,349,25,25,299,7.2,7.2,85.7,320457.19649999996,178948.84975
W00009421,,oa,284,66,34,184,23.2,12.0,64.8,319347.8135,178687.4925
W00008797,,oa,298,43,32,223,14.4,10.7,74.8,320497.96349999995,177617.451
W00008791,,oa,250,31,23,196,12.4,9.2,78.4,319587.2295,176478.22149999999
W00009569,,oa,317,32,24,261,10.1,7.6,82.3,317088.79949999996,176181.4745
W00008896,,oa,268,15,21,232,5.6,7.8,86.6,315959.7865,177014.9265
W00009724,,oa,339,25,31,283,7.4,9.1,83.5,315178.78599999996,179596.3895
W00009127,,oa,339,36,37,266,10.6,10.9,78.5,317537.92850000004,175614.0095
W00008855,,oa,325,84,41,200,25.8,12.6,61.5,316310.45900000003,176954.4705
W00008859,,oa,334,49,29,256,14.7,8.7,76.6,315641.50450000004,176764.2915
W00009248,,oa,327,25,26,276,7.6,8.0,84.4,316811.1235,182740.8765
W00009154,,oa,473,26,31,416,5.5,6.6,87.9,317843.368,179264.5755
W00009155,,oa,172,34,26,112,19.8,15.1,65.1,318140.3945,179648.4365
W00009568,,oa,327,30,20,277,9.2,6.1,84.7,317529.7245,176188.3785
W00009754,,oa,205,38,23,144,18.5,11.2,70.2,315706.078,180038.7885
W00009402,,oa,280,11,23,246,3.9,8.2,87.9,319959.374,177998.1245
W00009756,,oa,227,42,33,152,18.5,14.5,67.0,315558.72849999997,180177.934
W00009755,,oa,279,18,31,230,6.5,11.1,82.4,315310.301,180200.2795
W00009750,,oa,274,32,33,209,11.7,12.0,76.3,315835.61199999996,180273.05599999998
W00009759,,oa,238,26,31,181,10.9,13.0,76.1,315465.45849999995,179888.445
W00009226,,oa,292,47,26,219,16.1,8.9,75.0,315263.484,179239.324
W00009575,,oa,205,43,20,142,21.0,9.8,69.3,317686.431,175921.2175
W00009571,,oa,376,31,30,315,8.2,8.0,83.8,317183.38800000004,176075.687
W00009725,,oa,330,21,33,276,6.4,10.0,83.6,315424.3715,180564.2665
W00009722,,oa,295,20,23,252,6.8,7.8,85.4,314960.6135,180323.7955
W00008887,,oa,322,16,21,285,5.0,6.5,88.5,315813.945,177313.0425
W00008884,,oa,196,43,31,122,21.9,15.8,62.2,316107.5065,175500.59000000003
W00008883,,oa,284,57,47,180,20.1,16.5,63.4,316255.3155,175960.522
W00008889,,oa,307,20,29,258,6.5,9.4,84.0,315969.76300000004,177174.43349999998
W00008888,,oa,207,30,29,148,14.5,14.0,71.5,316148.62600000005,177186.86599999998
W00009197,,oa,366,30,42,294,8.2,11.5,80.3,315514.5415,178034.0145
W00009116,,oa,348,19,27,302,5.5,7.8,86.8,317968.2735,174611.3295
W00009195,,oa,285,36,34,215,12.6,11.9,75.4,315085.8175,178154.541
W00009231,,oa,255,46,32,177,18.0,12.5,69.4,315647.2825,179008.6605
W00009548,,oa,247,20,18,209,8.1,7.3,84.6,315517.6155,180739.039
W00009737,,oa,294,32,32,230,10.9,10.9,78.2,315822.819,179416.6405
W00009640,,oa,338,31,32,275,9.2,9.5,81.4,319909.07999999996,176537.718
W00008978,,oa,196,12,27,157,6.1,13.8,80.1,319467.00950000004,182089.7905
W00009186,,oa,263,10,29,224,3.8,11.0,85.2,314914.2605,177821.2765
W00009100,,oa,301,17,23,261,5.6,7.6,86.7,316892.024,174750.691
W00008814,,oa,393,59,35,299,15.0,8.9,76.1,318759.4105,175466.6385
W00008894,,oa,303,19,33,251,6.3,10.9,82.8,315091.4075,177093.565
W00008893,,oa,344,33,29,282,9.6,8.4,82.0,314882.983,177004.29700000002
W00009286,,oa,264,41,34,189,15.5,12.9,71.6,317562.52150000003,181994.959
W00009204,,oa,221,28,24,169,12.7,10.9,76.5,316062.64300000004,177480.501
W00009205,,oa,307,24,36,247,7.8,11.7,80.5,315115.8055,177353.75
W00009203,,oa,235,20,26,189,8.5,11.1,80.4,315261.73199999996,177483.3245
W00009201,,oa,308,19,25,264,6.2,8.1,85.7,314834.6625,177438.3895
W00009552,,oa,248,41,40,167,16.5,16.1,67.3,316094.993,180672.699
W00009550,,oa,269,25,36,208,9.3,13.4,77.3,316020.0815,180815.6925
W00009559,,oa,383,32,39,312,8.4,10.2,81.5,316921.839,176205.69400000002
W00009468,,oa,488,19,29,440,3.9,5.9,90.2,318654.2485,177827.495
W00010177,,oa,250,71,34,145,28.4,13.6,58.0,316978.412,181051.059
W00009199,,oa,290,19,28,243,6.6,9.7,83.8,314969.4135,177642.776
W00009198,,oa,440,28,30,382,6.4,6.8,86.8,315643.6355,177572.326
W00009214,,oa,287,31,30,226,10.8,10.5,78.7,315798.9485,179174.84149999998
W00009218,,oa,306,29,33,244,9.5,10.8,79.7,315352.002,178619.7045
W00009527,,oa,321,16,32,273,5.0,10.0,85.0,315339.645,181772.533
W00010126,,oa,1100,11,22,1067,1.0,2.0,97.0,316687.22400000005,178484.37050000002
W00009983,,oa,516,28,25,463,5.4,4.8,89.7,317582.77099999995,175608.752
W00008864,,oa,285,17,23,245,6.0,8.1,86.0,316494.88300000003,176772.56300000002
W00008870,,oa,309,26,30,253,8.4,9.7,81.9,315507.8715,176615.9205
W00009537,,oa,222,38,25,159,17.1,11.3,71.6,315501.82550000004,181267.1825
W00009535,,oa,258,46,41,171,17.8,15.9,66.3,316391.8895,181723.874
W00009587,,oa,239,11,14,214,4.6,5.9,89.5,316763.8275,177193.5195
W00009762,,oa,327,17,23,287,5.2,7.0,87.8,314904.8815,179787.0895
W00009170,,oa,311,33,23,255,10.6,7.4,82.0,317744.17449999996,180249.00400000002
W00008931,,oa,403,17,11,375,4.2,2.7,93.1,317914.788,178051.276
W00008794,,oa,363,47,23,293,12.9,6.3,80.7,319937.177,177469.152
W00005833,,oa,299,26,29,244,8.7,9.7,81.6,316492.04949999996,173481.869
W00005831,,oa,322,28,30,264,8.7,9.3,82.0,316398.51300000004,173011.8045
W00005835,,oa,274,25,18,231,9.1,6.6,84.3,317131.15449999995,173229.195
W00008897,,oa,201,13,23,165,6.5,11.4,82.1,315829.221,177097.15149999998
W00009224,,oa,296,40,33,223,13.5,11.1,75.3,315909.9565,178448.6445
W00009222,,oa,204,71,21,112,34.8,10.3,54.9,315872.13899999997,178661.4995
W00008863,,oa,254,22,16,216,8.7,6.3,85.0,316185.483,176753.2415
W00009077,,oa,392,17,27,348,4.3,6.9,88.8,317327.2115,178699.91950000002
W00009613,,oa,317,43,28,246,13.6,8.8,77.6,322234.07550000004,178074.809
W00009610,,oa,369,51,36,282,13.8,9.8,76.4,321102.7975,178816.793
W00010232,,oa,619,10,21,588,1.6,3.4,95.0,317485.245,178177.4515
W00008856,,oa,289,26,28,235,9.0,9.7,81.3,315685.123,176978
W00009244,,oa,283,15,10,258,5.3,3.5,91.2,316995.1235,183233.1515
W00009243,,oa,349,17,28,304,4.9,8.0,87.1,317339.947,183206.9995
W00009563,,oa,291,26,21,244,8.9,7.2,83.8,317641.13049999997,176377.235
W00009309,,oa,307,65,26,216,21.2,8.5,70.4,321942.878,180195.8115
W00009566,,oa,381,34,34,313,8.9,8.9,82.2,317355.2695,176275.62949999998
W00009567,,oa,254,37,32,185,14.6,12.6,72.8,316982.0595,176067.948
W00009564,,oa,312,27,30,255,8.7,9.6,81.7,317008.5405,176263.574
W00010115,,oa,862,7,33,822,0.8,3.8,95.4,318442.2595,177125.75
W00009314,,oa,251,26,32,193,10.4,12.7,76.9,321097.84550000005,179400.3135
W00010215,,oa,241,4,8,229,1.7,3.3,95.0,319072.1115,175224.391
W00010213,,oa,167,8,20,139,4.8,12.0,83.2,316109.55299999996,176291.327
W00009223,,oa,269,50,16,203,18.6,5.9,75.5,316139.91949999996,178436.476
W00009576,,oa,248,35,28,185,14.1,11.3,74.6,316453.1095,177802.31449999998
W00009579,,oa,215,26,27,162,12.1,12.6,75.3,316567.775,177242.803
W00008966,,oa,305,19,23,263,6.2,7.5,86.2,318334.0165,180127.7065
W00009137,,oa,251,30,24,197,12.0,9.6,78.5,317469.5325,175381.889
W00009134,,oa,294,32,30,232,10.9,10.2,78.9,317313.40150000004,175444.864
W00009130,,oa,281,38,21,222,13.5,7.5,79.0,317410.7215,175560.18949999998
W00009139,,oa,297,24,29,244,8.1,9.8,82.2,317213.3995,179454.122
W00008885,,oa,486,46,49,391,9.5,10.1,80.5,316766.7785,175765.7525
W00009545,,oa,281,14,20,247,5.0,7.1,87.9,315820.94350000005,180958.152
W00009541,,oa,278,22,23,233,7.9,8.3,83.8,315927.7925,181267.7745
W00009730,,oa,260,29,32,199,11.2,12.3,76.5,316043.05299999996,179721.33500000002
W00010162,,oa,292,32,32,228,11.0,11.0,78.1,316946.25899999996,180409.0505
W00009101,,oa,473,37,44,392,7.8,9.3,82.9,317864.9045,175108.438
W00009289,,oa,319,38,38,243,11.9,11.9,76.2,317139.77749999997,182008.352
W00009554,,oa,228,20,23,185,8.8,10.1,81.1,316310.5695,182311.538
W00009115,,oa,297,39,28,230,13.1,9.4,77.4,318356.774,174684.973
W00010140,,oa,475,29,30,416,6.1,6.3,87.6,315786.78599999996,176105.634
W00010120,,oa,308,11,23,274,3.6,7.5,89.0,319517.217,174681.0815
W00009429,,oa,300,13,18,269,4.3,6.0,89.7,319355.0375,177649.352
W00009622,,oa,300,50,38,212,16.7,12.7,70.7,322585.2845,179717.3235
W00008862,,oa,247,31,26,190,12.6,10.5,76.9,315700.3425,176862.739
W00008866,,oa,296,31,24,241,10.5,8.1,81.4,316040.7,176798.728
W00008867,,oa,286,25,28,233,8.7,9.8,81.5,315774.0685,176737.3715
W00008860,,oa,292,15,24,253,5.1,8.2,86.6,316286.73199999996,176837.94199999998
W00008869,,oa,303,22,26,255,7.3,8.6,84.2,316234.918,176680.2645
W00009342,,oa,410,40,51,319,9.8,12.4,77.8,320811.3355,181057.514
W00009533,,oa,260,51,41,168,19.6,15.8,64.6,315825.00800000003,181920.96149999998
W00009636,,oa,264,23,31,210,8.7,11.7,79.5,320426.47250000003,176415.8695
W00009633,,oa,304,43,32,229,14.1,10.5,75.3,319823.07,176439.507
W00009164,,oa,296,18,25,253,6.1,8.4,85.5,317397.13300000003,180542.7015
W00009162,,oa,279,19,26,234,6.8,9.3,83.9,317158.93200000003,180401.66999999998
W00008923,,oa,376,19,13,344,5.1,3.5,91.5,318402.2025,178116.1975
W00008920,,oa,430,6,16,408,1.4,3.7,94.9,318358.5255,178451.44150000002
W00008872,,oa,293,33,20,240,11.3,6.8,81.9,315850.55850000004,176500.4605
W00008873,,oa,336,32,39,265,9.5,11.6,78.9,316089.4375,176552.0565
W00008871,,oa,350,20,25,305,5.7,7.1,87.1,316400.5125,176609.0655
W00008879,,oa,307,19,23,265,6.2,7.5,86.3,316429.90650000004,176321.6995
W00009080,,oa,434,19,23,392,4.4,5.3,90.3,317767.475,178583.4045
W00009088,,oa,373,7,19,347,1.9,5.1,93.0,317485.1455,178602.501
W00009586,,oa,235,20,23,192,8.5,9.8,81.7,316568.8515,176972.49349999998
W00009585,,oa,295,11,30,254,3.7,10.2,86.1,316852.163,176979.1115
W00009581,,oa,292,11,27,254,3.8,9.2,87.0,316446.642,177266.3395
W00009580,,oa,361,18,37,306,5.0,10.2,84.8,317086.372,177393.84649999999
W00009458,,oa,312,19,25,268,6.1,8.0,85.9,318820.66500000004,178222.5185
W00009765,,oa,281,27,29,225,9.6,10.3,80.1,315793.57550000004,179890.47749999998
W00009764,,oa,265,36,41,188,13.6,15.5,70.9,316303.421,179918.5745
W00009094,,oa,284,26,32,226,9.2,11.3,79.6,316986.519,175189.1175
W00010223,,oa,562,13,25,524,2.3,4.4,93.2,317449.047,177961.2035
W00009277,,oa,297,34,21,242,11.4,7.1,81.5,316568.54949999996,182710.304
W00009597,,oa,402,14,32,356,3.5,8.0,88.6,316863.47,176574.76799999998
W00009594,,oa,305,20,18,267,6.6,5.9,87.5,316697.6065,176788.7305
W00009591,,oa,318,24,33,261,7.5,10.4,82.1,316870.93200000003,176741.6995
W00009598,,oa,342,63,48,231,18.4,14.0,67.5,316897.5,176393.4155
W00009324,,oa,300,37,19,244,12.3,6.3,81.3,321677.13,181190.2465
W00008603,,oa,410,18,30,362,4.4,7.3,88.3,325221.40599999996,183023.34350000002
W00009687,,oa,352,98,26,228,27.8,7.4,64.8,323610.58200000005,181405.46149999998
W00009325,,oa,338,48,32,258,14.2,9.5,76.3,322378.88,181399.2605
W00010151,,oa,320,8,12,300,2.5,3.8,93.8,316946.9745,181329.921
W00009360,,oa,292,35,30,227,12.0,10.3,77.7,319861.67949999997,179991.6925
W00009720,,oa,302,29,22,251,9.6,7.3,83.1,313500.099,182235.6595
W00009234,,oa,247,28,30,189,11.3,12.1,76.5,315070.2685,179092.89
W00010152,,oa,293,3,5,285,1.0,1.7,97.3,313766.042,179989.17599999998
W00009247,,oa,288,20,25,243,6.9,8.7,84.4,317373.105,182667.766
W00010135,,oa,401,11,21,369,2.7,5.2,92.0,316843.126,180590.7365
W00009140,,oa,405,21,32,352,5.2,7.9,86.9,316965.17350000003,180033.23200000002
W00009141,,oa,429,39,33,357,9.1,7.7,83.2,316721.6925,180194.2625
W00009148,,oa,122,26,22,74,21.3,18.0,60.7,318158.9975,179859.50400000002
W00009245,,oa,485,18,23,444,3.7,4.7,91.5,316623.083,183146.314
W00009249,,oa,321,13,30,278,4.0,9.3,86.6,318284.22,182297.78350000002
W00009745,,oa,270,28,13,229,10.4,4.8,84.8,314689.3875,180910.05949999997
W00009747,,oa,243,39,30,174,16.0,12.3,71.6,315001.72349999996,180675.491
W00009749,,oa,357,18,28,311,5.0,7.8,87.1,315232.406,180554.89549999998
W00009156,,oa,268,9,27,232,3.4,10.1,86.6,317522.7725,180776.34850000002
W00009153,,oa,347,13,23,311,3.7,6.6,89.6,316949.954,179484.2035
W00009252,,oa,412,48,36,328,11.7,8.7,79.6,317917.50450000004,181871.7645
W00009258,,oa,363,41,28,294,11.3,7.7,81.0,317895.365,181367.98700000002
W00009259,,oa,237,41,30,166,17.3,12.7,70.0,318022.177,181201.4005
W00009486,,oa,378,14,18,346,3.7,4.8,91.5,320170.9175,182088.239
W00009758,,oa,319,15,25,279,4.7,7.8,87.5,314988.74950000003,180158.7175
W00009364,,oa,325,32,33,260,9.8,10.2,80.0,319835.9805,179659.4525
W00009229,,oa,348,26,19,303,7.5,5.5,87.1,314727.8715,179335
W00006525,,oa,259,25,30,204,9.7,11.6,78.8,312525.5455,184063.022
W00009412,,oa,319,30,33,256,9.4,10.3,80.3,320035.1225,179246.26049999997
W00009726,,oa,316,23,32,261,7.3,10.1,82.6,315241.59699999995,179814.728
W00009727,,oa,293,19,32,242,6.5,10.9,82.6,316183.1165,179521.9135
W00009728,,oa,314,38,40,236,12.1,12.7,75.2,315654.00749999995,179541.638
