area_code,area_name,census_geography,all_qualifications,no_qualifications,level1,level2,level3,level4,apprenticeship,other,no_qualifications_perc,level1_perc,level2_perc,level3_perc,level4_perc,centroid_x,centroid_y
W00009575,,oa,191,64,27,23,15,29,1,32,33.5,14.1,12.0,7.9,15.2,317686.431,175921.2175
W00009571,,oa,288,88,38,26,30,72,3,31,30.6,13.2,9.0,10.4,25.0,317183.38800000004,176075.687
W00009725,,oa,254,28,33,36,25,118,8,6,11.0,13.0,14.2,9.8,46.5,315424.3715,180564.2665
W00009722,,oa,228,22,21,25,33,118,4,5,9.6,9.2,11.0,14.5,51.8,314960.6135,180323.7955
W00008887,,oa,277,21,17,27,23,173,4,12,7.6,6.1,9.7,8.3,62.5,315813.945,177313.0425
W00008884,,oa,166,71,23,30,14,15,5,8,42.8,13.9,18.1,8.4,9.0,316107.5065,175500.59000000003
W00008883,,oa,248,104,32,20,16,42,16,18,41.9,12.9,8.1,6.5,16.9,316255.3155,175960.522
W00008889,,oa,245,37,22,23,22,131,2,8,15.1,9.0,9.4,9.0,53.5,315969.76300000004,177174.43349999998
W00008888,,oa,191,64,4,20,11,76,5,11,33.5,2.1,10.5,5.8,39.8,316148.62600000005,177186.86599999998
W00009197,,oa,312,39,12,32,18,193,6,12,12.5,3.8,10.3,5.8,61.9,315514.5415,178034.0145
W00009116,,oa,244,45,38,29,29,87,4,12,18.4,15.6,11.9,11.9,35.7,317968.2735,174611.3295
W00009195,,oa,249,27,15,38,18,145,3,3,10.8,6.0,15.3,7.2,58.2,315085.8175,178154.541
W00009231,,oa,195,92,27,25,9,27,7,8,47.2,13.8,12.8,4.6,13.8,315647.2825,179008.6605
W00009548,,oa,202,27,14,39,25,86,6,5,13.4,6.9,19.3,12.4,42.6,315517.6155,180739.039
W00009737,,oa,250,51,29,33,31,83,15,8,20.4,11.6,13.2,12.4,33.2,315822.819,179416.6405
W00009640,,oa,262,80,45,32,17,65,4,19,30.5,17.2,12.2,6.5,24.8,319909.07999999996,176537.718
W00008978,,oa,175,24,11,32,13,79,7,9,13.7,6.3,18.3,7.4,45.1,319467.00950000004,182089.7905
W00009186,,oa,215,23,13,36,21,112,7,3,10.7,6.0,16.7,9.8,52.1,314914.2605,177821.2765
W00009100,,oa,245,47,37,31,25,77,9,19,19.2,15.1,12.7,10.2,31.4,316892.024,174750.691
W00008814,,oa,269,135,35,32,22,25,3,17,50.2,13.0,11.9,8.2,9.3,318759.4105,175466.6385
W00008894,,oa,255,36,22,35,28,118,7,9,14.1,8.6,13.7,11.0,46.3,315091.4075,177093.565
W00008893,,oa,279,47,32,34,27,119,10,10,16.8,11.5,12.2,9.7,42.7,314882.983,177004.29700000002
W00009286,,oa,222,41,27,35,18,83,9,9,18.5,12.2,15.8,8.1,37.4,317562.52150000003,181994.959
W00009204,,oa,191,34,13,26,12,98,2,6,17.8,6.8,13.6,6.3,51.3,316062.64300000004,177480.501
W00009205,,oa,274,50,22,39,28,117,11,7,18.2,8.0,14.2,10.2,42.7,315115.8055,177353.75
W00009203,,oa,195,36,24,24,19,86,4,2,18.5,12.3,12.3,9.7,44.1,315261.73199999996,177483.3245
W00009201,,oa,247,29,29,26,32,108,12,11,11.7,11.7,10.5,13.0,43.7,314834.6625,177438.3895
W00009552,,oa,220,48,28,26,23,78,8,9,21.8,12.7,11.8,10.5,35.5,316094.993,180672.699
W00009550,,oa,224,51,18,35,19,79,14,8,22.8,8.0,15.6,8.5,35.3,316020.0815,180815.6925
W00009559,,oa,278,94,40,23,26,60,9,26,33.8,14.4,8.3,9.4,21.6,316921.839,176205.69400000002
W00009468,,oa,445,50,14,39,162,143,5,32,11.2,3.1,8.8,36.4,32.1,318654.2485,177827.495
W00010177,,oa,247,78,17,26,22,82,8,14,31.6,6.9,10.5,8.9,33.2,316978.412,181051.059
W00009199,,oa,232,22,31,24,27,106,10,12,9.5,13.4,10.3,11.6,45.7,314969.4135,177642.776
W00009198,,oa,333,36,17,36,22,208,5,9,10.8,5.1,10.8,6.6,62.5,315643.6355,177572.326
W00009214,,oa,216,60,53,27,23,42,6,5,27.8,24.5,12.5,10.6,19.4,315798.9485,179174.84149999998
W00009218,,oa,238,54,39,28,28,77,3,9,22.7,16.4,11.8,11.8,32.4,315352.002,178619.7045
W00009527,,oa,264,38,15,49,23,117,15,7,14.4,5.7,18.6,8.7,44.3,315339.645,181772.533
W00010126,,oa,1077,19,25,105,855,53,3,17,1.8,2.3,9.7,79.4,4.9,316687.22400000005,178484.37050000002
W00009983,,oa,463,58,23,58,242,52,0,30,12.5,5.0,12.5,52.3,11.2,317582.77099999995,175608.752
W00008864,,oa,240,39,23,19,21,126,2,10,16.3,9.6,7.9,8.8,52.5,316494.88300000003,176772.56300000002
W00008870,,oa,254,45,45,30,27,73,13,21,17.7,17.7,11.8,10.6,28.7,315507.8715,176615.9205
W00009537,,oa,189,47,14,25,16,70,7,10,24.9,7.4,13.2,8.5,37.0,315501.82550000004,181267.1825
W00009535,,oa,233,55,22,40,19,73,10,14,23.6,9.4,17.2,8.2,31.3,316391.8895,181723.874
W00009587,,oa,199,5,14,12,22,140,2,4,2.5,7.0,6.0,11.1,70.4,316763.8275,177193.5195
W00009762,,oa,264,13,10,36,30,163,4,8,4.9,3.8,13.6,11.4,61.7,314904.8815,179787.0895
W00009170,,oa,253,24,20,36,29,127,8,9,9.5,7.9,14.2,11.5,50.2,317744.17449999996,180249.00400000002
W00008931,,oa,381,18,19,28,197,107,1,11,4.7,5.0,7.3,51.7,28.1,317914.788,178051.276
W00008794,,oa,328,65,25,33,25,130,6,44,19.8,7.6,10.1,7.6,39.6,319937.177,177469.152
W00005833,,oa,254,39,25,36,31,97,17,9,15.4,9.8,14.2,12.2,38.2,316492.04949999996,173481.869
W00005831,,oa,268,45,24,45,29,100,10,15,16.8,9.0,16.8,10.8,37.3,316398.51300000004,173011.8045
W00005835,,oa,234,44,19,34,29,84,16,8,18.8,8.1,14.5,12.4,35.9,317131.15449999995,173229.195
W00008897,,oa,167,20,14,23,20,81,3,6,12.0,8.4,13.8,12.0,48.5,315829.221,177097.15149999998
W00009224,,oa,243,83,41,34,21,48,7,9,34.2,16.9,14.0,8.6,19.8,315909.9565,178448.6445
W00009222,,oa,185,95,18,16,11,31,3,11,51.4,9.7,8.6,5.9,16.8,315872.13899999997,178661.4995
W00008863,,oa,212,42,19,15,21,105,4,6,19.8,9.0,7.1,9.9,49.5,316185.483,176753.2415
W00009077,,oa,343,33,12,30,98,155,5,10,9.6,3.5,8.7,28.6,45.2,317327.2115,178699.91950000002
W00009613,,oa,255,68,36,44,31,47,13,16,26.7,14.1,17.3,12.2,18.4,322234.07550000004,178074.809
W00009610,,oa,309,73,46,51,35,81,15,8,23.6,14.9,16.5,11.3,26.2,321102.7975,178816.793
W00010232,,oa,588,16,13,54,311,132,3,59,2.7,2.2,9.2,52.9,22.4,317485.245,178177.4515
W00008856,,oa,244,45,22,22,27,113,8,7,18.4,9.0,9.0,11.1,46.3,315685.123,176978
W00009244,,oa,213,9,25,39,28,99,8,5,4.2,11.7,18.3,13.1,46.5,316995.1235,183233.1515
W00009243,,oa,287,20,34,43,30,145,9,6,7.0,11.8,15.0,10.5,50.5,317339.947,183206.9995
W00009563,,oa,245,63,18,26,30,82,5,21,25.7,7.3,10.6,12.2,33.5,317641.13049999997,176377.235
W00009309,,oa,249,95,32,36,37,25,15,9,38.2,12.9,14.5,14.9,10.0,321942.878,180195.8115
W00009566,,oa,283,91,31,31,22,80,6,22,32.2,11.0,11.0,7.8,28.3,317355.2695,176275.62949999998
W00009567,,oa,194,68,27,19,11,48,3,18,35.1,13.9,9.8,5.7,24.7,316982.0595,176067.948
W00009564,,oa,241,54,28,29,21,86,6,17,22.4,11.6,12.0,8.7,35.7,317008.5405,176263.574
W00010115,,oa,854,7,22,62,597,100,0,66,0.8,2.6,7.3,69.9,11.7,318442.2595,177125.75
W00009314,,oa,218,62,43,29,21,48,6,9,28.4,19.7,13.3,9.6,22.0,321097.84550000005,179400.3135
W00010215,,oa,219,7,16,9,22,150,3,12,3.2,7.3,4.1,10.0,68.5,319072.1115,175224.391
W00010213,,oa,144,35,29,25,10,26,11,8,24.3,20.1,17.4,6.9,18.1,316109.55299999996,176291.327
W00009223,,oa,215,80,46,14,19,38,6,12,37.2,21.4,6.5,8.8,17.7,316139.91949999996,178436.476
W00009576,,oa,205,45,18,27,18,77,7,13,22.0,8.8,13.2,8.8,37.6,316453.1095,177802.31449999998
W00009579,,oa,198,35,12,21,16,102,3,9,17.7,6.1,10.6,8.1,51.5,316567.775,177242.803
W00008966,,oa,241,19,18,26,22,149,4,3,7.9,7.5,10.8,9.1,61.8,318334.0165,180127.7065
W00009137,,oa,202,58,30,16,15,66,10,7,28.7,14.9,7.9,7.4,32.7,317469.5325,175381.889
W00009134,,oa,228,61,23,37,15,67,7,18,26.8,10.1,16.2,6.6,29.4,317313.40150000004,175444.864
W00009130,,oa,230,72,21,24,21,64,3,25,31.3,9.1,10.4,9.1,27.8,317410.7215,175560.18949999998
W00009139,,oa,243,32,19,34,22,116,6,14,13.2,7.8,14.0,9.1,47.7,317213.3995,179454.122
W00008885,,oa,339,110,50,46,30,67,14,22,32.4,14.7,13.6,8.8,19.8,316766.7785,175765.7525
W00009545,,oa,228,19,9,40,15,136,5,4,8.3,3.9,17.5,6.6,59.6,315820.94350000005,180958.152
W00009541,,oa,217,30,25,30,16,107,8,1,13.8,11.5,13.8,7.4,49.3,315927.7925,181267.7745
W00009730,,oa,230,45,29,42,17,74,9,14,19.6,12.6,18.3,7.4,32.2,316043.05299999996,179721.33500000002
W00010162,,oa,230,62,28,22,20,80,8,10,27.0,12.2,9.6,8.7,34.8,316946.25899999996,180409.0505
W00009101,,oa,317,100,43,31,38,53,10,42,31.5,13.6,9.8,12.0,16.7,317864.9045,175108.438
W00009289,,oa,254,98,38,33,18,43,8,16,38.6,15.0,13.0,7.1,16.9,317139.77749999997,182008.352
W00009554,,oa,198,32,26,28,17,76,9,10,16.2,13.1,14.1,8.6,38.4,316310.5695,182311.538
W00009115,,oa,228,77,34,28,24,39,12,14,33.8,14.9,12.3,10.5,17.1,318356.774,174684.973
W00010140,,oa,345,62,54,48,43,93,16,29,18.0,15.7,13.9,12.5,27.0,315786.78599999996,176105.634
W00010120,,oa,282,28,40,30,23,137,4,20,9.9,14.2,10.6,8.2,48.6,319517.217,174681.0815
W00009429,,oa,282,23,26,38,60,118,2,15,8.2,9.2,13.5,21.3,41.8,319355.0375,177649.352
W00009622,,oa,227,99,41,39,14,18,8,8,43.6,18.1,17.2,6.2,7.9,322585.2845,179717.3235
W00008862,,oa,211,73,23,29,7,64,8,7,34.6,10.9,13.7,3.3,30.3,315700.3425,176862.739
W00008866,,oa,254,49,14,18,25,134,4,10,19.3,5.5,7.1,9.8,52.8,316040.7,176798.728
W00008867,,oa,235,57,19,28,12,100,6,13,24.3,8.1,11.9,5.1,42.6,315774.0685,176737.3715
W00008860,,oa,250,31,21,18,23,142,7,8,12.4,8.4,7.2,9.2,56.8,316286.73199999996,176837.94199999998
W00008869,,oa,257,55,32,32,20,101,6,11,21.4,12.5,12.5,7.8,39.3,316234.918,176680.2645
W00009342,,oa,281,108,52,54,17,26,11,13,38.4,18.5,19.2,6.0,9.3,320811.3355,181057.514
W00009533,,oa,230,61,26,31,12,81,8,11,26.5,11.3,13.5,5.2,35.2,315825.00800000003,181920.96149999998
W00009636,,oa,206,53,29,21,20,61,4,18,25.7,14.1,10.2,9.7,29.6,320426.47250000003,176415.8695
W00009633,,oa,239,72,36,29,22,63,3,14,30.1,15.1,12.1,9.2,26.4,319823.07,176439.507
W00009164,,oa,226,24,19,32,22,110,11,8,10.6,8.4,14.2,9.7,48.7,317397.13300000003,180542.7015
W00009162,,oa,220,33,26,24,24,101,5,7,15.0,11.8,10.9,10.9,45.9,317158.93200000003,180401.66999999998
W00008923,,oa,346,30,17,29,134,123,3,10,8.7,4.9,8.4,38.7,35.5,318402.2025,178116.1975
W00008920,,oa,411,17,13,28,217,125,4,7,4.1,3.2,6.8,52.8,30.4,318358.5255,178451.44150000002
W00008872,,oa,243,59,39,41,20,67,11,6,24.3,16.0,16.9,8.2,27.6,315850.55850000004,176500.4605
W00008873,,oa,278,74,26,37,23,107,8,3,26.6,9.4,13.3,8.3,38.5,316089.4375,176552.0565
W00008871,,oa,294,56,26,27,22,146,6,11,19.0,8.8,9.2,7.5,49.7,316400.5125,176609.0655
W00008879,,oa,256,48,24,20,21,129,5,9,18.8,9.4,7.8,8.2,50.4,316429.90650000004,176321.6995
W00009080,,oa,390,47,15,30,97,166,2,33,12.1,3.8,7.7,24.9,42.6,317767.475,178583.4045
W00009088,,oa,322,28,25,37,61,158,3,10,8.7,7.8,11.5,18.9,49.1,317485.1455,178602.501
W00009586,,oa,213,32,14,25,19,106,5,12,15.0,6.6,11.7,8.9,49.8,316568.8515,176972.49349999998
W00009585,,oa,246,32,11,21,16,156,3,7,13.0,4.5,8.5,6.5,63.4,316852.163,176979.1115
W00009581,,oa,251,11,9,25,20,176,4,6,4.4,3.6,10.0,8.0,70.1,316446.642,177266.3395
W00009580,,oa,329,48,15,16,25,208,2,15,14.6,4.6,4.9,7.6,63.2,317086.372,177393.84649999999
W00009458,,oa,272,28,15,22,79,111,5,12,10.3,5.5,8.1,29.0,40.8,318820.66500000004,178222.5185
W00009765,,oa,224,34,19,38,27,82,18,6,15.2,8.5,17.0,12.1,36.6,315793.57550000004,179890.47749999998
W00009764,,oa,227,51,18,29,20,88,10,11,22.5,7.9,12.8,8.8,38.8,316303.421,179918.5745
W00009094,,oa,223,41,42,33,30,57,3,17,18.4,18.8,14.8,13.5,25.6,316986.519,175189.1175
W00010223,,oa,553,19,10,39,300,138,3,44,3.4,1.8,7.1,54.2,25.0,317449.047,177961.2035
W00009277,,oa,252,43,30,51,18,84,11,15,17.1,11.9,20.2,7.1,33.3,316568.54949999996,182710.304
W00009597,,oa,342,48,44,49,37,133,5,26,14.0,12.9,14.3,10.8,38.9,316863.47,176574.76799999998
W00009594,,oa,278,38,21,19,28,160,6,6,13.7,7.6,6.8,10.1,57.6,316697.6065,176788.7305
W00009591,,oa,273,45,11,28,43,121,7,18,16.5,4.0,10.3,15.8,44.3,316870.93200000003,176741.6995
W00009598,,oa,267,134,18,19,8,52,4,32,50.2,6.7,7.1,3.0,19.5,316897.5,176393.4155
W00009324,,oa,230,72,29,28,32,46,5,18,31.3,12.6,12.2,13.9,20.0,321677.13,181190.2465
W00008603,,oa,330,43,29,48,51,130,14,15,13.0,8.8,14.5,15.5,39.4,325221.40599999996,183023.34350000002
W00009687,,oa,292,88,46,48,22,66,13,9,30.1,15.8,16.4,7.5,22.6,323610.58200000005,181405.46149999998
W00009325,,oa,248,103,44,38,18,25,8,12,41.5,17.7,15.3,7.3,10.1,322378.88,181399.2605
W00010151,,oa,228,19,24,33,33,107,6,6,8.3,10.5,14.5,14.5,46.9,316946.9745,181329.921
W00009360,,oa,241,74,40,43,32,32,10,10,30.7,16.6,17.8,13.3,13.3,319861.67949999997,179991.6925
W00009720,,oa,247,63,25,35,25,82,7,10,25.5,10.1,14.2,10.1,33.2,313500.099,182235.6595
W00009234,,oa,196,55,28,25,20,44,12,12,28.1,14.3,12.8,10.2,22.4,315070.2685,179092.89
W00010152,,oa,236,7,13,31,24,154,2,5,3.0,5.5,13.1,10.2,65.3,313766.042,179989.17599999998
W00009247,,oa,241,37,33,39,20,97,7,8,15.4,13.7,16.2,8.3,40.2,317373.105,182667.766
W00010135,,oa,273,31,28,24,20,148,7,15,11.4,10.3,8.8,7.3,54.2,316843.126,180590.7365
W00009140,,oa,301,42,29,48,42,118,14,8,14.0,9.6,15.9,14.0,39.2,316965.17350000003,180033.23200000002
W00009141,,oa,352,56,26,43,54,150,9,14,15.9,7.4,12.2,15.3,42.6,316721.6925,180194.2625
W00009148,,oa,116,29,11,11,4,46,9,6,25.0,9.5,9.5,3.4,39.7,318158.9975,179859.50400000002
W00009245,,oa,372,22,36,64,41,193,9,7,5.9,9.7,17.2,11.0,51.9,316623.083,183146.314
W00009249,,oa,255,19,15,36,32,143,7,3,7.5,5.9,14.1,12.5,56.1,318284.22,182297.78350000002
W00009745,,oa,223,33,21,35,17,98,13,6,14.8,9.4,15.7,7.6,43.9,314689.3875,180910.05949999997
W00009747,,oa,207,43,17,25,20,85,5,12,20.8,8.2,12.1,9.7,41.1,315001.72349999996,180675.491
W00009749,,oa,283,25,16,48,30,155,4,5,8.8,5.7,17.0,10.6,54.8,315232.406,180554.89549999998
W00009156,,oa,229,31,13,25,25,120,10,5,13.5,5.7,10.9,10.9,52.4,317522.7725,180776.34850000002
W00009153,,oa,267,32,30,46,37,99,8,15,12.0,11.2,17.2,13.9,37.1,316949.954,179484.2035
W00009252,,oa,326,56,21,42,26,158,7,16,17.2,6.4,12.9,8.0,48.5,317917.50450000004,181871.7645
W00009258,,oa,259,77,46,41,21,53,15,6,29.7,17.8,15.8,8.1,20.5,317895.365,181367.98700000002
W00009259,,oa,195,66,23,37,19,29,11,10,33.8,11.8,19.0,9.7,14.9,318022.177,181201.4005
W00009486,,oa,291,32,30,47,30,126,11,15,11.0,10.3,16.2,10.3,43.3,320170.9175,182088.239
W00009758,,oa,244,28,13,35,23,134,8,3,11.5,5.3,14.3,9.4,54.9,314988.74950000003,180158.7175
W00009364,,oa,270,65,46,45,27,54,23,10,24.1,17.0,16.7,10.0,20.0,319835.9805,179659.4525
W00009229,,oa,267,41,32,31,23,122,8,10,15.4,12.0,11.6,8.6,45.7,314727.8715,179335
W00006525,,oa,220,29,26,33,25,88,13,6,13.2,11.8,15.0,11.4,40.0,312525.5455,184063.022
W00009412,,oa,258,42,40,40,33,87,8,8,16.3,15.5,15.5,12.8,33.7,320035.1225,179246.26049999997
W00009726,,oa,266,28,13,38,26,140,12,9,10.5,4.9,14.3,9.8,52.6,315241.59699999995,179814.728
W00009727,,oa,245,34,30,46,26,89,14,6,13.9,12.2,18.8,10.6,36.3,316183.1165,179521.9135
W00009728,,oa,255,65,32,31,28,77,10,12,25.5,12.5,12.2,11.0,30.2,315654.00749999995,179541.638
W00009729,,oa,238,44,32,35,30,61,21,15,18.5,13.4,14.7,12.6,25.6,316386.773,179389.146
W00008967,,oa,132,31,15,11,8,52,5,10,23.5,11.4,8.3,6.1,39.4,318895.922,180163.869
W00008964,,oa,263,39,21,40,34,105,7,17,14.8,8.0,15.2,12.9,39.9,318878.2105,180280.07549999998
W00008963,,oa,283,36,33,38,27,126,5,18,12.7,11.7,13.4,9.5,44.5,319243.179,180381.557
W00009230,,oa,254,92,33,31,19,55,12,12,36.2,13.0,12.2,7.5,21.7,315167.5885,179216
W00009540,,oa,258,40,24,36,30,115,8,5,15.5,9.3,14.0,11.6,44.6,316398.1855,181366.15000000002
W00009549,,oa,249,28,38,44,31,94,8,6,11.2,15.3,17.7,12.4,37.8,316501.7635,180832.407
W00009736,,oa,275,47,21,46,32,110,10,9,17.1,7.6,16.7,11.6,40.0,316532.788,179317.48599999998
W00009731,,oa,232,24,35,32,23,107,5,6,10.3,15.1,13.8,9.9,46.1,316469.577,179574.8695
W00009735,,oa,472,41,42,76,193,83,15,22,8.7,8.9,16.1,40.9,17.6,316705.81200000003,179403.213
W00008971,,oa,258,33,19,42,18,122,5,19,12.8,7.4,16.3,7.0,47.3,318265.7035,180053.50400000002
W00009184,,oa,259,24,14,36,23,152,4,6,9.3,5.4,13.9,8.9,58.7,318696.678,183279.8095
W00009182,,oa,276,18,16,42,36,159,2,3,6.5,5.8,15.2,13.0,57.6,318349.901,183266.91499999998
W00009189,,oa,251,28,28,49,31,96,5,14,11.2,11.2,19.5,12.4,38.2,314041.622,179371.276
W00009188,,oa,242,14,25,40,34,116,4,9,5.8,10.3,16.5,14.0,47.9,313895.911,179460.4895
W00009282,,oa,208,36,26,30,28,69,9,10,17.3,12.5,14.4,13.5,33.2,316873.229,182453.1015
W00009281,,oa,278,74,58,43,21,59,11,12,26.6,20.9,15.5,7.6,21.2,317384.97,182363.089
W00009556,,oa,252,22,22,48,34,107,8,11,8.7,8.7,19.0,13.5,42.5,315270.46900000004,182082.6615
W00009553,,oa,255,50,40,41,20,74,17,13,19.6,15.7,16.1,7.8,29.0,315817.1505,182166.478
W00009376,,oa,326,64,32,49,41,120,10,10,19.6,9.8,15.0,12.6,36.8,311961.08999999997,182732.5385
W00009526,,oa,297,30,18,47,34,158,4,6,10.1,6.1,15.8,11.4,53.2,315239.184,181495.3195
W00009522,,oa,232,48,20,33,16,91,10,14,20.7,8.6,14.2,6.9,39.2,316120.917,182032.7445
W00006515,,oa,389,72,45,57,44,147,13,11,18.5,11.6,14.7,11.3,37.8,312257.7275,183568.5045
W00009528,,oa,236,61,23,38,19,69,15,11,25.8,9.7,16.1,8.1,29.2,316078.2705,181867.401
W00009716,,oa,257,32,30,40,28,118,4,5,12.5,11.7,15.6,10.9,45.9,313824.07849999995,183346.7825
W00008954,,oa,263,37,18,37,26,135,3,7,14.1,6.8,14.1,9.9,51.3,318493.00399999996,180852.3335
W00008957,,oa,287,47,28,41,34,115,7,15,16.4,9.8,14.3,11.8,40.1,318313.93350000004,180851.9995
W00008952,,oa,258,30,23,41,16,134,9,5,11.6,8.9,15.9,6.2,51.9,319609.85750000004,181449.7855
W00008951,,oa,311,34,32,54,30,136,15,10,10.9,10.3,17.4,9.6,43.7,318278.428,181218.32400000002
W00009348,,oa,291,58,52,61,34,61,11,14,19.9,17.9,21.0,11.7,21.0,319642.802,180413.305
W00009534,,oa,195,48,20,33,27,50,9,8,24.6,10.3,16.9,13.8,25.6,316480.797,181665.759
W00009539,,oa,248,22,21,40,26,128,8,3,8.9,8.5,16.1,10.5,51.6,316417.9865,181462.64299999998
W00010150,,oa,289,24,21,37,28,167,5,7,8.3,7.3,12.8,9.7,57.8,312344.078,180167.0725
W00009166,,oa,261,57,28,36,15,107,11,7,21.8,10.7,13.8,5.7,41.0,316301.5285,180311.843
W00009169,,oa,310,29,24,39,29,174,7,8,9.4,7.7,12.6,9.4,56.1,317956.0435,180339.00300000003
W00009351,,oa,242,104,35,30,27,22,9,15,43.0,14.5,12.4,11.2,9.1,320481.368,180286.30550000002
W00009266,,oa,205,25,26,29,31,85,4,5,12.2,12.7,14.1,15.1,41.5,317582.579,183108.8995
W00009267,,oa,206,13,26,38,26,98,4,1,6.3,12.6,18.4,12.6,47.6,317238.717,183182.013
W00009264,,oa,255,20,34,43,29,119,3,7,7.8,13.3,16.9,11.4,46.7,317770.799,183197.225
W00009262,,oa,244,20,20,47,36,110,8,3,8.2,8.2,19.3,14.8,45.1,317551.4865,183487.72999999998
W00009268,,oa,204,21,27,39,30,73,3,11,10.3,13.2,19.1,14.7,35.8,317696.4445,183088.046
W00009269,,oa,187,21,29,29,24,74,7,3,11.2,15.5,15.5,12.8,39.6,317177.293,183018.087
W00009503,,oa,463,55,40,71,44,225,11,17,11.9,8.6,15.3,9.5,48.6,312794.70900000003,180568.415
W00009766,,oa,245,59,20,31,25,91,12,7,24.1,8.2,12.7,10.2,37.1,315957.908,179908.995
W00009763,,oa,265,35,39,23,35,116,10,7,13.2,14.7,8.7,13.2,43.8,314257.8345,179922.7555
W00009760,,oa,262,88,34,35,21,63,10,11,33.6,13.0,13.4,8.0,24.0,314495.838,180086.84350000002
W00009172,,oa,264,44,29,36,31,103,11,10,16.7,11.0,13.6,11.7,39.0,316164.68000000005,180146.90350000001
W00009178,,oa,221,28,20,26,16,121,5,5,12.7,9.0,11.8,7.2,54.8,318566.7825,182842.8225
W00009517,,oa,246,40,30,41,29,86,13,7,16.3,12.2,16.7,11.8,35.0,316140.69550000003,181558.0235
W00010228,,oa,282,16,36,40,31,147,3,9,5.7,12.8,14.2,11.0,52.1,310753.997,180208.74
W00010227,,oa,199,21,22,42,24,81,3,6,10.6,11.1,21.1,12.1,40.7,312502.319,181738.0565
W00009279,,oa,231,44,41,35,23,71,11,6,19.0,17.7,15.2,10.0,30.7,317119.473,182492.2905
W00009514,,oa,258,29,30,39,23,118,10,9,11.2,11.6,15.1,8.9,45.7,312713.3645,181700.4445
W00009515,,oa,224,28,26,32,32,91,6,9,12.5,11.6,14.3,14.3,40.6,312777.392,181670.682
W00009615,,oa,256,103,38,36,17,38,12,12,40.2,14.8,14.1,6.6,14.8,322359.8395,180217.0915
W00009699,,oa,178,75,25,21,20,22,5,10,42.1,14.0,11.8,11.2,12.4,323016.897,180951.8095
W00009713,,oa,266,137,48,25,16,24,6,10,51.5,18.0,9.4,6.0,9.0,323425.7575,180082.67
W00009306,,oa,188,70,27,30,21,17,12,11,37.2,14.4,16.0,11.2,9.0,322285.891,180507.972
W00009300,,oa,225,104,35,27,19,24,4,12,46.2,15.6,12.0,8.4,10.7,322194.135,180882.8885
W00009483,,oa,147,21,25,28,21,41,4,7,14.3,17.0,19.0,14.3,27.9,322838.848,181177.8985
W00009673,,oa,244,119,37,31,14,21,10,12,48.8,15.2,12.7,5.7,8.6,323078.33349999995,180294.71899999998
W00009670,,oa,310,115,54,49,33,36,13,10,37.1,17.4,15.8,10.6,11.6,323039.4045,180477.3785
W00010179,,oa,119,54,23,12,9,13,2,6,45.4,19.3,10.1,7.6,10.9,323512.703,180450.8615
W00009709,,oa,439,56,57,85,53,162,9,17,12.8,13.0,19.4,12.1,36.9,324223.70200000005,180497.00449999998
W00009295,,oa,294,123,57,51,24,17,8,14,41.8,19.4,17.3,8.2,5.8,322470.81200000003,181173.67700000003
W00009299,,oa,217,92,25,26,24,34,10,6,42.4,11.5,12.0,11.1,15.7,322464.89749999996,180790
W00009298,,oa,254,84,46,30,32,33,22,7,33.1,18.1,11.8,12.6,13.0,322643.856,180898.416
W00009621,,oa,242,107,35,37,14,28,6,15,44.2,14.5,15.3,5.8,11.6,322354.659,179775.63
W00010155,,oa,186,23,24,38,30,65,3,3,12.4,12.9,20.4,16.1,34.9,324001.772,180211.9855
W00009686,,oa,217,56,34,36,25,48,8,10,25.8,15.7,16.6,11.5,22.1,323222.488,181438.463
W00009685,,oa,330,57,51,54,30,105,15,18,17.3,15.5,16.4,9.1,31.8,324245.356,182027.1345
W00009600,,oa,333,134,41,49,25,51,12,21,40.2,12.3,14.7,7.5,15.3,322688.38399999996,180648.829
W00008839,,oa,135,71,22,13,9,7,5,8,52.6,16.3,9.6,6.7,5.2,313164.7665,175759.3515
W00009043,,oa,313,108,56,46,26,48,13,16,34.5,17.9,14.7,8.3,15.3,313226.00800000003,177637.48849999998
W00009040,,oa,228,100,32,42,17,26,5,6,43.9,14.0,18.4,7.5,11.4,313019.817,177957.9725
W00008945,,oa,233,34,32,51,28,67,11,10,14.6,13.7,21.9,12.0,28.8,312321.3915,176428.981
W00008943,,oa,390,78,48,65,43,121,20,15,20.0,12.3,16.7,11.0,31.0,311644.7705,176189.229
W00009026,,oa,225,58,34,39,20,56,9,9,25.8,15.1,17.3,8.9,24.9,311955.2395,175873.6065
W00009024,,oa,239,112,45,36,12,19,2,13,46.9,18.8,15.1,5.0,7.9,312237.1205,175729.184
W00009025,,oa,176,78,34,26,20,13,1,4,44.3,19.3,14.8,11.4,7.4,312687.583,175866.18050000002
W00009022,,oa,216,59,31,43,28,43,8,4,27.3,14.4,19.9,13.0,19.9,311688.73,175707.166
W00009023,,oa,192,90,29,16,25,18,4,10,46.9,15.1,8.3,13.0,9.4,312413.251,175858.1725
W00009021,,oa,243,110,51,34,16,18,4,10,45.3,21.0,14.0,6.6,7.4,312922.5075,175826.849
W00009028,,oa,152,83,16,22,13,12,1,5,54.6,10.5,14.5,8.6,7.9,312426.30799999996,175658.62449999998
W00006517,,oa,247,90,29,35,25,45,12,11,36.4,11.7,14.2,10.1,18.2,313177.5235,183513.3645
