area_code,area_name,census_geography,all_qualifications,no_qualifications,level1,level2,level3,level4,apprenticeship,other,no_qualifications_perc,level1_perc,level2_perc,level3_perc,level4_perc,centroid_x,centroid_y
W00010132,,oa,183,9,6,15,86,50,0,17,4.9,3.3,8.2,47.0,27.3,318597.135,177228.1545
W00008906,,oa,351,24,12,30,169,97,3,16,6.8,3.4,8.5,48.1,27.6,318064.98199999996,177821.062
W00008904,,oa,452,35,11,27,239,122,4,14,7.7,2.4,6.0,52.9,27.0,318475.0195,177776.6775
W00008909,,oa,456,13,9,29,317,80,2,6,2.9,2.0,6.4,69.5,17.5,318365.11100000003,177683.31949999998
W00008902,,oa,550,67,17,32,186,223,6,19,12.2,3.1,5.8,33.8,40.5,318193.2655,178749.8655
W00008901,,oa,486,18,10,35,295,102,1,25,3.7,2.1,7.2,60.7,21.0,318480.9865,177494.16749999998
W00009435,,oa,236,28,16,26,32,99,6,29,11.9,6.8,11.0,13.6,41.9,319448.8155,177551.03499999997
W00008916,,oa,447,25,11,19,281,84,2,25,5.6,2.5,4.3,62.9,18.8,318634.5075,177327.198
W00008912,,oa,520,38,21,38,235,137,8,43,7.3,4.0,7.3,45.2,26.3,317865.8995,177567.52649999998
W00008911,,oa,358,30,9,20,225,63,3,8,8.4,2.5,5.6,62.8,17.6,318138.7685,177597.517
W00008918,,oa,410,31,20,35,227,74,5,18,7.6,4.9,8.5,55.4,18.0,318076.5,178462.426
W00008919,,oa,254,29,11,14,95,81,4,20,11.4,4.3,5.5,37.4,31.9,317740.5995,178399.47100000002
W00009374,,oa,242,50,51,47,23,46,14,11,20.7,21.1,19.4,9.5,19.0,320145.395,181430.0275
W00009307,,oa,248,83,42,34,31,42,10,6,33.5,16.9,13.7,12.5,16.9,321767.80850000004,180372.81900000002
W00009400,,oa,296,36,13,39,29,163,5,11,12.2,4.4,13.2,9.8,55.1,319372.753,178143.06050000002
W00010116,,oa,213,5,16,8,33,128,0,23,2.3,7.5,3.8,15.5,60.1,319083.07999999996,176700.845
W00010195,,oa,159,8,6,12,13,115,0,5,5.0,3.8,7.5,8.2,72.3,318846.5605,175562.375
W00009120,,oa,268,99,31,41,18,48,7,24,36.9,11.6,15.3,6.7,17.9,317793.31649999996,174145.859
W00009121,,oa,301,103,24,34,28,78,10,24,34.2,8.0,11.3,9.3,25.9,317979.074,174198.343
W00009128,,oa,311,82,41,31,28,87,6,36,26.4,13.2,10.0,9.0,28.0,317844.0925,175704.84149999998
W00009392,,oa,274,27,13,21,32,166,5,10,9.9,4.7,7.7,11.7,60.6,319288.447,178459.137
W00009318,,oa,232,113,37,31,17,22,7,5,48.7,15.9,13.4,7.3,9.5,321956.8995,181568.788
W00009399,,oa,245,22,6,24,30,154,3,6,9.0,2.4,9.8,12.2,62.9,319712.995,178128.9905
W00009398,,oa,209,19,17,18,32,110,1,12,9.1,8.1,8.6,15.3,52.6,319356.042,178027.7115
W00009419,,oa,254,26,13,39,21,139,4,12,10.2,5.1,15.4,8.3,54.7,319795.8615,178807.0085
W00008960,,oa,284,19,19,42,26,166,2,10,6.7,6.7,14.8,9.2,58.5,318756.1425,180755.4365
W00008801,,oa,271,57,27,39,28,101,4,15,21.0,10.0,14.4,10.3,37.3,320164.42350000003,177184.975
W00009117,,oa,318,108,43,42,29,56,5,35,34.0,13.5,13.2,9.1,17.6,317714.3225,174524.8725
W00009474,,oa,265,26,20,21,24,155,5,14,9.8,7.5,7.9,9.1,58.5,319581.952,177678.0565
W00009473,,oa,292,27,25,21,64,139,4,12,9.2,8.6,7.2,21.9,47.6,319115.6655,177723.0935
W00009642,,oa,229,86,35,29,20,52,5,2,37.6,15.3,12.7,8.7,22.7,320200.1015,176480.581
W00008974,,oa,233,23,18,37,33,99,7,16,9.9,7.7,15.9,14.2,42.5,318891.802,179773.845
W00009641,,oa,200,72,27,23,20,38,5,15,36.0,13.5,11.5,10.0,19.0,320651.44,176729.62550000002
W00009106,,oa,246,69,40,25,22,64,5,21,28.0,16.3,10.2,8.9,26.0,317894.2265,175004.015
W00009107,,oa,267,121,24,25,13,59,3,22,45.3,9.0,9.4,4.9,22.1,317636.60349999997,174864.7955
W00009108,,oa,227,93,21,19,18,58,5,13,41.0,9.3,8.4,7.9,25.6,317904.719,174739.9455
W00009362,,oa,250,86,34,52,18,39,9,12,34.4,13.6,20.8,7.2,15.6,319959.657,179815.397
W00008811,,oa,229,11,10,21,19,150,3,15,4.8,4.4,9.2,8.3,65.5,319033.315,175765.46399999998
W00009557,,oa,360,95,71,35,30,102,2,25,26.4,19.7,9.7,8.3,28.3,317662.0785,176223.4165
W00009467,,oa,317,27,29,25,93,120,1,22,8.5,9.1,7.9,29.3,37.9,319058.8465,177992.548
W00009464,,oa,261,27,16,16,78,100,7,17,10.3,6.1,6.1,29.9,38.3,318815.9265,177946.8655
W00009460,,oa,363,22,25,45,102,142,3,24,6.1,6.9,12.4,28.1,39.1,318937.61699999997,178156.6615
W00009654,,oa,226,94,45,27,13,26,10,11,41.6,19.9,11.9,5.8,11.5,320629.19499999995,177160.46600000001
W00009112,,oa,320,106,39,35,31,72,11,26,33.1,12.2,10.9,9.7,22.5,317624.5455,174851
W00009114,,oa,399,135,42,44,35,104,15,24,33.8,10.5,11.0,8.8,26.1,318263.359,174561.179
W00009113,,oa,245,59,24,33,16,72,5,36,24.1,9.8,13.5,6.5,29.4,317980.4445,174663.588
W00009118,,oa,238,98,24,28,16,53,3,16,41.2,10.1,11.8,6.7,22.3,317776.2485,174443.061
W00009119,,oa,254,76,23,24,25,84,3,19,29.9,9.1,9.4,9.8,33.1,318044.26399999997,173977.398
W00009609,,oa,257,101,37,25,25,46,10,13,39.3,14.4,9.7,9.7,17.9,322188.681,178718.08899999998
W00010123,,oa,868,13,24,112,462,192,3,62,1.5,2.8,12.9,53.2,22.1,319507.4965,179746.0615
W00010121,,oa,215,3,9,22,41,102,1,37,1.4,4.2,10.2,19.1,47.4,318246.1275,176254.737
W00009627,,oa,246,54,31,49,36,44,18,14,22.0,12.6,19.9,14.6,17.9,321743.3905,179426.749
W00009984,,oa,284,64,31,20,56,85,1,27,22.5,10.9,7.0,19.7,29.9,319262.71499999997,176736.929
W00009341,,oa,222,41,30,37,21,74,7,12,18.5,13.5,16.7,9.5,33.3,320319.206,181107.7555
W00009440,,oa,271,45,21,30,50,93,11,21,16.6,7.7,11.1,18.5,34.3,319268.06700000004,177349.472
W00009632,,oa,265,59,39,36,37,71,12,11,22.3,14.7,13.6,14.0,26.8,320260.373,176769.413
W00009631,,oa,209,88,29,33,24,18,7,10,42.1,13.9,15.8,11.5,8.6,320874.8935,176699.8835
W00009638,,oa,202,113,30,20,14,14,3,8,55.9,14.9,9.9,6.9,6.9,320957.0125,176577.831
