area_code,area_name,census_geography,rooms_all,rooms_2_plus,rooms_1_plus,rooms_0,rooms_1_minus,rooms_2_minus,rooms_2_plus_perc,rooms_1_plus_perc,rooms_0_perc,rooms_1_minus_perc,rooms_2_minus_perc,centroid_x,centroid_y
W01001853,Cardiff 004C,lsoa,749,471,199,63,15,1,62.9,26.6,8.4,2.0,0.1,316279.8461891827,181969.2150797473
W01001777,Cardiff 001A,lsoa,610,537,44,20,8,1,88.0,7.2,3.3,1.3,0.2,319337.92751694005,183640.3645755297
W01001791,Cardiff 005A,lsoa,734,422,151,132,24,5,57.5,20.6,18.0,3.3,0.7,318102.51964988816,181632.0540125292
W01001800,Cardiff 005D,lsoa,665,294,161,160,43,7,44.2,24.2,24.1,6.5,1.1,317162.57298363885,181986.40628148016
W01001807,Cardiff 007B,lsoa,591,267,150,135,31,8,45.2,25.4,22.8,5.2,1.4,322342.940489826,181575.02323656206
W01001817,Cardiff 009C,lsoa,553,294,133,88,29,9,53.2,24.1,15.9,5.2,1.6,320423.52828593267,181673.08619875583
W01001818,Cardiff 009D,lsoa,625,317,172,106,26,4,50.7,27.5,17.0,4.2,0.6,320043.4613611992,181145.3391710907
W01001866,Cardiff 016A,lsoa,606,306,162,112,19,7,50.5,26.7,18.5,3.1,1.2,322470.2455168427,180312.5949478231
W01001942,Cardiff 049B,lsoa,647,178,141,175,114,39,27.5,21.8,27.0,17.6,6.0,318680.23802730435,174353.2877318564
W01001699,Cardiff 049A,lsoa,1000,179,243,314,206,58,17.9,24.3,31.4,20.6,5.8,318821.4680035169,175198.95932243238
W01001943,Cardiff 048B,lsoa,635,61,175,213,166,20,9.6,27.6,33.5,26.1,3.1,319367.61875445826,174252.94632396128
W01001695,Cardiff 036B,lsoa,845,105,142,305,212,81,12.4,16.8,36.1,25.1,9.6,319088.4934366188,176469.0504381284
W01001725,Cardiff 032D,lsoa,589,117,83,158,163,68,19.9,14.1,26.8,27.7,11.5,318393.52747568086,177462.91366299207
W01001696,Cardiff 036C,lsoa,683,230,161,201,68,23,33.7,23.6,29.4,10.0,3.4,319599.03227099474,176662.81589639283
W01001873,Cardiff 038C,lsoa,778,321,168,191,75,23,41.3,21.6,24.6,9.6,3.0,320240.0456751109,176302.31563340029
W01001940,Cardiff 048A,lsoa,728,34,125,261,283,25,4.7,17.2,35.9,38.9,3.4,320840.1159405423,170171.2741243602
W01001724,Cardiff 032C,lsoa,549,95,103,190,127,34,17.3,18.8,34.6,23.1,6.2,318454.44448994705,177698.31900120882
W01001834,Cardiff 033E,lsoa,691,232,186,173,77,23,33.6,26.9,25.0,11.1,3.3,319165.5683926723,177402.9527176996
W01001837,Cardiff 030C,lsoa,510,150,109,151,82,18,29.4,21.4,29.6,16.1,3.5,318613.9925419682,178056.5496738754
W01001838,Cardiff 030D,lsoa,640,280,129,134,60,37,43.8,20.2,20.9,9.4,5.8,318907.83098576986,178138.9926440862
W01001824,Cardiff 029C,lsoa,693,260,103,155,121,54,37.5,14.9,22.4,17.5,7.8,319543.0630475395,178067.64444148415
W01001836,Cardiff 030B,lsoa,580,235,93,102,92,58,40.5,16.0,17.6,15.9,10.0,318867.4661743203,178516.37575919623
W01001827,Cardiff 024C,lsoa,619,487,85,33,13,1,78.7,13.7,5.3,2.1,0.2,318975.825547368,178945.80566067444
W01001826,Cardiff 024B,lsoa,561,397,104,47,10,3,70.8,18.5,8.4,1.8,0.5,319785.431861158,179167.4779013404
W01001735,Cardiff 019D,lsoa,608,409,127,57,14,1,67.3,20.9,9.4,2.3,0.2,318905.6899211286,179482.71487842116
W01001734,Cardiff 019C,lsoa,592,482,84,14,9,3,81.4,14.2,2.4,1.5,0.5,318543.08697962447,179947.09941995243
W01001730,Cardiff 008A,lsoa,647,524,96,24,2,1,81.0,14.8,3.7,0.3,0.2,319460.37286219024,181247.3520239153
W01001821,Cardiff 024A,lsoa,548,267,119,123,30,9,48.7,21.7,22.4,5.5,1.6,319420.27402219706,178790.87696379024
W01001822,Cardiff 029A,lsoa,739,445,149,118,24,3,60.2,20.2,16.0,3.2,0.4,320244.45958699763,178597.5615082683
W01001830,Cardiff 033B,lsoa,883,131,129,241,292,90,14.8,14.6,27.3,33.1,10.2,319430.4999655485,177677.16418478233
W01001831,Cardiff 030A,lsoa,620,224,190,133,58,15,36.1,30.6,21.5,9.4,2.4,319096.2981668002,177854.14989938098
W01001833,Cardiff 033D,lsoa,716,278,90,146,109,93,38.8,12.6,20.4,15.2,13.0,319601.6653796944,177465.28581049727
W01001839,Cardiff 030E,lsoa,613,246,166,112,62,27,40.1,27.1,18.3,10.1,4.4,318790.03551185026,177964.00895640886
W01001950,Cardiff 049D,lsoa,609,85,181,237,82,24,14.0,29.7,38.9,13.5,3.9,318674.791467382,174667.09503117754
W01001947,Cardiff 048E,lsoa,873,107,260,336,140,30,12.3,29.8,38.5,16.0,3.4,317400.404438332,173925.86397937877
W01001759,Cardiff 046A,lsoa,674,256,223,138,47,10,38.0,33.1,20.5,7.0,1.5,316891.40014007414,175003.18110787324
W01001713,Cardiff 040E,lsoa,745,410,121,140,58,16,55.0,16.2,18.8,7.8,2.1,316483.12672888965,176324.2291716176
W01001859,Cardiff 034B,lsoa,722,308,195,151,55,13,42.7,27.0,20.9,7.6,1.8,316547.742259611,177109.56821300284
W01001860,Cardiff 034C,lsoa,799,402,209,118,57,13,50.3,26.2,14.8,7.1,1.6,316790.3185768131,176928.03382810196
W01001861,Cardiff 034D,lsoa,757,347,143,170,77,20,45.8,18.9,22.5,10.2,2.6,317129.72179127263,176884.26572416365
W01001756,Cardiff 025B,lsoa,667,349,120,101,78,19,52.3,18.0,15.1,11.7,2.8,316766.79696796706,178571.78873361496
W01001775,Cardiff 021B,lsoa,693,429,122,113,20,9,61.9,17.6,16.3,2.9,1.3,316660.04879032506,179913.64342130127
W01001090,The Vale of Glamorgan 006E,lsoa,615,465,91,49,7,3,75.6,14.8,8.0,1.1,0.5,314678.5557522886,173662.45416294332
W01001136,The Vale of Glamorgan 003D,lsoa,497,371,89,29,6,2,74.6,17.9,5.8,1.2,0.4,312275.9931946142,173573.85666905003
W01001702,Cardiff 045A,lsoa,745,387,167,150,30,11,51.9,22.4,20.1,4.0,1.5,312454.8874025063,175197.98362188056
W01001703,Cardiff 045B,lsoa,503,192,131,127,40,13,38.2,26.0,25.2,8.0,2.6,313619.91002401186,175448.7016810575
W01001704,Cardiff 041A,lsoa,631,215,156,192,53,15,34.1,24.7,30.4,8.4,2.4,314203.69566166366,175736.16600198878
W01001705,Cardiff 045C,lsoa,718,339,193,147,33,6,47.2,26.9,20.5,4.6,0.8,313192.29993507476,175061.4495257406
W01001707,Cardiff 041C,lsoa,803,311,227,198,50,17,38.7,28.3,24.7,6.2,2.1,314400.34758990904,176099.60095792744
W01001708,Cardiff 045D,lsoa,737,283,164,227,50,13,38.4,22.3,30.8,6.8,1.8,313265.80187259975,175666.27974167408
W01001729,Cardiff 014C,lsoa,808,644,118,37,8,1,79.7,14.6,4.6,1.0,0.1,311261.2108390088,178244.96636687982
W01001737,Cardiff 039A,lsoa,653,230,194,157,52,20,35.2,29.7,24.0,8.0,3.1,313566.26062761375,176743.79068926044
W01001738,Cardiff 039B,lsoa,525,182,158,142,34,9,34.7,30.1,27.0,6.5,1.7,312772.83513914765,176504.02219772377
W01001739,Cardiff 039C,lsoa,523,164,150,143,51,15,31.4,28.7,27.3,9.8,2.9,313369.2338952302,176608.50256715194
W01001740,Cardiff 039D,lsoa,682,239,150,238,44,11,35.0,22.0,34.9,6.5,1.6,313471.930983525,176228.22101168704
W01001741,Cardiff 039E,lsoa,613,157,158,216,65,17,25.6,25.8,35.2,10.6,2.8,312917.04152730864,176271.20253904903
W01001742,Cardiff 043A,lsoa,640,178,194,199,52,17,27.8,30.3,31.1,8.1,2.7,312940.40706147917,175889.1365594347
W01001743,Cardiff 043B,lsoa,605,386,139,60,17,3,63.8,23.0,9.9,2.8,0.5,311709.0505502423,175840.0319245293
W01001744,Cardiff 043C,lsoa,740,200,211,273,43,13,27.0,28.5,36.9,5.8,1.8,312381.69325076987,175578.25205297623
W01001749,Cardiff 027C,lsoa,699,329,168,165,32,5,47.1,24.0,23.6,4.6,0.7,313122.5527051976,178352.51345160653
W01001750,Cardiff 031A,lsoa,841,329,157,273,68,14,39.1,18.7,32.5,8.1,1.7,314000.4118670318,177862.20617758943
W01001751,Cardiff 027D,lsoa,802,270,277,205,35,15,33.7,34.5,25.6,4.4,1.9,313216.22406872484,177845.20650267845
W01001752,Cardiff 031B,lsoa,673,500,105,58,8,2,74.3,15.6,8.6,1.2,0.3,313913.06671285816,177294.4945193673
W01001846,Cardiff 006C,lsoa,641,490,96,42,12,1,76.4,15.0,6.6,1.9,0.2,312307.815517958,181466.88713225466
W01001847,Cardiff 006D,lsoa,637,549,60,25,2,1,86.2,9.4,3.9,0.3,0.2,312383.6472321325,181414.63301234398
W01001954,Cardiff 006F,lsoa,637,470,93,62,11,1,73.8,14.6,9.7,1.7,0.2,312958.36679349584,180611.47056471003
W01001780,Cardiff 026B,lsoa,628,412,132,66,13,5,65.6,21.0,10.5,2.1,0.8,314565.79498923966,178738.0099611766
W01001745,Cardiff 043D,lsoa,556,358,121,58,16,3,64.4,21.8,10.4,2.9,0.5,311587.4465580335,175327.12050324917
W01001746,Cardiff 041D,lsoa,663,221,194,187,50,11,33.3,29.3,28.2,7.5,1.7,314086.314019939,176739.10356448984
W01001747,Cardiff 027A,lsoa,812,354,269,144,37,8,43.6,33.1,17.7,4.6,1.0,313764.52935698634,178595.5809171048
W01001748,Cardiff 027B,lsoa,650,353,139,124,26,8,54.3,21.4,19.1,4.0,1.2,313858.41718127043,178269.90619607174
W01001753,Cardiff 031C,lsoa,642,277,146,151,49,19,43.1,22.7,23.5,7.6,3.0,313193.1607484043,177408.89604200737
W01001784,Cardiff 026F,lsoa,585,335,133,76,37,4,57.3,22.7,13.0,6.3,0.7,314037.3970441571,178850.7015628324
W01001706,Cardiff 041B,lsoa,540,247,157,92,33,11,45.7,29.1,17.0,6.1,2.0,314850.34847368614,176332.1920359961
W01001754,Cardiff 031D,lsoa,829,432,175,179,26,17,52.1,21.1,21.6,3.1,2.1,314407.6316338188,177216.97814333433
W01001779,Cardiff 026A,lsoa,653,432,159,54,7,1,66.2,24.3,8.3,1.1,0.2,314963.95431220985,178005.79136730928
W01001894,Cardiff 010C,lsoa,651,471,130,37,10,3,72.4,20.0,5.7,1.5,0.5,314666.7007522099,181133.50120941637
W01001849,Cardiff 004A,lsoa,651,520,91,34,6,0,79.9,14.0,5.2,0.9,0.0,314932.42788160057,182096.143380204
W01001885,Cardiff 011D,lsoa,786,424,186,119,42,15,53.9,23.7,15.1,5.3,1.9,323688.228414576,179098.22847917143
W01001886,Cardiff 016D,lsoa,516,207,114,148,39,8,40.1,22.1,28.7,7.6,1.6,323092.72971230675,180027.3394755419
W01001912,Newport 020E,lsoa,648,387,185,61,12,3,59.7,28.5,9.4,1.9,0.5,327937.5044875044,181929.44324992562
W01001878,Cardiff 011B,lsoa,630,309,169,103,39,10,49.0,26.8,16.3,6.2,1.6,323767.4310386791,181589.54248731275
W01001419,Caerphilly 021D,lsoa,632,407,142,66,14,3,64.4,22.5,10.4,2.2,0.5,320260.5280645491,186256.34352958298
W01001778,Cardiff 001B,lsoa,700,643,30,20,7,0,91.9,4.3,2.9,1.0,0.0,317555.4785893678,183876.7824833268
W00010122,,oa,114,18,12,34,34,16,15.8,10.5,29.8,29.8,14.0,319804.47750000004,177341.7465
W00010202,,oa,134,13,30,58,27,6,9.7,22.4,43.3,20.1,4.5,318592.762,174829.783
W00009432,,oa,133,25,14,35,39,20,18.8,10.5,26.3,29.3,15.0,319558.603,177512.225
W00009131,,oa,131,65,21,25,14,6,49.6,16.0,19.1,10.7,4.6,317900.23199999996,175504.0745
W00008803,,oa,159,20,27,59,40,13,12.6,17.0,37.1,25.2,8.2,319005.5,174629.9585
W00010124,,oa,115,9,38,25,31,12,7.8,33.0,21.7,27.0,10.4,318719.2415,174442.31949999998
W00009091,,oa,124,48,29,29,13,5,38.7,23.4,23.4,10.5,4.0,317928.00049999997,174498.6485
W00010141,,oa,137,14,42,39,28,14,10.2,30.7,28.5,20.4,10.2,317927.8985,176329.9285
W00010148,,oa,89,11,34,24,16,4,12.4,38.2,27.0,18.0,4.5,317940.222,173810.124
W00010171,,oa,130,1,9,47,64,9,0.8,6.9,36.2,49.2,6.9,319332.493,175172.8205
W00010203,,oa,91,24,20,33,8,6,26.4,22.0,36.3,8.8,6.6,318670.75450000004,174483.2755
W00008816,,oa,183,12,59,76,27,9,6.6,32.2,41.5,14.8,4.9,318819,175208.6885
W00010125,,oa,77,12,14,22,24,5,15.6,18.2,28.6,31.2,6.5,318273.75049999997,177417.102
W00009428,,oa,123,53,22,20,22,6,43.1,17.9,16.3,17.9,4.9,318965.849,177579.5765
W00010205,,oa,97,59,23,10,3,2,60.8,23.7,10.3,3.1,2.1,317670.822,177948.62300000002
W00009074,,oa,121,57,32,23,7,2,47.1,26.4,19.0,5.8,1.7,317816.10199999996,178665.842
W00010193,,oa,132,7,8,55,50,12,5.3,6.1,41.7,37.9,9.1,318566.6385,174997.1745
W00010118,,oa,96,26,6,31,25,8,27.1,6.3,32.3,26.0,8.3,317814.2395,177644.718
W00010191,,oa,108,12,35,40,19,2,11.1,32.4,37.0,17.6,1.9,318830.53500000003,175781.2605
W00010119,,oa,76,19,9,30,14,4,25.0,11.8,39.5,18.4,5.3,317705.922,177685.229
W00010166,,oa,122,68,17,12,22,3,55.7,13.9,9.8,18.0,2.5,321230.971,181694.44449999998
W00010167,,oa,105,4,14,36,38,13,3.8,13.3,34.3,36.2,12.4,318160.7525,173516.7825
W00009335,,oa,138,77,34,18,5,4,55.8,24.6,13.0,3.6,2.9,320563.3275,181429.106
W00010132,,oa,68,7,12,22,22,5,10.3,17.6,32.4,32.4,7.4,318597.135,177228.1545
W00008906,,oa,141,33,37,42,26,3,23.4,26.2,29.8,18.4,2.1,318064.98199999996,177821.062
W00008904,,oa,152,32,28,42,38,12,21.1,18.4,27.6,25.0,7.9,318475.0195,177776.6775
W00008909,,oa,121,21,17,49,27,7,17.4,14.0,40.5,22.3,5.8,318365.11100000003,177683.31949999998
W00008902,,oa,177,63,43,46,21,4,35.6,24.3,26.0,11.9,2.3,318193.2655,178749.8655
W00008901,,oa,134,30,30,37,27,10,22.4,22.4,27.6,20.1,7.5,318480.9865,177494.16749999998
W00009435,,oa,140,28,21,44,35,12,20.0,15.0,31.4,25.0,8.6,319448.8155,177551.03499999997
W00008916,,oa,131,21,19,42,33,16,16.0,14.5,32.1,25.2,12.2,318634.5075,177327.198
W00008912,,oa,145,61,22,39,13,10,42.1,15.2,26.9,9.0,6.9,317865.8995,177567.52649999998
W00008911,,oa,127,17,37,43,25,5,13.4,29.1,33.9,19.7,3.9,318138.7685,177597.517
W00008918,,oa,123,43,31,27,17,5,35.0,25.2,22.0,13.8,4.1,318076.5,178462.426
W00008919,,oa,96,33,20,36,5,2,34.4,20.8,37.5,5.2,2.1,317740.5995,178399.47100000002
W00009374,,oa,109,70,24,8,6,1,64.2,22.0,7.3,5.5,0.9,320145.395,181430.0275
W00009307,,oa,131,67,36,21,5,2,51.1,27.5,16.0,3.8,1.5,321767.80850000004,180372.81900000002
W00009400,,oa,125,66,14,18,18,9,52.8,11.2,14.4,14.4,7.2,319372.753,178143.06050000002
W00010116,,oa,146,5,4,38,76,23,3.4,2.7,26.0,52.1,15.8,319083.07999999996,176700.845
W00010195,,oa,102,6,51,36,8,1,5.9,50.0,35.3,7.8,1.0,318846.5605,175562.375
W00009120,,oa,151,43,49,42,13,4,28.5,32.5,27.8,8.6,2.6,317793.31649999996,174145.859
W00009121,,oa,209,27,47,102,29,4,12.9,22.5,48.8,13.9,1.9,317979.074,174198.343
W00009128,,oa,125,71,27,14,10,3,56.8,21.6,11.2,8.0,2.4,317844.0925,175704.84149999998
W00009392,,oa,142,58,25,44,14,1,40.8,17.6,31.0,9.9,0.7,319288.447,178459.137
W00009318,,oa,127,63,25,31,8,0,49.6,19.7,24.4,6.3,0.0,321956.8995,181568.788
W00009399,,oa,128,101,16,3,5,3,78.9,12.5,2.3,3.9,2.3,319712.995,178128.9905
W00009398,,oa,130,16,29,35,33,17,12.3,22.3,26.9,25.4,13.1,319356.042,178027.7115
W00009419,,oa,133,96,20,9,7,1,72.2,15.0,6.8,5.3,0.8,319795.8615,178807.0085
W00008960,,oa,139,121,16,1,1,0,87.1,11.5,0.7,0.7,0.0,318756.1425,180755.4365
W00008801,,oa,140,68,33,25,9,5,48.6,23.6,17.9,6.4,3.6,320164.42350000003,177184.975
W00009117,,oa,172,70,28,41,26,7,40.7,16.3,23.8,15.1,4.1,317714.3225,174524.8725
W00009474,,oa,120,78,15,15,9,3,65.0,12.5,12.5,7.5,2.5,319581.952,177678.0565
W00009473,,oa,148,54,50,32,11,1,36.5,33.8,21.6,7.4,0.7,319115.6655,177723.0935
W00009642,,oa,123,63,23,24,10,3,51.2,18.7,19.5,8.1,2.4,320200.1015,176480.581
W00008974,,oa,108,85,17,4,2,0,78.7,15.7,3.7,1.9,0.0,318891.802,179773.845
W00009641,,oa,105,50,33,16,4,2,47.6,31.4,15.2,3.8,1.9,320651.44,176729.62550000002
W00009106,,oa,120,65,22,23,6,4,54.2,18.3,19.2,5.0,3.3,317894.2265,175004.015
W00009107,,oa,127,38,26,49,10,4,29.9,20.5,38.6,7.9,3.1,317636.60349999997,174864.7955
W00009108,,oa,141,44,20,51,19,7,31.2,14.2,36.2,13.5,5.0,317904.719,174739.9455
W00009362,,oa,122,73,25,19,4,1,59.8,20.5,15.6,3.3,0.8,319959.657,179815.397
W00008811,,oa,140,38,46,43,10,3,27.1,32.9,30.7,7.1,2.1,319033.315,175765.46399999998
W00009557,,oa,161,41,24,39,40,17,25.5,14.9,24.2,24.8,10.6,317662.0785,176223.4165
W00009467,,oa,124,54,27,26,12,5,43.5,21.8,21.0,9.7,4.0,319058.8465,177992.548
W00009464,,oa,121,49,32,24,14,2,40.5,26.4,19.8,11.6,1.7,318815.9265,177946.8655
W00009460,,oa,130,60,29,29,9,3,46.2,22.3,22.3,6.9,2.3,318937.61699999997,178156.6615
W00009654,,oa,133,38,43,36,12,4,28.6,32.3,27.1,9.0,3.0,320629.19499999995,177160.46600000001
W00009112,,oa,191,64,28,45,40,14,33.5,14.7,23.6,20.9,7.3,317624.5455,174851
W00009114,,oa,207,70,52,58,21,6,33.8,25.1,28.0,10.1,2.9,318263.359,174561.179
W00009113,,oa,124,59,24,30,8,3,47.6,19.4,24.2,6.5,2.4,317980.4445,174663.588
W00009118,,oa,170,18,38,76,30,8,10.6,22.4,44.7,17.6,4.7,317776.2485,174443.061
W00009119,,oa,165,31,40,62,25,7,18.8,24.2,37.6,15.2,4.2,318044.26399999997,173977.398
W00009609,,oa,141,60,38,30,13,0,42.6,27.0,21.3,9.2,0.0,322188.681,178718.08899999998
W00010123,,oa,69,61,5,2,1,0,88.4,7.2,2.9,1.4,0.0,319507.4965,179746.0615
W00010121,,oa,130,11,15,37,52,15,8.5,11.5,28.5,40.0,11.5,318246.1275,176254.737
W00009627,,oa,118,92,20,4,1,1,78.0,16.9,3.4,0.8,0.8,321743.3905,179426.749
W00009984,,oa,160,39,39,56,18,8,24.4,24.4,35.0,11.3,5.0,319262.71499999997,176736.929
W00009341,,oa,117,63,37,11,5,1,53.8,31.6,9.4,4.3,0.9,320319.206,181107.7555
W00009440,,oa,138,45,48,28,13,4,32.6,34.8,20.3,9.4,2.9,319268.06700000004,177349.472
W00009632,,oa,125,74,23,19,4,5,59.2,18.4,15.2,3.2,4.0,320260.373,176769.413
W00009631,,oa,114,33,34,37,9,1,28.9,29.8,32.5,7.9,0.9,320874.8935,176699.8835
W00009638,,oa,115,32,33,32,14,4,27.8,28.7,27.8,12.2,3.5,320957.0125,176577.831
W00009160,,oa,121,112,7,2,0,0,92.6,5.8,1.7,0.0,0.0,317770.12,180564.54499999998
W00008924,,oa,152,39,26,47,34,6,25.7,17.1,30.9,22.4,3.9,318227.91099999996,178183.177
W00008929,,oa,133,36,21,39,29,8,27.1,15.8,29.3,21.8,6.0,318173.174,178099.059
W00009356,,oa,144,88,37,15,3,1,61.1,25.7,10.4,2.1,0.7,319574.659,180154.6255
W00009455,,oa,119,24,17,59,15,4,20.2,14.3,49.6,12.6,3.4,318581.8165,178077.2735
W00009450,,oa,114,2,43,56,11,2,1.8,37.7,49.1,9.6,1.8,319235.77150000003,176953
W00008785,,oa,170,60,37,44,23,6,35.3,21.8,25.9,13.5,3.5,319691.228,176809.391
W00008789,,oa,139,55,26,40,14,4,39.6,18.7,28.8,10.1,2.9,319482.13899999997,176598.0275
W00009606,,oa,119,85,24,9,1,0,71.4,20.2,7.6,0.8,0.0,321215.6925,179093.91950000002
W00010129,,oa,92,4,47,34,6,1,4.3,51.1,37.0,6.5,1.1,319229.757,175491.691
W00008932,,oa,157,34,34,35,41,13,21.7,21.7,22.3,26.1,8.3,318142.033,177940.1325
W00009093,,oa,201,32,85,45,39,0,15.9,42.3,22.4,19.4,0.0,318051.224,173612.9965
W00009098,,oa,128,57,25,23,17,6,44.5,19.5,18.0,13.3,4.7,317847.2745,175203.9425
W00009427,,oa,128,101,14,10,2,1,78.9,10.9,7.8,1.6,0.8,319767.9115,177610.9205
W00009424,,oa,143,37,33,29,32,12,25.9,23.1,20.3,22.4,8.4,318905.2555,177285.9235
W00009422,,oa,123,105,13,4,1,0,85.4,10.6,3.3,0.8,0.0,319912.212,178582.8505
W00009420,,oa,131,121,8,2,0,0,92.4,6.1,1.5,0.0,0.0,320457.19649999996,178948.84975
W00009421,,oa,132,56,44,24,5,3,42.4,33.3,18.2,3.8,2.3,319347.8135,178687.4925
W00008797,,oa,176,55,57,44,17,3,31.3,32.4,25.0,9.7,1.7,320497.96349999995,177617.451
W00008791,,oa,111,27,23,46,9,6,24.3,20.7,41.4,8.1,5.4,319587.2295,176478.22149999999
W00009569,,oa,125,38,43,27,9,8,30.4,34.4,21.6,7.2,6.4,317088.79949999996,176181.4745
W00008896,,oa,118,56,28,20,11,3,47.5,23.7,16.9,9.3,2.5,315959.7865,177014.9265
W00009724,,oa,134,103,19,6,6,0,76.9,14.2,4.5,4.5,0.0,315178.78599999996,179596.3895
W00009127,,oa,137,51,38,31,14,3,37.2,27.7,22.6,10.2,2.2,317537.92850000004,175614.0095
W00008855,,oa,121,59,18,31,9,4,48.8,14.9,25.6,7.4,3.3,316310.45900000003,176954.4705
W00008859,,oa,123,72,20,18,9,4,58.5,16.3,14.6,7.3,3.3,315641.50450000004,176764.2915
W00009248,,oa,124,82,33,7,1,1,66.1,26.6,5.6,0.8,0.8,316811.1235,182740.8765
W00009154,,oa,138,123,7,3,3,2,89.1,5.1,2.2,2.2,1.4,317843.368,179264.5755
W00009155,,oa,119,21,32,60,4,2,17.6,26.9,50.4,3.4,1.7,318140.3945,179648.4365
W00009568,,oa,144,27,28,40,28,21,18.8,19.4,27.8,19.4,14.6,317529.7245,176188.3785
W00009754,,oa,125,43,29,30,15,8,34.4,23.2,24.0,12.0,6.4,315706.078,180038.7885
W00009402,,oa,115,99,7,7,2,0,86.1,6.1,6.1,1.7,0.0,319959.374,177998.1245
W00009756,,oa,129,39,51,34,3,2,30.2,39.5,26.4,2.3,1.6,315558.72849999997,180177.934
W00009755,,oa,123,61,38,18,6,0,49.6,30.9,14.6,4.9,0.0,315310.301,180200.2795
W00009750,,oa,130,66,47,13,4,0,50.8,36.2,10.0,3.1,0.0,315835.61199999996,180273.05599999998
W00009759,,oa,125,47,29,39,8,2,37.6,23.2,31.2,6.4,1.6,315465.45849999995,179888.445
W00009226,,oa,121,74,28,10,5,4,61.2,23.1,8.3,4.1,3.3,315263.484,179239.324
W00009575,,oa,142,14,11,74,30,13,9.9,7.7,52.1,21.1,9.2,317686.431,175921.2175
W00009571,,oa,144,57,16,48,14,9,39.6,11.1,33.3,9.7,6.3,317183.38800000004,176075.687
W00009725,,oa,124,99,14,9,2,0,79.8,11.3,7.3,1.6,0.0,315424.3715,180564.2665
W00009722,,oa,122,89,16,14,3,0,73.0,13.1,11.5,2.5,0.0,314960.6135,180323.7955
W00008887,,oa,157,87,17,19,26,8,55.4,10.8,12.1,16.6,5.1,315813.945,177313.0425
W00008884,,oa,122,13,32,61,12,4,10.7,26.2,50.0,9.8,3.3,316107.5065,175500.59000000003
W00008883,,oa,136,89,33,10,3,1,65.4,24.3,7.4,2.2,0.7,316255.3155,175960.522
W00008889,,oa,131,84,13,25,8,1,64.1,9.9,19.1,6.1,0.8,315969.76300000004,177174.43349999998
W00008888,,oa,127,55,21,24,20,7,43.3,16.5,18.9,15.7,5.5,316148.62600000005,177186.86599999998
W00009197,,oa,196,82,56,48,8,2,41.8,28.6,24.5,4.1,1.0,315514.5415,178034.0145
W00009116,,oa,119,54,31,24,8,2,45.4,26.1,20.2,6.7,1.7,317968.2735,174611.3295
W00009195,,oa,136,69,42,23,2,0,50.7,30.9,16.9,1.5,0.0,315085.8175,178154.541
W00009231,,oa,117,37,32,34,12,2,31.6,27.4,29.1,10.3,1.7,315647.2825,179008.6605
W00009548,,oa,100,79,14,6,1,0,79.0,14.0,6.0,1.0,0.0,315517.6155,180739.039
W00009737,,oa,124,100,18,5,1,0,80.6,14.5,4.0,0.8,0.0,315822.819,179416.6405
W00009640,,oa,139,64,43,16,9,7,46.0,30.9,11.5,6.5,5.0,319909.07999999996,176537.718
W00008978,,oa,99,64,26,9,0,0,64.6,26.3,9.1,0.0,0.0,319467.00950000004,182089.7905
W00009186,,oa,105,98,6,1,0,0,93.3,5.7,1.0,0.0,0.0,314914.2605,177821.2765
W00009100,,oa,132,45,47,33,6,1,34.1,35.6,25.0,4.5,0.8,316892.024,174750.691
W00008814,,oa,154,65,28,31,21,9,42.2,18.2,20.1,13.6,5.8,318759.4105,175466.6385
W00008894,,oa,132,119,6,5,1,1,90.2,4.5,3.8,0.8,0.8,315091.4075,177093.565
W00008893,,oa,148,104,27,6,7,4,70.3,18.2,4.1,4.7,2.7,314882.983,177004.29700000002
W00009286,,oa,127,61,30,31,5,0,48.0,23.6,24.4,3.9,0.0,317562.52150000003,181994.959
W00009204,,oa,126,49,32,38,6,1,38.9,25.4,30.2,4.8,0.8,316062.64300000004,177480.501
W00009205,,oa,129,107,8,12,1,1,82.9,6.2,9.3,0.8,0.8,315115.8055,177353.75
W00009203,,oa,109,58,15,26,9,1,53.2,13.8,23.9,8.3,0.9,315261.73199999996,177483.3245
W00009201,,oa,122,101,15,2,3,1,82.8,12.3,1.6,2.5,0.8,314834.6625,177438.3895
W00009552,,oa,126,94,23,8,1,0,74.6,18.3,6.3,0.8,0.0,316094.993,180672.699
W00009550,,oa,116,85,27,2,2,0,73.3,23.3,1.7,1.7,0.0,316020.0815,180815.6925
W00009559,,oa,137,63,31,25,11,7,46.0,22.6,18.2,8.0,5.1,316921.839,176205.69400000002
W00009468,,oa,178,47,36,46,43,6,26.4,20.2,25.8,24.2,3.4,318654.2485,177827.495
W00010177,,oa,194,8,44,50,89,3,4.1,22.7,25.8,45.9,1.5,316978.412,181051.059
W00009199,,oa,121,109,8,4,0,0,90.1,6.6,3.3,0.0,0.0,314969.4135,177642.776
W00009198,,oa,150,136,7,4,2,1,90.7,4.7,2.7,1.3,0.7,315643.6355,177572.326
W00009214,,oa,113,48,32,23,9,1,42.5,28.3,20.4,8.0,0.9,315798.9485,179174.84149999998
W00009218,,oa,116,83,14,13,3,3,71.6,12.1,11.2,2.6,2.6,315352.002,178619.7045
W00009527,,oa,126,108,11,3,4,0,85.7,8.7,2.4,3.2,0.0,315339.645,181772.533
