area_code,area_name,census_geography,rooms_all,rooms_2_plus,rooms_1_plus,rooms_0,rooms_1_minus,rooms_2_minus,rooms_2_plus_perc,rooms_1_plus_perc,rooms_0_perc,rooms_1_minus_perc,rooms_2_minus_perc,centroid_x,centroid_y
W02000371,Cardiff 005,msoa,3989,2055,769,770,350,45,51.5,19.3,19.3,8.8,1.1,317748.78187170904,181776.48083822106
W02000392,Cardiff 026,msoa,3794,2511,739,420,105,19,66.2,19.5,11.1,2.8,0.5,314848.42851463234,178393.50785419712
W02000393,Cardiff 027,msoa,2963,1306,853,638,130,36,44.1,28.8,21.5,4.4,1.2,313524.564148278,178341.46818095483
W02000397,Cardiff 031,msoa,2985,1538,583,661,151,52,51.5,19.5,22.1,5.1,1.7,313843.8804615948,177536.20537766753
W02000405,Cardiff 039,msoa,2996,972,810,896,246,72,32.4,27.0,29.9,8.2,2.4,313246.7454842016,176588.02629035947
W02000407,Cardiff 041,msoa,2637,994,734,669,186,54,37.7,27.8,25.4,7.1,2.0,314486.2806574489,176231.06466606655
W02000242,The Vale of Glamorgan 006,msoa,3333,2288,643,325,67,10,68.6,19.3,9.8,2.0,0.3,314669.93862747983,172267.6511891968
W02000389,Cardiff 023,msoa,3504,1733,924,603,181,63,49.5,26.4,17.2,5.2,1.8,315420.8362349494,179063.82508542857
W02000372,Cardiff 006,msoa,3060,2287,432,263,68,10,74.7,14.1,8.6,2.2,0.3,312376.4501658448,181867.14267800216
W02000380,Cardiff 014,msoa,2764,2232,312,181,34,5,80.8,11.3,6.5,1.2,0.2,310168.7783747446,180058.52360947695
W02000409,Cardiff 043,msoa,2541,1122,665,590,128,36,44.2,26.2,23.2,5.0,1.4,312298.2939946976,175499.46115497436
W02000411,Cardiff 045,msoa,2703,1201,655,651,153,43,44.4,24.2,24.1,5.7,1.6,312929.362842845,175344.27200916177
W02000366,Newport 020,msoa,3193,2262,568,259,85,19,70.8,17.8,8.1,2.7,0.6,326833.09589914547,184132.50562584517
W02000377,Cardiff 011,msoa,2876,1453,799,435,143,46,50.5,27.8,15.1,5.0,1.6,324086.03961420053,179997.14018928944
W01001945,Cardiff 048D,lsoa,838,39,165,336,240,58,4.7,19.7,40.1,28.6,6.9,317985.240791411,173170.06166257316
W01001762,Cardiff 046D,lsoa,736,233,175,212,90,26,31.7,23.8,28.8,12.2,3.5,317847.6588320238,174330.72231915547
W01001761,Cardiff 046C,lsoa,724,288,123,194,84,35,39.8,17.0,26.8,11.6,4.8,317770.376610388,174807.87490715488
W01001760,Cardiff 046B,lsoa,670,309,155,148,43,15,46.1,23.1,22.1,6.4,2.2,318271.7779509862,174597.32094699456
W01001768,Cardiff 044E,lsoa,539,254,102,105,50,28,47.1,18.9,19.5,9.3,5.2,317795.73532268766,175114.46946316413
W01001765,Cardiff 044B,lsoa,521,265,73,97,59,27,50.9,14.0,18.6,11.3,5.2,318034.9700517446,175236.83380225793
W01001944,Cardiff 048C,lsoa,580,51,164,214,134,17,8.8,28.3,36.9,23.1,2.9,319172.73353598046,175360.28469841514
W01001941,Cardiff 032G,lsoa,670,33,65,215,291,66,4.9,9.7,32.1,43.4,9.9,318370.0264991199,176122.04859170687
W01001922,Cardiff 032E,lsoa,424,68,55,147,104,50,16.0,13.0,34.7,24.5,11.8,318441.67343972024,177174.89746943806
W01001835,Cardiff 033F,lsoa,908,145,163,349,183,68,16.0,18.0,38.4,20.2,7.5,319163.1064928849,176989.70806852786
W01001722,Cardiff 028D,lsoa,514,121,128,164,80,21,23.5,24.9,31.9,15.6,4.1,317994.5730386287,177950.67752156605
W01001832,Cardiff 033C,lsoa,741,102,97,244,217,81,13.8,13.1,32.9,29.3,10.9,318822.75299932214,177364.13178028178
W01001829,Cardiff 033A,lsoa,663,210,134,138,124,57,31.7,20.2,20.8,18.7,8.6,318952.3067351652,177576.1399080316
W01001720,Cardiff 028C,lsoa,590,129,101,179,142,39,21.9,17.1,30.3,24.1,6.6,318311.6762975676,177957.33048299738
W01001718,Cardiff 028A,lsoa,577,154,140,182,82,19,26.7,24.3,31.5,14.2,3.3,318292.06895463704,178205.4464774337
W01001726,Cardiff 028E,lsoa,524,184,119,151,56,14,35.1,22.7,28.8,10.7,2.7,317987.79620204493,178643.3277225744
W01001732,Cardiff 019A,lsoa,667,452,129,66,16,4,67.8,19.3,9.9,2.4,0.6,318582.2438484572,180596.2325995843
W01001863,Cardiff 022A,lsoa,637,390,125,94,23,5,61.2,19.6,14.8,3.6,0.8,322043.57605008455,178872.9684212532
W01001864,Cardiff 022B,lsoa,623,431,123,57,10,2,69.2,19.7,9.1,1.6,0.3,321492.14911038417,179362.10779155957
W01001816,Cardiff 009B,lsoa,1065,428,252,247,120,18,40.2,23.7,23.2,11.3,1.7,320919.38247148704,181428.06049558803
W01001951,Cardiff 049E,lsoa,548,110,184,166,73,15,20.1,33.6,30.3,13.3,2.7,319130.1531423386,175914.43031953776
W01001952,Cardiff 049F,lsoa,621,48,54,237,226,56,7.7,8.7,38.2,36.4,9.0,318418.24622610374,175452.54005560747
W01001711,Cardiff 040C,lsoa,720,309,158,200,41,12,42.9,21.9,27.8,5.7,1.7,316203.69648416643,175555.5168494717
W01001716,Cardiff 035C,lsoa,543,403,79,37,17,7,74.2,14.5,6.8,3.1,1.3,314968.5154869864,177004.39911161043
W01001709,Cardiff 040A,lsoa,721,428,134,114,36,9,59.4,18.6,15.8,5.0,1.2,315587.4100512841,176385.62841007166
W01001714,Cardiff 035A,lsoa,612,523,50,29,4,6,85.5,8.2,4.7,0.7,1.0,315450.4520412459,176941.41832862524
W01001782,Cardiff 026D,lsoa,591,504,53,27,5,2,85.3,9.0,4.6,0.8,0.3,315011.87099834334,177563.36343797957
W01001781,Cardiff 026C,lsoa,829,455,164,165,39,6,54.9,19.8,19.9,4.7,0.7,315697.5290266145,177869.63622136708
W01001786,Cardiff 023B,lsoa,628,350,148,102,18,10,55.7,23.6,16.2,2.9,1.6,315211.3505782571,178771.97737299945
W01001785,Cardiff 023A,lsoa,482,208,138,90,37,9,43.2,28.6,18.7,7.7,1.9,315711.8426125762,179035.13922929703
W01001889,Cardiff 020B,lsoa,747,409,199,101,27,11,54.8,26.6,13.5,3.6,1.5,315846.33175113495,180024.07937946572
W01001852,Cardiff 004B,lsoa,723,585,97,28,9,4,80.9,13.4,3.9,1.2,0.6,315557.37112023454,183003.6531699536
W01001104,The Vale of Glamorgan 004E,lsoa,864,515,208,96,29,16,59.6,24.1,11.1,3.4,1.9,316707.5554207408,173032.5119750009
W01001710,Cardiff 040B,lsoa,701,371,176,105,36,13,52.9,25.1,15.0,5.1,1.9,316102.42249586864,176511.7835085576
W01001717,Cardiff 035D,lsoa,768,355,176,172,56,9,46.2,22.9,22.4,7.3,1.2,315852.5780742257,176971.18944461693
W01001712,Cardiff 040D,lsoa,679,344,173,111,43,8,50.7,25.5,16.3,6.3,1.2,316361.20647613064,176748.51056765593
W01001715,Cardiff 035B,lsoa,765,386,153,124,79,23,50.5,20.0,16.2,10.3,3.0,316012.94367676566,177112.17626137784
W01001858,Cardiff 034A,lsoa,869,326,170,216,124,33,37.5,19.6,24.9,14.3,3.8,316582.9060015113,177629.86517420766
